-[ RECORD 1 ]------------------+------------------------------------------------------------------------------
case_number                    | I-200-22287-531576
job_title                      | Graphic and UI Developer
employer_name                  | Yugady Technologies & Services Inc
secondary_entity_business_name | (Remote) CGI / CIGNA Healthcare
employer_poc_email             | hr@livemindz.com
employer_poc_phone             | 15103651294
employer_poc_first_name        | Srividya
employer_poc_last_name         | Jaligama
worksite_address1              | 812 Peachtree Unit G
worksite_address2              | 
worksite_city                  | Claymont
worksite_county                | NEW CASTLE
lawfirm_name_business_name     | Kodem Law Firm PLLC
employer_address1              | 1505 LBJ Freeway STE 245
employer_address2              | Farmers Branch,
employer_city                  | Farmers Branch,
employer_state                 | TX
employer_postal_code           | 75234
begin_date                     | 10/21/2022
end_date                       | 10/20/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+------------------------------------------------------------------------------
case_number                    | I-200-23175-141538
job_title                      | Sr. Technical Delivery Manager
employer_name                  | SRI TECH SOLUTIONS INC
secondary_entity_business_name | (Remote) INTUITIVE TECHNOLOGY PARTNERS INC
employer_poc_email             | hr@sritechsolutions.com
employer_poc_phone             | 18134236500
employer_poc_first_name        | Prathibha
employer_poc_last_name         | Damera
worksite_address1              | 21 Eynon Ct
worksite_address2              | 
worksite_city                  | Hockessin
worksite_county                | NEW CASTLE
lawfirm_name_business_name     | Kodem Law Firm PLLC
employer_address1              | 15310 Amberly Dr
employer_address2              | STE 190
employer_city                  | Tampa
employer_state                 | FL
employer_postal_code           | 33647
begin_date                     | 7/11/2023
end_date                       | 7/10/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+------------------------------------------------------------------------------
case_number                    | I-200-22235-432385
job_title                      | Graphic and UI Developer
employer_name                  | Yugady Technologies & Services Inc
secondary_entity_business_name | (Remote) STATE OF RI/INFOSYS.
employer_poc_email             | hr@livemindz.com
employer_poc_phone             | 15103651294
employer_poc_first_name        | Srividya
employer_poc_last_name         | Jaligama
worksite_address1              | 812 Peachtree Rd unit g
worksite_address2              | 
worksite_city                  | Claymont
worksite_county                | NEW CASTLE
lawfirm_name_business_name     | Kodem Law Firm PLLC
employer_address1              | 1505 LBJ Freeway STE 245
employer_address2              | Farmers Branch,
employer_city                  | Farmers Branch,
employer_state                 | TX
employer_postal_code           | 75234
begin_date                     | 8/26/2022
end_date                       | 8/25/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+------------------------------------------------------------------------------
case_number                    | I-200-22332-607766
job_title                      | Data Engineer
employer_name                  | ENTERPRISE MINDS INC
secondary_entity_business_name | (Remote) Viasat Inc
employer_poc_email             | bharath@eminds.ai
employer_poc_phone             | 14088353048
employer_poc_first_name        | Bharath
employer_poc_last_name         | Mundlapudi
worksite_address1              | 625 McComb Pl
worksite_address2              | 
worksite_city                  | Claymont
worksite_county                | NEW CASTLE
