-[ RECORD 1 ]------------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-21363-792469
job_title                      | Network Engineer (SERVLLGX0165)
employer_name                  | SERVESYS CORPORATION
secondary_entity_business_name | (F&G) Fidelity & Guarantee
employer_poc_email             | legal@servsys.com
employer_poc_phone             | 19724459569
employer_poc_first_name        | JACOB
employer_poc_last_name         | SAMUEL
worksite_address1              | 801 Grand Ave
worksite_address2              | 
worksite_city                  | Des Moines
worksite_county                | POLK
lawfirm_name_business_name     | 
employer_address1              | 104 DECKER COURT
employer_address2              | STE 100
employer_city                  | IRVING
employer_state                 | TX
employer_postal_code           | 75062
begin_date                     | 1/3/2022
end_date                       | 1/2/2025
total_worker_positions         | 1
soc_code                       | 15-1142.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-23220-247954
job_title                      | Sr. QA Engineer
employer_name                  | Kovan Technology Solutions LLC
secondary_entity_business_name | (Remote) Kovan Technology Solutions
employer_poc_email             | kishore.kandasamy@kovantech.com
employer_poc_phone             | 19549401851
employer_poc_first_name        | KishoreKumar
employer_poc_last_name         | Kandasamy
worksite_address1              | 1234 Sadler Dr,
worksite_address2              | 
worksite_city                  | North Liberty
worksite_county                | JOHNSON
lawfirm_name_business_name     | Kodem Law Firm PLLC
employer_address1              | 1710 S Dairy Ashford Road
employer_address2              | STE 208
employer_city                  | Houston
employer_state                 | TX
employer_postal_code           | 77077
begin_date                     | 8/16/2023
end_date                       | 8/15/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-23173-134574
job_title                      | Data Analyst
employer_name                  | Adroit Innovative Solutions Inc
secondary_entity_business_name | (Remote) Wellmark BCBS
employer_poc_email             | legal@adroitinnovative.com
employer_poc_phone             | 12144473325
employer_poc_first_name        | Akhila
employer_poc_last_name         | Nimma
worksite_address1              | 725 E 5th Street
worksite_address2              | APT 4
worksite_city                  | Des Moines
worksite_county                | POLK
lawfirm_name_business_name     | Kodem Law Firm PLLC
employer_address1              | 5750 Genesis Ct
employer_address2              | STE 210
employer_city                  | Frisco
employer_state                 | TX
employer_postal_code           | 75034
begin_date                     | 10/1/2023
end_date                       | 9/30/2026
total_worker_positions         | 1
soc_code                       | 15-2051.01
h_1b_dependent                 | No
-[ RECORD 4 ]------------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-22220-401550
job_title                      | Operations Research Analysts - KBGFJG71520-13
employer_name                  | Ernst & Young U.S. LLP
secondary_entity_business_name | 3M Company
employer_poc_email             | US.Visaimmigrationsupport@ey.com
employer_poc_phone             | 12018723003
employer_poc_first_name        | Shakeria
employer_poc_last_name         | Collie-Charlton
worksite_address1              | 900 Dayton Ave
worksite_address2              | 
worksite_city                  | Ames
worksite_county                | STORY
lawfirm_name_business_name     | EY Law LLP
employer_address1              | 200 Plaza Drive
employer_address2              | Suite 2222
employer_city                  | Secaucus
employer_state                 | NJ
employer_postal_code           | 07094
begin_date                     | 8/11/2022
end_date                       | 8/10/2025
total_worker_positions         | 1
soc_code                       | 15-2031.00
h_1b_dependent                 | No
-[ RECORD 5 ]------------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-22208-378202
job_title                      | Financial and Investment Analysts - KBGFJG131930-2
employer_name                  | Ernst & Young U.S. LLP
secondary_entity_business_name | 3M Company
employer_poc_email             | US.Visaimmigrationsupport@ey.com
employer_poc_phone             | 12018723003
employer_poc_first_name        | Sunday
employer_poc_last_name         | Rubenstein
worksite_address1              | 900 Dayton Ave.
worksite_address2              | 
worksite_city                  | Ames
worksite_county                | STORY
lawfirm_name_business_name     | EY Law LLP
employer_address1              | 200 Plaza Drive
employer_address2              | Suite 2222
employer_city                  | Secaucus
employer_state                 | NJ
employer_postal_code           | 07094
begin_date                     | 8/6/2022
end_date                       | 8/5/2025
total_worker_positions         | 1
soc_code                       | 13-2051.00
h_1b_dependent                 | No
-[ RECORD 6 ]------------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25075-779549
job_title                      | Computer Programmer
employer_name                  | WIZCOM CORPORATION
secondary_entity_business_name | A C T
employer_poc_email             | vmaram@wizcom.com
employer_poc_phone             | 16099369400
employer_poc_first_name        | Venkat
employer_poc_last_name         | MARAM
worksite_address1              | 500 ACT Dr
worksite_address2              | N/A
worksite_city                  | Iowa City
worksite_county                | JOHNSON
lawfirm_name_business_name     | SHARMA YASKHI & ASSOCIATES, LLP
employer_address1              | 742 Alexander Road
employer_address2              | Ste 301
employer_city                  | Princeton
employer_state                 | NJ
employer_postal_code           | 08540
begin_date                     | 4/1/2025
end_date                       | 3/31/2028
total_worker_positions         | 1
soc_code                       | 15-1251
h_1b_dependent                 | Yes
-[ RECORD 7 ]------------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-23256-343054
job_title                      | Senior Software Engineer
employer_name                  | TOP EDGE TECHNOLOGY INC
secondary_entity_business_name | AADG Inc (Assa Abloy dba Curries)
employer_poc_email             | rkundavaram@gmail.com
employer_poc_phone             | 15596816868
employer_poc_first_name        | RAHUL
employer_poc_last_name         | KUNDAVARAM
worksite_address1              | 12th St. NE
worksite_address2              | 
worksite_city                  | Mason City
worksite_county                | CERRO GORDO
lawfirm_name_business_name     | JOHN J. BOUDIA & ASSOCIATES PLC
employer_address1              | 510 Franklin Avenue
employer_address2              | SUITE 1
employer_city                  | NUTLEY
employer_state                 | NJ
employer_postal_code           | 07110
begin_date                     | 9/20/2023
end_date                       | 9/19/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 8 ]------------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-23199-195621
job_title                      | IT Project Managers - III
employer_name                  | HCL AMERICA INC
secondary_entity_business_name | ACT ,
employer_poc_email             | HanimireddyV@hcl.com
employer_poc_phone             | 12018859947
employer_poc_first_name        | Hanimireddy
employer_poc_last_name         | Venkatreddy
worksite_address1              | 500 Act Drive
worksite_address2              | 
worksite_city                  | Iowa City
worksite_county                | JOHNSON
lawfirm_name_business_name     | 
employer_address1              | 2600 Great America way
employer_address2              | 
employer_city                  | Santa Clara
employer_state                 | CA
employer_postal_code           | 95054
begin_date                     | 7/18/2023
end_date                       | 7/17/2026
total_worker_positions         | 1
soc_code                       | 15-1299.09
h_1b_dependent                 | Yes
-[ RECORD 9 ]------------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-23202-205828
job_title                      | IT Project Manager - III
employer_name                  | HCL AMERICA INC
secondary_entity_business_name | ACT ,
employer_poc_email             | HanimireddyV@hcl.com
employer_poc_phone             | 12018859947
employer_poc_first_name        | Hanimireddy
employer_poc_last_name         | Venkatreddy
worksite_address1              | 500 Act Drive
worksite_address2              | 
worksite_city                  | Iowa City
worksite_county                | JOHNSON
lawfirm_name_business_name     | 
employer_address1              | 2600 Great America way
employer_address2              | 
employer_city                  | Santa Clara
employer_state                 | CA
employer_postal_code           | 95054
begin_date                     | 7/21/2023
end_date                       | 7/20/2026
total_worker_positions         | 1
soc_code                       | 15-1299.09
h_1b_dependent                 | Yes
-[ RECORD 10 ]-----------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-21140-331005
job_title                      | SALESFORCE ADMINISTRATOR
employer_name                  | ARTIFICIAL INTELLIGENCE TECHNOLOGIES LLC
secondary_entity_business_name | ACT INC
employer_poc_email             | h1b@artifintech.com
employer_poc_phone             | 13087372035
employer_poc_first_name        | SAI TEJA REDDY
employer_poc_last_name         | SURUKUNTI
worksite_address1              | 500 ACT DR
worksite_address2              | 
worksite_city                  | IOWA CITY
worksite_county                | JOHNSON
lawfirm_name_business_name     | 
employer_address1              | 110 E C ST
employer_address2              | SUITE 103
employer_city                  | MCCOOK
employer_state                 | NE
employer_postal_code           | 69001
begin_date                     | 10/1/2021
end_date                       | 9/30/2024
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | No
-[ RECORD 11 ]-----------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-21334-732255
job_title                      | SR. AUTOMATION QA ENGINEER
employer_name                  | DIGITAL TECHNOLOGIES LLC
secondary_entity_business_name | ACT INC
employer_poc_email             | H1B@DIGITECHNOL.COM
employer_poc_phone             | 13086757752
employer_poc_first_name        | AKHIL REDDY
employer_poc_last_name         | KUNTA
worksite_address1              | 500 ACT DR
worksite_address2              | 
worksite_city                  | IOWA CITY
worksite_county                | JOHNSON
lawfirm_name_business_name     | 
employer_address1              | 640 S PINE ST
employer_address2              | SUITE 109
employer_city                  | GRAND ISLAND
employer_state                 | NE
employer_postal_code           | 68801-7981
begin_date                     | 12/17/2021
end_date                       | 12/16/2024
total_worker_positions         | 1
soc_code                       | 15-1133.00
h_1b_dependent                 | No
-[ RECORD 12 ]-----------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-22147-218752
job_title                      | Programmer Analyst - II
employer_name                  | HCL AMERICA INC
secondary_entity_business_name | ACT Inc
employer_poc_email             | JHeh@hcl.com
employer_poc_phone             | 14086947565
employer_poc_first_name        | Jack
employer_poc_last_name         | Heh
worksite_address1              | 301 ACT Drive
worksite_address2              | 
worksite_city                  | Iowa City
worksite_county                | JOHNSON
lawfirm_name_business_name     | 
employer_address1              | 330 POTRERO AVENUE
employer_address2              | 
employer_city                  | SUNNYVALE
employer_state                 | CA
employer_postal_code           | 94085
begin_date                     | 5/27/2022
end_date                       | 5/26/2025
total_worker_positions         | 1
soc_code                       | 15-1131.00
h_1b_dependent                 | Yes
-[ RECORD 13 ]-----------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25145-016493
job_title                      | Tower Lead
employer_name                  | HCL AMERICA INC
secondary_entity_business_name | ACT Inc
employer_poc_email             | Jheh@hcltech.com
employer_poc_phone             | 12018859947
employer_poc_first_name        | Jack
employer_poc_last_name         | Heh
worksite_address1              | 500 ACT Drive
worksite_address2              | 
worksite_city                  | Iowa City
worksite_county                | JOHNSON
lawfirm_name_business_name     | 
employer_address1              | 2600 Great America way
employer_address2              | Suite 101 and 401.
employer_city                  | Santa Clara
employer_state                 | CA
employer_postal_code           | 95054
begin_date                     | 10/1/2025
end_date                       | 9/30/2028
total_worker_positions         | 1
soc_code                       | 15-1299.09
h_1b_dependent                 | Yes
-[ RECORD 14 ]-----------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-22143-199880
job_title                      | Programmer Analyst - II
employer_name                  | HCL AMERICA INC
secondary_entity_business_name | ACT Inc
employer_poc_email             | HanimireddyV@hcl.com
employer_poc_phone             | 12018859947
employer_poc_first_name        | Hanimireddy
employer_poc_last_name         | Venkatreddy
worksite_address1              | 500 ACT Drive
worksite_address2              | 
worksite_city                  | Iowa City
worksite_county                | JOHNSON
lawfirm_name_business_name     | 
employer_address1              | 330 POTRERO AVENUE
employer_address2              | 
employer_city                  | SUNNYVALE
employer_state                 | CA
employer_postal_code           | 94085
begin_date                     | 10/1/2022
end_date                       | 9/30/2025
total_worker_positions         | 1
soc_code                       | 15-1131.00
h_1b_dependent                 | Yes
-[ RECORD 15 ]-----------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-22143-199895
job_title                      | Programmer Analyst - II
employer_name                  | HCL AMERICA INC
secondary_entity_business_name | ACT Inc
employer_poc_email             | HanimireddyV@hcl.com
employer_poc_phone             | 12018859947
employer_poc_first_name        | Hanimireddy
employer_poc_last_name         | Venkatreddy
worksite_address1              | 500 ACT Drive
worksite_address2              | 
worksite_city                  | Iowa City
worksite_county                | JOHNSON
lawfirm_name_business_name     | 
employer_address1              | 330 POTRERO AVENUE
employer_address2              | 
employer_city                  | SUNNYVALE
employer_state                 | CA
employer_postal_code           | 94085
begin_date                     | 10/1/2022
end_date                       | 9/30/2025
total_worker_positions         | 1
soc_code                       | 15-1131.00
h_1b_dependent                 | Yes
-[ RECORD 16 ]-----------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25162-078630
job_title                      | Technology Consultant 1
employer_name                  | INFOSYS LIMITED
secondary_entity_business_name | ACT Inc
employer_poc_email             | Lakshmipriya.vemula@infosys.com
employer_poc_phone             | 19724702051
employer_poc_first_name        | Lakshmipriya
