-[ RECORD 1 ]------------------+-----------------------------------------------------------------------------------------------
case_number                    | I-200-23096-912659
job_title                      | Software Developer
employer_name                  | Cirrus Solutions LLC
secondary_entity_business_name | (Remote) Cirrus Solutions LLC
employer_poc_email             | tina@cirrussolutionstech.com
employer_poc_phone             | 17656317663
employer_poc_first_name        | Tina Susan
employer_poc_last_name         | Jose
worksite_address1              | 2056 Berkley Hallway
worksite_address2              | APT 208
worksite_city                  | Fort Mill
worksite_county                | YORK
lawfirm_name_business_name     | Kodem Law Firm PLLC
employer_address1              | 25807 Westheimer Pkwy ste 325
employer_address2              | 
employer_city                  | Katy
employer_state                 | TX
employer_postal_code           | 77494
begin_date                     | 4/14/2023
end_date                       | 4/13/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+-----------------------------------------------------------------------------------------------
case_number                    | I-200-23139-036894
job_title                      | Software Developer
employer_name                  | Cirrus Solutions LLC
secondary_entity_business_name | (Remote) Cirrus Solutions LLC
employer_poc_email             | tina@cirrussolutionstech.com
employer_poc_phone             | 17656317663
employer_poc_first_name        | Tina
employer_poc_last_name         | Susan Jose
worksite_address1              | 2056 Berkley Hallway
worksite_address2              | APT 208
worksite_city                  | Fort Mill
worksite_county                | YORK
lawfirm_name_business_name     | Kodem Law Firm PLLC
employer_address1              | 25807 Westheimer Pkwy ste 325
employer_address2              | 
employer_city                  | Katy
employer_state                 | TX
employer_postal_code           | 77494
begin_date                     | 6/1/2023
end_date                       | 5/31/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 3 ]------------------+-----------------------------------------------------------------------------------------------
case_number                    | I-200-23101-920925
job_title                      | Software Developer
employer_name                  | Cirrus Solutions LLC
secondary_entity_business_name | (Remote) Cirrus Solutions LLC
employer_poc_email             | tina@cirrussolutionstech.com
employer_poc_phone             | 17656317663
employer_poc_first_name        | Tina
employer_poc_last_name         | Susan Jose
worksite_address1              | 2056 Berkley Hallway
worksite_address2              | APT 208
worksite_city                  | Fort Mill
worksite_county                | YORK
