-[ RECORD 1 ]------------------+--------------------------------------------------------------------------------
case_number                    | I-200-21328-725878
job_title                      | DATA ANALYST
employer_name                  | ARTIFINT TECHNOLOGIES LLC
secondary_entity_business_name | ARTIFINT TECHNOLOGIES LLC
employer_poc_email             | h1b@artifint.com
employer_poc_phone             | 13086757715
employer_poc_first_name        | SAI KIRAN REDDY
employer_poc_last_name         | KOTA
worksite_address1              | 69 ALLEN ST
worksite_address2              | SUITE 5B
worksite_city                  | RUTLAND
worksite_county                | RUTLAND
lawfirm_name_business_name     | 
employer_address1              | 639 S LOCUST ST
employer_address2              | SUITE 107
employer_city                  | GRAND ISLAND
employer_state                 | NE
employer_postal_code           | 68801
begin_date                     | 12/2/2021
end_date                       | 12/1/2024
total_worker_positions         | 1
soc_code                       | 15-1199.08
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+--------------------------------------------------------------------------------
case_number                    | I-200-20262-834465
job_title                      | Senior Business Application Analyst
employer_name                  | SPERIDIAN TECHNOLOGIES LLC
secondary_entity_business_name | Agency of Digital Services, State of Vermont
employer_poc_email             |  renea.gonzales@speridian.com
employer_poc_phone             | 15052173725
employer_poc_first_name        | RENEA
employer_poc_last_name         | GONZALES
worksite_address1              | 166 Horseshoe Drive
worksite_address2              | Weeks Building
worksite_city                  | Waterbury
worksite_county                | WASHINGTON
lawfirm_name_business_name     | GREENSPOON MARDER LLP
employer_address1              | 2400  Louisiana Blvd. NE
employer_address2              | Bldg. 3
employer_city                  | Albuquerque
employer_state                 | NM
employer_postal_code           | 87110
begin_date                     | 9/28/2020
end_date                       | 9/27/2023
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+--------------------------------------------------------------------------------
case_number                    | I-200-23261-355264
job_title                      | Sr. Mgr. JC45 - Information Technology Project Managers
employer_name                  | COGNIZANT TECHNOLOGY SOLUTIONS US CORP
secondary_entity_business_name | Agilent Technologies Inc
employer_poc_email             | lca.immigration@cognizant.com
employer_poc_phone             | 16176207316
employer_poc_first_name        | Daniel
employer_poc_last_name         | Shakespeare
worksite_address1              | 100, Tigan Street
worksite_address2              | 
worksite_city                  | Winooski
worksite_county                | CHITTENDEN
lawfirm_name_business_name     | 
employer_address1              | 211 QUALITY CIRCLE
employer_address2              | 
employer_city                  | COLLEGE STATION
employer_state                 | TX
employer_postal_code           | 77845
begin_date                     | 9/27/2023
end_date                       | 9/26/2026
total_worker_positions         | 1
soc_code                       | 15-1299.09
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+--------------------------------------------------------------------------------
case_number                    | I-200-24094-852971
job_title                      | Sr. Mgr. JC45 - Information Technology Project Managers
employer_name                  | COGNIZANT TECHNOLOGY SOLUTIONS US CORP
secondary_entity_business_name | Agilent Technologies Inc
employer_poc_email             | lca.immigration@cognizant.com
employer_poc_phone             | 16176207316
employer_poc_first_name        | Daniel
employer_poc_last_name         | Shakespeare
worksite_address1              | 100, Tigan Street
worksite_address2              | 
worksite_city                  | Winooski
worksite_county                | CHITTENDEN
lawfirm_name_business_name     | 
employer_address1              | 211 QUALITY CIRCLE
employer_address2              | 
employer_city                  | COLLEGE STATION
employer_state                 | TX
employer_postal_code           | 77845
begin_date                     | 4/12/2024
end_date                       | 4/11/2027
total_worker_positions         | 1
soc_code                       | 15-1299.09
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+--------------------------------------------------------------------------------
case_number                    | I-200-25106-870767
job_title                      | Project Delivery Specialist
employer_name                  | Deloitte Consulting LLP
secondary_entity_business_name | Agilent Technologies.
employer_poc_email             | usdeloitteimmigration@deloitte.com
employer_poc_phone             | 16179608170
employer_poc_first_name        | Sarah
employer_poc_last_name         | Dieckbernd
worksite_address1              | 100 Tigan Street
worksite_address2              | 
worksite_city                  | Winooski
worksite_county                | CHITTENDEN
lawfirm_name_business_name     | BERRY APPLEMAN & LEIDEN LLP
employer_address1              | 1700 MARKET STREET
employer_address2              | 
employer_city                  | PHILADELPHIA
employer_state                 | PA
employer_postal_code           | 19103
begin_date                     | 4/28/2025
end_date                       | 4/27/2028
total_worker_positions         | 1
soc_code                       | 15-1252
h_1b_dependent                 | No
-[ RECORD 6 ]------------------+--------------------------------------------------------------------------------
case_number                    | I-200-24284-397766
job_title                      | Principal Consultant
employer_name                  | Apps Associates LLC
secondary_entity_business_name | Apps Associates Managed Services Projects
employer_poc_email             | kerryanne.robinson@appsassociates.com
employer_poc_phone             | 15852780778
employer_poc_first_name        | Kerryanne
employer_poc_last_name         | Robinson
worksite_address1              | 33 Overlook Dr.
worksite_address2              | 
worksite_city                  | South Burlington
worksite_county                | SOUTH BURLINGTON CITY
lawfirm_name_business_name     | Fragomen, Del Rey, Bernsen & Loewy, LLP
employer_address1              | 289 Great Road
employer_address2              | Suite 308
employer_city                  | Acton
employer_state                 | MA
employer_postal_code           | 01720
begin_date                     | 4/4/2025
end_date                       | 4/3/2028
total_worker_positions         | 1
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 7 ]------------------+--------------------------------------------------------------------------------
case_number                    | I-200-24074-799576
job_title                      | Software Developer
employer_name                  | HTC GLOBAL SERVICES INC
secondary_entity_business_name | BCBS  Vermont
employer_poc_email             | IMMIGRATION@HTCINC.COM
employer_poc_phone             | 12487862500
employer_poc_first_name        | SURESH
employer_poc_last_name         | SUBRAMANIAN
worksite_address1              | 445 Industrial Lane
worksite_address2              | 
worksite_city                  | Berlin
worksite_county                | WASHINGTON
lawfirm_name_business_name     | 
employer_address1              | 3270 WEST BIG BEAVER ROAD
employer_address2              | 
employer_city                  | TROY
employer_state                 | MI
employer_postal_code           | 48084
begin_date                     | 3/21/2024
end_date                       | 3/20/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 8 ]------------------+--------------------------------------------------------------------------------
case_number                    | I-200-23037-751558
job_title                      | Manager
employer_name                  | HTC GLOBAL SERVICES INC
secondary_entity_business_name | BCBS  Vermont
employer_poc_email             | IMMIGRATION@HTCINC.COM
employer_poc_phone             | 12487862500
employer_poc_first_name        | SURESH
employer_poc_last_name         | SUBRAMANIAN
worksite_address1              | 445 Industrial Lane
worksite_address2              | 
worksite_city                  | Berlin
worksite_county                | WASHINGTON
lawfirm_name_business_name     | 
employer_address1              | 3270 WEST BIG BEAVER ROAD
employer_address2              | 
employer_city                  | TROY
employer_state                 | MI
employer_postal_code           | 48084
begin_date                     | 2/15/2023
end_date                       | 2/14/2026
total_worker_positions         | 1
soc_code                       | 15-1299.09
h_1b_dependent                 | Yes
-[ RECORD 9 ]------------------+--------------------------------------------------------------------------------
case_number                    | I-200-22344-633297
job_title                      | SOFTWARE DEVELOPER
employer_name                  | HTC GLOBAL SERVICES INC
secondary_entity_business_name | BCBS Vermont
employer_poc_email             | IMMIGRATION@HTCINC.COM
employer_poc_phone             | 12487862500
employer_poc_first_name        | SURESH
employer_poc_last_name         | SUBRAMANIAN
worksite_address1              | 445 Industrial Lane,
worksite_address2              | 
worksite_city                  | Berlin,
worksite_county                | WASHINGTON
lawfirm_name_business_name     | 
employer_address1              | 3270 WEST BIG BEAVER ROAD
employer_address2              | 
employer_city                  | TROY
employer_state                 | MI
employer_postal_code           | 48084
begin_date                     | 1/9/2023
end_date                       | 1/8/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 10 ]-----------------+--------------------------------------------------------------------------------
case_number                    | I-200-22353-648962
job_title                      | Manager
employer_name                  | HTC GLOBAL SERVICES INC
secondary_entity_business_name | BCBS Vermont
employer_poc_email             | IMMIGRATION@HTCINC.COM
employer_poc_phone             | 12487862500
employer_poc_first_name        | SURESH
employer_poc_last_name         | SUBRAMANIAN
worksite_address1              | 445 Industrial Lane
worksite_address2              | 
worksite_city                  | Berlin
worksite_county                | WASHINGTON
lawfirm_name_business_name     | 
employer_address1              | 3270 WEST BIG BEAVER ROAD
employer_address2              | 
employer_city                  | TROY
employer_state                 | MI
employer_postal_code           | 48084
begin_date                     | 1/9/2023
end_date                       | 1/8/2026
total_worker_positions         | 1
soc_code                       | 15-1299.09
h_1b_dependent                 | Yes
-[ RECORD 11 ]-----------------+--------------------------------------------------------------------------------
case_number                    | I-200-22348-639374
job_title                      | SOFTWARE DEVELOPER
employer_name                  | HTC GLOBAL SERVICES INC
secondary_entity_business_name | BCBS Vermont
employer_poc_email             | IMMIGRATION@HTCINC.COM
employer_poc_phone             | 12487862500
employer_poc_first_name        | SURESH
employer_poc_last_name         | SUBRAMANIAN
worksite_address1              | 445 Industrial Lane,
worksite_address2              | 
worksite_city                  | Berlin,
worksite_county                | WASHINGTON
lawfirm_name_business_name     | 
employer_address1              | 3270 WEST BIG BEAVER ROAD
employer_address2              | 
employer_city                  | TROY
employer_state                 | MI
employer_postal_code           | 48084
begin_date                     | 1/9/2023
end_date                       | 1/8/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 12 ]-----------------+--------------------------------------------------------------------------------
case_number                    | I-200-22346-635008
job_title                      | SOFTWARE DEVELOPER
employer_name                  | HTC GLOBAL SERVICES INC
secondary_entity_business_name | BCBS Vermont
employer_poc_email             | IMMIGRATION@HTCINC.COM
employer_poc_phone             | 12487862500
employer_poc_first_name        | SURESH
employer_poc_last_name         | SUBRAMANIAN
worksite_address1              | 445 Industrial Lane,
worksite_address2              | 
worksite_city                  | Berlin,
worksite_county                | WASHINGTON
lawfirm_name_business_name     | 
employer_address1              | 3270 WEST BIG BEAVER ROAD
employer_address2              | 
employer_city                  | TROY
employer_state                 | MI
employer_postal_code           | 48084
begin_date                     | 1/9/2023
end_date                       | 1/8/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 13 ]-----------------+--------------------------------------------------------------------------------
case_number                    | I-200-23027-731904
job_title                      | Software Developer
employer_name                  | HTC GLOBAL SERVICES INC
secondary_entity_business_name | BCBS Vermont
employer_poc_email             | IMMIGRATION@HTCINC.COM
employer_poc_phone             | 12487862500
employer_poc_first_name        | SURESH
employer_poc_last_name         | SUBRAMANIAN
worksite_address1              | 445 Industrial Lane
worksite_address2              | 
worksite_city                  | Berlin
worksite_county                | WASHINGTON
lawfirm_name_business_name     | 
employer_address1              | 3270 WEST BIG BEAVER ROAD
employer_address2              | 
employer_city                  | TROY
employer_state                 | MI
employer_postal_code           | 48084
begin_date                     | 2/20/2023
end_date                       | 2/19/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 14 ]-----------------+--------------------------------------------------------------------------------
case_number                    | I-200-23108-941677
job_title                      | Software Developer
employer_name                  | HTC GLOBAL SERVICES INC
secondary_entity_business_name | BCBS Vermont
employer_poc_email             | IMMIGRATION@HTCINC.COM
employer_poc_phone             | 12487862500
employer_poc_first_name        | SURESH
employer_poc_last_name         | SUBRAMANIAN
worksite_address1              | 445 Industrial Lane
worksite_address2              | 
worksite_city                  | Berlin
worksite_county                | WASHINGTON
lawfirm_name_business_name     | 
employer_address1              | 3270 WEST BIG BEAVER ROAD
employer_address2              | 
employer_city                  | TROY
employer_state                 | MI
employer_postal_code           | 48084
begin_date                     | 5/1/2023
end_date                       | 4/30/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 15 ]-----------------+--------------------------------------------------------------------------------
case_number                    | I-200-22356-656133
job_title                      | SOFTWARE DEVELOPER
employer_name                  | HTC GLOBAL SERVICES INC
secondary_entity_business_name | BCBS Vermont
employer_poc_email             | IMMIGRATION@HTCINC.COM
employer_poc_phone             | 12487862500
employer_poc_first_name        | SURESH
employer_poc_last_name         | SUBRAMANIAN
worksite_address1              | 445 Industrial Lane,
