count|employer_name|employer_address1|employer_address2|employer_city
3|University of Alaska|2025 Yukon Drive|212 Burtovich Building PO Box 755140|Fairbanks
3|University of Alaska|2025 Yukon Drive|212 Butrovich Building, PO Box 755140|Fairbanks
3|University of Alaska|2025 Yukon Drive||Fairbanks
3|NORTH SLOPE BOROUGH SCHOOL DISTRICT|829 AIVIK STREET|N/A|UTQIAGVIK
3|NORTH SLOPE BOROUGH SCHOOL DISTRICT|829 AIVIK STREET||UTQIAGVIK
3|NORTH SLOPE BOROUGH SCHOOL DISTRICT|829 AIVIK STREET||BARROW
2|Native Village of Eyak|110 Nicholoff Way|PO Box 1388|Cordova
2|Native Village of Eyak|110 Nicholoff Way||Cordova
2|Bristol Bay Sportfishing|125 Seversens Point|P.O. Box 164|Iliamna
2|Bristol Bay Sportfishing LLC|125 Seversens Point|P.O. Box 164|Iliamna
2|Pathology Consultants Inc|1650 Cowles Street|Suite 216|Fairbanks
2|Foundation Health LLC|1650 Cowles Street||Fairbanks
2|KIACC Inc|202 Center Ave|102|KODIAK
2|Kodiak Island Ambulatory Care Clinic Inc|202 Center Ave|102|KODIAK
2|Bering Strait School District|225 Main St.||Unalakleet
2|Bering Strait School District|225 Main St.||Unalakeet
2|ACSA ASDN Education Services|234 Gold Street||Juneau
2|ACSA ASDN EDUCATION SERVICES|234 Gold Street||Juneau
2|Teck Alaska Incorporated|2525 C Street|STE 310|Anchorage
2|Teck Alaska Incorporated|2525 C Street|Suite 310|Anchorage
2|Northern Star (Pogo) LLC|3204 International Street||Fairbanks
2|Northern Star (POGO) LLC|3204 International Street||Fairbanks
2|Brice Environmental Services Corporation|3700 Centerpoint Drive|Suite 800|Anchorage
2|Brice Engineering LLC|3700 Centerpoint Drive|Suite 8223|Anchorage
2|ASHOK.G LLC|38 Front Street||Ketchikan
2|Ashok.G LLC|38 Front Street||Ketchikan
2|ASRC Energy Services LLC|3900 C Street|Suite 701|Anchorage
2|Arctic Slope Regional Corporation|3900 C Street|Suite 801|Anchorage
2|Alaska Pacific Brewing Company LLC|721 West 1st Avenue||Anchorage
2|Alaska Pacific Beverage Company LLC|721 West 1st Avenue||Anchorage
2|Brews Brothers LLC|737 W. 5th Avenue|Suite 100|Anchorage
2|Brews Brothers LLC|737 W. 5th Avenue|Suite 110|Anchorage
2|Iditarod Area School District|P. O. Box 90||Grayling
2|Iditarod Area School District|P. O. Box 90||McGarth
2|Nome Public School|P.O. BOX 131||Nome
2|Nome Public Schools|P.O. BOX 131||Nome
2|Nome Public Schools|P.O. Box 131|3.5 Nome-Teller Highway|Nome
2|Nome Public Schools|P.O. Box 131||Nome
2|Southwest Region School District|PO Box 90||Dillingham
2|Iditarod Area School District|PO Box 90||McGrath
1|Fairbanks Gold Mining Inc|1 Fort Knox Road||Fairbanks
1|Lower Yukon School District|100 Airport Road||Mountain Village
1|Usibelli Coal Mine Inc|100 River Road||Healy
1|Norton Sound Health Corporation|1000 Greg Kruschek Avenue|P.O. Box 966|Nome
1|JKD BRANDS LLC|10289 Nigh Road, Unit 11||ANCHORAGE
1|Sealaska Heritage Institute Inc|105 S Seward Street|Suite 201|Juneau
1|ALASKA ARTS SOUTHEAST INC|110 College Drive|Suite 111|Sitka
1|JKD BRANDS LLC|1120 HUFFMAN ROAD, STE 24, PMB 232||ANCHORAGE
1|BTY DENTAL GROUP LLC|1136 N Muldoon Road|STE 110|Anchorage
1|Fairbanks Urology LLC|1211 Cushman Street||Fairbanks
1|Ashok.G LLC|122 Front Street||Ketchikan
1|Yukon Flats School District|123 Hill Street|PO Box 350|Fort Yukon
1|Alaska Gateway School District|1313.5 Alaska Hwy||Tok
1|TerraSond Limited|1617 S Industrial Way||Palmer
1|Foundation Health LLC|1650 Cowels Street||Fairbanks
1|Graystone Resources LLC|1692 Tok Lane|Room 107-2345|Fairbanks
1|Alaska Power and Engineering LLC|17 Letnikof Drive||Haines
1|South Tama County Community School District|1702 Harding Street||Tama
1|Matanuska Telecom Association Inc|1740 S Chugach Street||Palmer
1|Kake City School District|175 Library Place||Kake
1|Advanced Physical Therapy Inc|1917 Abbott Road|Suite 200|Anchorage
1|BTY DENTAL GROUP LLC|1921 W. Dimond Blvd.|STE 101|Anchorage
1|Turnagain Kayak LLC|19796 Hope Hwy||Hope
