count|employer_name|employer_address1|employer_address2|employer_city
16|AppsFreedom Inc|3133 W Frye Road|Suite 101|Chandler
16|appsFreedom Inc|3133 W Frye Road|Suite 101|Chandler
16|Global Patent Solutions LLC|3133 W Frye Road|Suite 101-1280|Chandler
16|Mobivity Inc|3133 W Frye Road|Suite 215|Chandler
16|Decision Resources LLC|3133 W Frye Road|Suite 401|Chandler
16|CPA Global North America LLC|3133 W Frye Road|Suite 401|Chandler
16|Clarivate Analytics (US) LLC|3133 W Frye Road|Suite 401|Chandler
16|CPA Global North America LLC|3133 W Frye Road||Chandler
16|1028 MicroPatent|3133 W Frye Road||Chandler
16|MicroPatent LLC|3133 W Frye Road||Chandler
16|ProQuest LLC|3133 W Frye Road||Chandler
16|Clarivate Analytics (US) LLC|3133 W Frye Road||Chandler
16|ProQuest|3133 W Frye Road||Chandler
16|CPA Global (Landon IP) Inc|3133 W Frye Road||Chandler
16|Master Data Center Inc|3133 W Frye Road||Chandler
16|Decision Resources LLC|3133 W Frye Road||Chandler
10|Climax Molybdenum Company|333 NORTH CENTRAL AVENUE||Phoenix
10|Freeport-McMoRan Miami Inc|333 NORTH CENTRAL AVENUE||PHOENIX
10|Freeport-McMoRan Chino Mines Company|333 NORTH CENTRAL AVENUE||PHOENIX
10|Freeport-McMoRan Bagdad Inc|333 NORTH CENTRAL AVENUE||PHOENIX
10|Freeport-McMoRan Morenci Inc|333 NORTH CENTRAL AVENUE||PHOENIX
10|Freeport-McMoRan Tyrone Mining LLC|333 NORTH CENTRAL AVENUE||PHOENIX
10|Freeport-McMoRan Sierrita Inc|333 NORTH CENTRAL AVENUE||PHOENIX
10|Freeport Minerals Corporation|333 NORTH CENTRAL AVENUE||PHOENIX
10|Freeport-McMoRan Safford Inc|333 NORTH CENTRAL AVENUE||PHOENIX
10|Climax Molybdenum Company|333 NORTH CENTRAL AVENUE||PHOENIX
9|WELLS FARGO SECURITIES LLC|2222 W Rose Garden Ln|Floor 01|PHOENIX
9|Wells Fargo Securities LLC|2222 W Rose Garden Ln|Floor 01|Phoenix
9|WELLS FARGO BANK, N.A.|2222 W Rose Garden Ln|Floor 01|PHOENIX
9|Wells Fargo Bank, N.A.|2222 W Rose Garden Ln|Floor 01|Phoenix
9|Wells Fargo Bank, N.A.|2222 W Rose Garden Ln|Floor 1|Phoenix
9|EVEREN Capital Corporation|2222 W Rose Garden Ln|Floor 1|Phoenix
9|Wells Fargo Securities LLC|2222 W Rose Garden Ln|Floor 1|Phoenix
9|Wells Fargo Bank, N.A.|2222 W Rose Garden Ln|Floor. 01|Phoenix
9|Wells Fargo Bank, N.A.|2222 W Rose Garden Ln||Phoenix
8|Behavioral Health Practice Services LLC|4800 North Scottsdale Road|Suite 2500|Scottsdale
8|Heart Centered Counseling Inc|4800 North Scottsdale Road|Suite 2500|Scottsdale
8|Lessen Inc|4800 North Scottsdale Road|Suite 5000|Scottsdale
8|Lessen LLC|4800 North Scottsdale Road|Suite 5000|Scottsdale
8|LifeStance Health Inc|4800 North Scottsdale Road|Suite 6000|Scottsdale
8|Heart Centered Counseling Inc|4800 North Scottsdale Road|Suite 6000|Scottsdale
8|Lessen LLC|4800 North Scottsdale Road|Suite 6500|Scottsdale
8|Lessen Inc|4800 North Scottsdale Road||Scottsdale
7|Virat Inc|6909 W Ray Road|148|Chandler
7|Inherent Technologies LLC|6909 W Ray Road|Suite 115-129|Chandler
7|BNB Tech Source Inc|6909 W Ray Road|Suite 15-143|Chandler
7|Vijayanand Inc|6909 W Ray Road|Suite 21- 5|Chandler
7|Cloudglee LLC|6909 W Ray Road|Suite 21-17|Chandler
7|Cloudglee LLC|6909 W Ray Road|Suite 21-27|Chandler
7|InfoDrive Systems Inc|6909 W Ray Road|Suite 21-9|Chandler
7|JOBAIRE GROUP INC|7493 N Oracle Road|221|Tucson
7|JobAire Group Inc|7493 N Oracle Road|221|tucson
7|Benson Regional Air Group Inc|7493 N Oracle Road|Ste 221|Tucson
7|JobAire Group Inc|7493 N Oracle Road|Suite 221|Tucson
7|JobAire Group Inc|7493 N Oracle Road|Suite 221|TUCSON
7|JobAire Group Inc|7493 N Oracle Road|Unit 221|Tucson
7|Benson Regional Air Group Inc|7493 N Oracle Road|Unit 221|Tucson
6|OneOrigin Inc|1375 N Scottsdale Road|Ste 180|Scottsdale
6|Global Patent Solutions LLC|1375 N Scottsdale Road|Ste 330|Scottsdale
6|OneOrigin Inc|1375 N Scottsdale Road|Ste 450|Scottsdale
6|evolvedMD Inc|1375 N Scottsdale Road|Suite 200|Scottsdale
6|Xpress Technologies Inc|1375 N Scottsdale Road|Suite 370|Scottsdale
6|Xpress Technologies Inc|1375 N Scottsdale Road||Scottsdale
6|Axon Enteprise Inc|17800 N 85th St||Scottsdale
6|Axon Enterpise Inc|17800 N 85th St||Scottsdale
6|Axon Enterprise Inc|17800 N 85th St||Scottsdale
6|Axon Enterprise, inc.|17800 N 85th St||Scottsdale
6|Axon Enterprise Inc .|17800 N 85th St||Scottsdale
6|Axon Enterprise Inc|17800 N 85th St||Scottdale
6|Yuma Regional Medical Center, an Arizona Non-Profit Corporation|2400 S Avenue A|N/A|Yuma
6|Yuma Regional Medical Center dba Onvida Health Yuma Medical Center|2400 S Avenue A||Yuma
6|Yuma Regional Medical Center|2400 S Avenue A||Yuma
6|Yuma Regional Medical Center dba Onvida Health Medical Group|2400 S Avenue A||Yuma
6|Yuma Regional Medical Center, an Arizona Non-Profit Corporation|2400 S Avenue A||Yuma
6|Yuma Regional Medical Center, an Arizona Non-Profi|2400 S Avenue A||Yuma
6|FTR, Ltd.|4050 E. Cotton Center Blvd|Bldg 1, Suite 17|Phoenix
6|For the Record, Ltd.|4050 E. Cotton Center Blvd|Bldg 7, Ste 74|Phoenix
6|For The Record, Ltd.|4050 E. Cotton Center Blvd|Bldg 7, Ste 75|Phoenix
6|FTR, LTD|4050 E. Cotton Center Blvd|Bldg 7, Ste 75|Phoenix
6|For The Record, LTD|4050 E. Cotton Center Blvd|Bldg 7, Suite 75|Phoenix
6|FTR, Ltd|4050 E. Cotton Center Blvd|Blg 7, Ste 75|Phoenix
5|Qbotica Inc|10000 N 31ST AVE|STE D-304A|PHOENIX
5|QBOTICA INC|10000 N 31ST AVE|STE D-304A|PHOENIX
5|VIRTUOUSPROS INC|10000 N 31ST AVE|SUITE D404D|PHOENIX
5|VIRTUOUSPROS INC|10000 N 31ST AVE|SUITE D404D|PHOENIX,
