count|employer_name|employer_address1|employer_address2|employer_city
16|Swift Beef Company, a JBS USA Subsidiary|1770 Promontory Circle|Suite|Greeley
16|Swift Beef Company, a JBS USA Subsidiary|1770 Promontory Circle|Suite 304|Greeley
16|The PowerPlants Company|1770 Promontory Circle||Greeley
16|Swift Beef Company, a JBS USA Subsidiary|1770 Promontory Circle||Greeley
16|Pilgrims Pride Corporation|1770 Promontory Circle||Greeley
16|Pilgrims Pride Corportation|1770 Promontory Circle||Greeley
16|Food Ventures North America Inc|1770 Promontory Circle||Greeley
16|Plumrose USA Inc|1770 Promontory Circle||Greeley
16|Planterra Foods Company, a JBS USA subsidiary|1770 Promontory Circle||Greeley
16|Swift Beef Company, a JBS USA subsidiary|1770 Promontory Circle||Greeley
16|Swift Prepared Foods|1770 Promontory Circle||Greeley
16|Swift Beef Company - JBS USA LLC|1770 Promontory Circle||Greeley
16|Swift Beef Company , a JBS USA subsidiary|1770 Promontory Circle||Greeley
16|Swift Beef Co., a JBS USA Subsidiary|1770 Promontory Circle||Greeley
16|Swift Beef Company|1770 Promontory Circle||Greeley
16|Swift Beef Co, a JBS USA Subsidiary|1770 Promontory Circle||Greeley
12|DISH WIRELESS L.L.C.|9601 S Meridian Blvd||Englewood
12|Dish Network LLC|9601 S Meridian Blvd||Englewood
12|DISH NETWORK LLC|9601 S Meridian Blvd||ENGLEWOOD
12|Dish Wireless LLC|9601 S Meridian Blvd||Englewood
12|Dish Wireless L.L.C.|9601 S Meridian Blvd||Englewood
12|DISH Network L.L.C.|9601 S Meridian Blvd||Englewood
12|Dish Network L.L.C.|9601 S Meridian Blvd||Englewood
12|DISH Wireless L.L.C.|9601 S Meridian Blvd||Englewood
12|DISH Network LLC|9601 S Meridian Blvd||Englewood
12|Dish Wireless, L.L.C.|9601 S Meridian Blvd||Englewood
12|DISH Network, L.L.C.|9601 S Meridian Blvd||Englewood
12|Dish Network L.L.C|9601 S Meridian Blvd||Englewood
10|JBS SOUDERTON INC|1770 PROMONTORY CIRCLE||GREELEY
10|FOOD VENTURES NORTH AMERICA INC|1770 PROMONTORY CIRCLE||GREELEY
10|PILGRIMS PRIDE CORPORATION|1770 PROMONTORY CIRCLE||GREELEY
10|PLUMROSE USA INC|1770 PROMONTORY CIRCLE||GREELEY
10|SWIFT PORK COMPANY|1770 PROMONTORY CIRCLE||GREELEY
10|SWIFT BEEF COMPANY, A JBS USA SUBSIDIARY|1770 PROMONTORY CIRCLE||GREELEY
10|SWIFT BEEF COMPANY, A JBS SUBSIDIARY|1770 PROMONTORY CIRCLE||GREELEY
10|JBS PLAINWELL INC|1770 PROMONTORY CIRCLE||GREELEY
10|Plumrose USA Inc|1770 PROMONTORY CIRCLE||GREELEY
10|JBS USA SANITATION COMPANY|1770 PROMONTORY CIRCLE||GREELEY
10|Arcadis U.S. Inc|630 Plaza Drive|200|Highlands Ranch
10|Arcadis U.S. Inc|630 Plaza Drive|STE 200|Highlands Ranch
10|Arcadis U.S. Inc|630 Plaza Drive|Suite 200|Highlands Ranch
10|DPS Group Global|630 Plaza Drive|Suite 200|Highlands Ranch
10|Arcadis, A California Partnership|630 Plaza Drive|Suite 200|Highlands Ranch
10|Arcadis Professional Services (USA) Inc|630 Plaza Drive|Suite 200|Highlands Ranch
10|Arcadis Engineering Services (USA) Inc|630 Plaza Drive|Suite 200|Highlands Ranch
10|DPS Group Inc|630 Plaza Drive|Suite 200|Highlands Ranch
10|Arcadis Architects, Engineers and Landscape Architects, A New York General Partnership|630 Plaza Drive|Suite 200|Highlands Ranch
10|Arcadis U.S. Inc|630 Plaza Drive|Suite 200|Highlands  Ranch
9|TTEC SERVICES CORPORATION|6312 S. Fiddlers Green Circle|100N|Greenwood Village
9|Mantis Innovation LLC|6312 S. Fiddlers Green Circle|Suite 100E|Greenwood Village
9|TTEC DIGITAL LLC|6312 S. Fiddlers Green Circle|Suite 100N|Greenwood Village
9|Mantis Innovation LLC|6312 S. Fiddlers Green Circle|Suite 100e|Greenwood Village
9|Mantis Innovation|6312 S. Fiddlers Green Circle|Suite 100e|Greenwood Village
9|Mantis Innovation LLC|6312 S. Fiddlers Green Circle|Suite 420E|Greenwood Village
9|Mantis Innovation LLC|6312 S. Fiddlers Green Circle|Suite 420E|Greenwood village
9|Mantis Innovation LLC|6312 S. Fiddlers Green Circle|Sutie 100e|Greenwood Village
9|TTEC Digital LLC|6312 S. Fiddlers Green Circle||Greenwood Village
9|DISH NETWORK LLC|9601 S. Meridian Blvd|N/A|Englewood
9|Dish Wireless LLC|9601 S. Meridian Blvd||Englewood
9|DISH Network, L.L.C.|9601 S. Meridian Blvd||Englewood
9|Dish Network LLC|9601 S. Meridian Blvd||Englewood
9|Dish NETWORK LLC|9601 S. Meridian Blvd||Englewood
9|DISH Network LLC|9601 S. Meridian Blvd||Englewood
9|DISH Wireless L.L.C|9601 S. Meridian Blvd||Englewood
9|DISH Wireless LLC|9601 S. Meridian Blvd||Englewood
9|DISH NETWORK LLC|9601 S. Meridian Blvd||Englewood
8|Project Canary, PBC|1200 17th Street|23th Floor|Denver
8|Project Canary, PBC|1200 17th Street|26th Floor|Denver
8|PALANTIR TECHNOLOGIES INC|1200 17th Street|SUITE 1500|DENVER
8|Vendavo Inc|1200 17th Street|Suite 1000|Denver
8|PALANTIR TECHNOLOGIES INC|1200 17th Street|Suite 1500|DENVER
8|BKV Corporation|1200 17th Street|Suite 2100|Denver
8|Project Canary, PBC|1200 17th Street|Suite 2300|Denver
8|Earlytrade Inc|1200 17th Street||Denver
8|Preezie Inc|1644 Platte Street|Level 4|Denver
8|AgriWebb Corp.|1644 Platte Street|Suite 400|Denver
8|xMentium Inc|1644 Platte Street|Suite 400|Denver
8|Daytek USA Inc|1644 Platte Street|Suite 400|Denver
8|Moyo Engineering Limited|1644 Platte Street|Suite 400|Denver
8|Assignar Inc|1644 Platte Street|Suite 410|Denver
8|CAP Global Inc|1644 Platte Street||Denver
8|BlueSuit Technologies Inc|1644 Platte Street||Denver
8|PCL Industrial Construction Co.|2000 S Colorado Blvd|2-500|Denver
8|Touchstone IQ LLC|2000 S Colorado Blvd|Annex Ste 460|Denver
8|PCL Construction Services Inc|2000 S Colorado Blvd|Suite 2-500|Denver
8|PCL Construction Inc|2000 S Colorado Blvd|Suite 2-500|Denver
8|PCL Solar Constructors USA Inc|2000 S Colorado Blvd|Suite 2-500|Denver
8|PCL Industrial Construction Co.|2000 S Colorado Blvd|Suite 2-500|Denver
8|Nymbl Science Inc|2000 S Colorado Blvd|Tower 2 Ste 320|Denver
8|Nymbl Science Inc|2000 S Colorado Blvd|Tower 2, Suite 320|Denver
8|Accelo Inc|999 18th Street|Suite 1201N|Denver
8|Adswerve Inc|999 18th Street|Suite 1555N|Denver
8|Forte Information Resources LLC|999 18th Street|Suite 2650S|Denver
8|ZH CPA LLC|999 18th Street|Suite 3000|Denver
8|Vertafore Inc|999 18th Street|Suite 400|Denver
8|VERTAFORE INC|999 18th Street|Suite 400|Denver
8|VERTAFORE INC|999 18th Street|Suite 400|DENVER
8|Accelo Inc|999 18th Street||Denver
7|Trimble Solutions|10368 Westmoor Drive||Westminster
7|Trimble Inc|10368 Westmoor Drive||Westminster
7|PeopleNet Communications Corporation|10368 Westmoor Drive||Westminster
7|AgileAssets Inc|10368 Westmoor Drive||Westminster
7|Trimble Transportation Enterprise Solutions Inc|10368 Westmoor Drive||Westminster
7|PTx Trimble LLC|10368 Westmoor Drive||Westminster
7|PeopleNet Communications Corporation, A Trimble Company|10368 Westmoor Drive||Westminster
7|IQGeo America Inc|1670 Broadway|Suite 2215|Denver
7|IQ Geo America INC|1670 Broadway|Suite 2215|Denver
7|P2ES Holdings LLC|1670 Broadway|Suite 2800|Denver
7|P2ES Holdings LLC|1670 Broadway|Suite 2900|Denver
7|TLP Management Services LLC|1670 Broadway|Suite 3100|Denver
7|IQGEO America Inc|1670 Broadway|Unit 2215|Denver
7|IQGeo America Inc|1670 Broadway|Unit 2215|Denver
7|Dominion Voting Systems Inc|410 17th Street|STE 850|Denver
7|Ensign United States Drilling Inc|410 17th Street|Suite 1200|Denver
7|SugarCRM Inc|410 17th Street|Suite 1310|Denver
7|Civitas Resources Inc|410 17th Street|Suite 1400|Denver
7|Stantec Consulting Services Inc|410 17th Street|Suite 1400|Denver
7|Stantec Consulting Services Inc|410 17th Street|Suite 410|Denver
7|Dominion Voting Systems Inc|410 17th Street|Suite 850|Denver
6|Inovonics Wireless Corporation|11000 Westmoor Circle|Bldg 10, Ste 250|Westminster
6|Inovonics|11000 Westmoor Circle|Bldg. 10, Suite 250|Westminster
6|Sagility LLC|11000 Westmoor Circle|Suite 125|Westminster
6|HGS Healthcare LLC|11000 Westmoor Circle|Suite 125|Westminster
6|Sagility LLC|11000 Westmoor Circle|Suite 125|Westminister
6|Sagility Provider Solutions LLC|11000 Westmoor Circle|Suite 125|Westminster
6|University of Colorado|13001 E 17th Place|EG-306 Suite|Aurora
6|University of Colorado Denver|13001 E 17th Place|Rm. EG-306|Denver
6|University of Colorado Denver - Anschutz|13001 E 17th Place|Rm. EG-306|Denver
6|University of Colorado|13001 E 17th Place|Ste C8000D|AURORA
6|University of Colorado|13001 E 17th Place|Suite C8000D|Aurora
6|University of Colorado|13001 E 17th Place|Suite EG-306|Aurora
6|SafeGraph Inc|1624 Market Street|Ste 226 53755|Denver
6|The Clay Mathematics Institute Inc|1624 Market Street|Suite 226, 17261|Denver
6|The Clay Mathematics Institute|1624 Market Street|Suite 226, 17261|Denver
6|Symita Inc|1624 Market Street|Suite 226, PMB 27876|Denver
6|Figure8 Cloud Solutions LLC|1624 Market Street|Suite 226/PMB 93487|Denver
6|Big Ladder Software LLC|1624 Market Street|Suite 304|Denver
6|Phoenix Analytic Services Inc|1999 Broadway|Suite 4350|Denver
6|Phoenix Analytic Services|1999 Broadway|Suite 4350|Denver
6|Phoenix Capital Inc|1999 Broadway|Suite 4350|Denver
6|Trailhead Institute|1999 Broadway|Suite 600|Denver
6|Knight Piesold and Co.|1999 Broadway|Suite 900|Denver
6|Knight Piesold and Company|1999 Broadway|Suite 900|Denver
6|PCL Construction Inc|2000 S Colorado Blvd. Tower Two|2-500|Denver
6|Nordic PCL Construction Inc|2000 S Colorado Blvd. Tower Two|2-500|Denver
6|PCL Solar Constructors USA Inc|2000 S Colorado Blvd. Tower Two|2-500|Denver
6|PCL Industrial Construction Co.|2000 S Colorado Blvd. Tower Two|2-500|Denver
6|PCL Construction Services Inc|2000 S Colorado Blvd. Tower Two|2-500|Denver
6|PCL Construction Services Inc|2000 S Colorado Blvd. Tower Two|Suite 2-500|Denver
6|EverCommerce Solutions Inc|3601 Walnut Street|Suite 400|Denver
6|AgentSync Inc|3601 Walnut Street|Suite 450|Denver
6|Angi Inc|3601 Walnut Street|Suite 700|Denver
6|HomeAdvisor Inc|3601 Walnut Street|Suite 700|Denver
