count|employer_name|employer_address1|employer_address2|employer_city
23|GENERAL ELECTRIC INTERNATIONAL INC|901 Main Avenue, The Towers at Merritt River|THE TOWERS AT MERRITT RIVER|NORWALK
23|General Electric International Inc|901 Main Avenue, The Towers at Merritt River||NORWALK
23|GE Gas Turbines (Greenville) LLC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|GENERAL ELECTRIC INTERNATIONAL INC|901 Main Avenue, The Towers at Merritt River||NORWALK
23|GE Flight Efficiency Services Inc|901 Main Avenue, The Towers at Merritt River||Norwalk
23|GE HEALTHCARE IITS LLC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|GENERAL ELECTRIC COMPANY|901 Main Avenue, The Towers at Merritt River||Norwalk
23|GE Aviation Systems LLC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|GE Vernova International LLC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|GE Renewables Grid LLC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|DATEX-OHMEDA INC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|OEC MEDICAL SYSTEMS INC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|GE PRECISION HEALTHCARE LLC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|GE MEDICAL SYSTEMS ULTRASOUND & PRIMARY CARE DIAGNOSTICS LLC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|GE MEDICAL SYSTEMS ULTRASOUND & PRIMARY CARE DIAGNOSTICS|901 Main Avenue, The Towers at Merritt River||Norwalk
23|DNH MEDICAL MANAGEMENT INC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|GE MEDICAL SYSTEMS LLC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES INC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|General Electric International Inc|901 Main Avenue, The Towers at Merritt River||Norwalk
23|MEDI-PHYSICS INC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|GE HEALTHCARE INC|901 Main Avenue, The Towers at Merritt River||Norwalk
23|General Electric Company|901 Main Avenue, The Towers at Merritt River||Norwalk
23|GENERAL ELECTRIC INTERNATIONAL INC|901 Main Avenue, The Towers at Merritt River||Norwalk
11|GE Grid Solutions LLC|901 MAIN AVENUE|BUILDING 801|NORWALK
11|EMPLOYERS REASSURANCE CORPORATION|901 MAIN AVENUE|BUILDING 801|NORWALK
11|Employers Reassurance Corporation|901 MAIN AVENUE|BUILDING 801|NORWALK
11|General Electric Company|901 MAIN AVENUE|THE TOWERS AT MERRITT RIVER|NORWALK
11|Electric Insurance Company|901 MAIN AVENUE|THE TOWERS AT MERRITT RIVER|NORWALK
11|GE Packaged Power LP|901 MAIN AVENUE|THE TOWERS AT MERRITT RIVER|NORWALK
11|GENERAL ELECTRIC INTERNATIONAL INC|901 MAIN AVENUE|THE TOWERS AT MERRITT RIVER|NORWALK
11|GE Grid Solutions LLC|901 MAIN AVENUE|THE TOWERS AT MERRITT RIVER|NORWALK
11|GE Energy Power Conversion USA Inc|901 MAIN AVENUE|THE TOWERS AT MERRITT RIVER|NORWALK
11|GE Steam Power Inc|901 MAIN AVENUE|THE TOWERS AT MERRITT RIVER|NORWALK
11|GE HEALTHCARE IITS USA CORPORATION|901 MAIN AVENUE||NORWALK
11|Weiss Multi-Strategy Advisers LLC|One State Street|20th Floor|Hartford
11|Weiss Multi-Strategy Advisers LLC|One State Street|Floor 20|Hartford
11|Hartford HealthCare Corporation|One State Street|Suite 19|Hartford
11|WorldBusiness Capital Inc|One State Street|Suite 2110|Hartford
11|The Hartford Steam Boiler Inspecition & Insurance Company|One State Street||Hartford
11|The Hartford Steam Boiler Inspection and Insurance Co.|One State Street||Hartford
11|The Hartford Steam Boiler Inspection & Insurance Co|One State Street||Hartford
11|The Hartford Steam Boiler Inspection & Insurance Co.|One State Street||Hartford
11|The Hartford Steam Boiler I&I Co|One State Street||Hartford
11|The Hartford Steam Boiler Inspection & Insurance Company|One State Street||Hartford
11|Robinson & Cole LLP|One State Street||Hartford
10|TRC Engineers Inc|21 Griffin Road North|N/A|Windsor
10|TRC Engineers. Inc (CA)|21 Griffin Road North|N/A|Windsor
10|TRC Engineers LLC|21 Griffin Road North|N/A|Windsor
10|TRC Environmental Corporation|21 Griffin Road North|N/A|Windsor
10|TRC Engineers Inc (CA)|21 Griffin Road North|N/A|Windsor
10|TRC Engineers Inc|21 Griffin Road North|Winsor|Windsor
10|TRC Engineers Inc (CA)|21 Griffin Road North||Windsor
10|TRC Engineers LLC|21 Griffin Road North||Windsor
10|TRC Environmental Corporation|21 Griffin Road North||Windsor
10|TRC Engineers Inc|21 Griffin Road North||Windsor
10|Harman US Corporate|400 Atlantic Street|15th Floor|Stamford
10|Harman International Industries Inc|400 Atlantic Street|15th Floor|Stamford
10|Harman International Industries Inc|400 Atlantic Street|4th Floor|Stamford
10|GENERAL REINSURANCE CORPORATION|400 Atlantic Street|9th Floor|Stamford
10|Engelhart CTP (US) LLC|400 Atlantic Street|Floor 11|Stamford
10|Harman International Industries Inc|400 Atlantic Street|Floor 15|Stamford
10|Harman US Corporate|400 Atlantic Street|Floor 15|Stamford
10|Harman International Industries Inc|400 Atlantic Street|Floor 15th|Stamford
10|Harman International Industries Inc|400 Atlantic Street|Floor 4th|Stamford
10|AXA Investment Managers US Inc|400 Atlantic Street|Suite 1000|Stamford
10|Quantum-Si Incorporated|530 Old Whitfield Street||Guildford
