count|employer_name|employer_address1|employer_address2|employer_city
74|CLOUDFEN LLC|4080 McGinnis Ferry Road|1005 STE|ALPHARETTA
74|Prolific Technologies Inc|4080 McGinnis Ferry Road|1403|Alpharetta
74|Competent Systems Inc|4080 McGinnis Ferry Road|1504|Alpharetta
74|Topsys IT Solutions LLC|4080 McGinnis Ferry Road|Bldg 100, Suite 104|Alpharetta
74|TOPSYS IT Solutions LLC|4080 McGinnis Ferry Road|Bldg 100, Suite 104|Alpharetta
74|TOPSYS IT SOLUTIONS LLC|4080 McGinnis Ferry Road|Bldg 100, Suite 104|Alpharetta
74|Opensoft System Inc|4080 McGinnis Ferry Road|Bldg 200, Ste 204|Alpharetta
74|PETADIGIT LLC|4080 McGinnis Ferry Road|STE 1207|ALPHARETTA
74|Ameri and Partners Inc|4080 McGinnis Ferry Road|STE 1306|Alpharetta
74|Tanzo Technologies LLC|4080 McGinnis Ferry Road|STE 1402|Alpharetta
74|Prolific Technologies Inc|4080 McGinnis Ferry Road|STE 1403|ALPHARETTA
74|Prolific Technologies Inc|4080 McGinnis Ferry Road|STE 1403|Alpharetta
74|Stier Solutions Inc|4080 McGinnis Ferry Road|STE 1406|Alpharetta
74|CLOUDFEN LLC|4080 McGinnis Ferry Road|SUITE 1005|Alpharetta
74|CLOUDFEN LLC|4080 McGinnis Ferry Road|SUITE 1005|ALPHARETTA
74|PETADIGIT LLC|4080 McGinnis Ferry Road|SUITE 1207|ALPHARETTA
74|Prolific Technologies Inc|4080 McGinnis Ferry Road|Ste 1403|Alpharetta
74|Stier Solutions Inc|4080 McGinnis Ferry Road|Ste 1406|Alpharetta
74|Dracs Consulting Group Inc|4080 McGinnis Ferry Road|Ste1203|Alpharetta
74|PNODE Inc|4080 McGinnis Ferry Road|Suite 1003|Alpharetta
74|CloudFen LLC|4080 McGinnis Ferry Road|Suite 1005|Alpharetta
74|CLOUDFEN LLC|4080 McGinnis Ferry Road|Suite 1005|ALPHARETTA
74|CloludFen LLC|4080 McGinnis Ferry Road|Suite 1005|Alpharetta
74|aiStreams LLC|4080 McGinnis Ferry Road|Suite 1005|Alpharetta
74|CloudFen LLc|4080 McGinnis Ferry Road|Suite 1005|Alpharetta
74|Cloudfen LLC|4080 McGinnis Ferry Road|Suite 1005|Alpharetta
74|CLOUDFEN LLC|4080 McGinnis Ferry Road|Suite 1005|Alpharetta
74|Tangent Services Corporation|4080 McGinnis Ferry Road|Suite 1006|Alpharetta
74|The Omnitrust Technologies|4080 McGinnis Ferry Road|Suite 1008|Alpharetta
74|The Omnitrust Technolgies|4080 McGinnis Ferry Road|Suite 1008|Alpharetta
74|The Omnitrust Technologies LLC|4080 McGinnis Ferry Road|Suite 1008|Alpharetta
74|WYNCORE INC|4080 McGinnis Ferry Road|Suite 102|Alpharetta
74|WynCore Inc|4080 McGinnis Ferry Road|Suite 102|Alpharetta
74|Inprocess Consulting LLC|4080 McGinnis Ferry Road|Suite 103|Alpharetta
74|POSITIVE GROUP LLC|4080 McGinnis Ferry Road|Suite 1201|Alpharetta
74|Positive Group LLC|4080 McGinnis Ferry Road|Suite 1201|Alpharetta
74|POSITIVE GROU P LLC|4080 McGinnis Ferry Road|Suite 1201|Alpharetta
74|Unicorn Technologies LLC|4080 McGinnis Ferry Road|Suite 1203|Alpharetta
74|Welkin Technologies LLC|4080 McGinnis Ferry Road|Suite 1204|Alpharetta
74|RapidIT Inc|4080 McGinnis Ferry Road|Suite 1206|Alpharetta
