count|employer_name|employer_address1|employer_address2|employer_city
4|Tidydaily Inc|1003 Bishop Street|Suite 1830|Honolulu
4|LDDI LLC|1003 Bishop Street|Suite 2155|Honolulu
4|ITSConsulting LLC|1003 Bishop Street|Suite 2700|Honolulu
4|ITSCONSULTING LLC|1003 Bishop Street|Suite 2700|Honolulu
3|QUEENS UNIVERSITY MEDICAL GROUP|1301 PUNCHBOWL STREET||HONOLULU
3|THE QUEENS HEALTH SYSTEMS|1301 PUNCHBOWL STREET||HONOLULU
3|THE QUEENS MEDICAL CENTER|1301 PUNCHBOWL STREET||HONOLULU
3|Research Corporation of the University of Hawaii|1601 East West Road Burns Hall|4th|Honolulu
3|Research Corporation of the University of Hawaii|1601 East West Road Burns Hall|4th Floor|Honolulu
3|Research Corporation of the University of Hawaii|1601 East West Road Burns Hall||Honolulu
3|Alpha Global Travel Services LLC|1888 KALAKAUA AVENUE|C312|Honolulu
3|Alpha Global Travel Services|1888 KALAKAUA AVENUE|C312|Honolulu
3|ALPHA GLOBAL TRAVEL SERVICES LLC|1888 KALAKAUA AVENUE|SUITE C312|HONOLULU
3|Alamea at Hyatt LLC|2250 Kalakaua Avenue|Suite 405|honolulu
3|KOA NANI LLC|2250 Kalakaua Avenue|Suite 405|Honolulu
3|Hawaii HIS Corporation|2250 Kalakaua Avenue|Suite 406|Honolulu
3|CROUCHING LION F&B LLC|54-230 Kamehameha Hwy||Hauula
3|Asia Pacific Educational Foundation|54-230 Kamehameha Hwy||Hauula
3|Asia Pacific Education Foundation|54-230 Kamehameha Hwy||Hauula
3|Hawaii Pacific Health|55 Merchant Street|Floor 25|Honolulu
3|Kapiolani Medical Specialists|55 Merchant Street|Floor 25|Honolulu
3|Peter Vincent & Associates LLC|55 Merchant Street|Suite 1430|Honolulu
3|Pacific Accounting & Business Services|PO Box 419||Honolulu
3|Pacific Accounting and Business Services .INC|PO Box 419||Honolulu
3|Pacific Accounting and Business Services INC|PO Box 419||Honolulu
2|KOKUA GEOTECH LLC|1017 N. KING ST.||Honolulu
2|KOKUA GEOTECH LLC fka KAI ENGINEERING SERVICES LLC|1017 N. KING ST.||Honolulu
2|Baldridge& Associates Structural Engineer Inc|1164 Bishop Street|Suite 1600|Honolulu
2|Baldridge & Associates Structural Engineering Inc|1164 Bishop Street|Suite 1600|Honolulu
2|Advanced Reproductive Medicine and Gynecology of Hawaii Inc|1401 South Beretania Street|Suite 250|Honolulu
2|Anestheisa Innovations LLC|1401 South Beretania Street|Suite 400|Honolulu
2|Research Corporation of the University of Hawaii|1601 East-West Road|Burns Hall, 4th Floor|Honolulu
2|Center for Cultural & Technical Interchange Between East & West  Inc|1601 East-West Road||Honolulu
2|Hawaii America Evangelical University|1814 ALGAROBA ST||HONOLULU
2|Hawaii Calvary Church|1814 ALGAROBA ST||HONOLULU
2|MID PACIFIC PHYSICIANS AND SURGEONS, LLP|1830 WELLS STREET|SUITE 101|WAILUKU
2|MID PACIFIC PHYSICIANS AND SURGEONS LLP|1830 WELLS STREET|SUITE 101|WAILUKU
2|Central Pacific Bank|220 South King Street|8th Floor|Honolulu
2|Central Pacific Bank|220 South King Street|Suite 870|Honolulu
2|Virtual Tradewinds Inc|2611 Ala Wai Blvd unit 1201||Honolulu
2|Virtual Tradewinds|2611 Ala Wai Blvd unit 1201||Honolulu
2|Pet Hospitals of Hawaii|420 Uluniu St||Kailua
2|Makai Pet Hospital|420 Uluniu St||Kailua
2|Blueprint LLC|560 N. Nimitz Hwy|Suite 121A|HONOLULU
2|Blueprint LLC|560 N. Nimitz Hwy|Suite 121A|Honolulu
2|Pacific Island Health Officers Association|733 Bishop Street|Suite 1820|Honolulu
2|Pacific Island Health Officers Association|733 Bishop Street|Suite 1820|HONOLULU
2|Kamaile Academy Public Charter School|85-180 Ala Akau Street||Waianae
2|Kamaile Academy, PCS|85-180 Ala Akau Street||Waianae
2|Dean Sakamoto Architects|99 N. King Street|2nd Floor|Honolulu
2|Dean Sakamoto Architects LLC|99 N. King Street||Honolulu
2|DIAGNOSTIC LABORATORY SERVICES INC|99-859 IWAIWA STREET||HONOLULU
2|DIAGNOSTIC LABORATORY SERVICES INC|99-859 IWAIWA STREET||AIEA
2|N&K CPAs Inc|999 Bishop Street|Suite 2200|Honolulu
2|First Hawaiian Bank|999 Bishop Street||Honolulu
1|Mulligans on the Blue LLC|100 Kaukahi Street||Kihei
1|Prowork Pacific Inc|100 N Beretania St|Ste 114|Honolulu
1|Hoike Networks Inc|1000 Bishop Street|Suite 701|Honolulu
1|Martin, Chock & Carden Inc|1001 Bishop St Ste 2950||Honolulu
1|Carlsmith Ball LLP|1001 Bishop Street|Suite 2100|Honolulu
1|Tidy Daily INC|1003 BISHOP ST|STE 1830|HONOLULU
1|TRUSTA, AN ACCOUNTANCY CORPORATION|1003 BISHOP STREET|SUITE 1700|HONOLULU
1|Tidy Daily INC|1003 Bishop St|STE 1830|Honolulu
1|Tidydaily Inc|1003 Bishop St.|Suite 1830|Honolulu
1|Pacific Forum International|1003 Bishop Street, Pauahi Tower|Suite 1150|Honolulu
1|MCYIA LLC|1050 Queen St, Suite 201||Honolulu
1|ClaimCloud LLC|1050 Queen Street|Suite 100|Honolulu
1|Hawaii Global Holiday Inc|110 University Ave,  406||Honolulu
1|PACIFIC FINANCIAL MANAGEMENT LLC|1100 ALAKEA STREET 23ROAD FL||HONOLULU
1|Lili˜uokalani Trust|1100 Alakea Street|Suite 1100|Honolulu
1|Bank of Hawaii|111 S. King Street, Suite 591||Honolulu
1|Hawaii Global Holiday Inc|1110 University Ave,  406||HONOLULU
1|Dole Food Company Hawaii|1116 Whitmore Avenue||Wahiawa
1|Johnson-Pacific Enterprises Inc|1130 N. Nimitz Hwy|Suite A150|Honolulu
1|World Sake Imports Inc|1144 10th Ave|Ste 401|Honolulu
1|UpTech Inc|1150 S King Street|Ste 777|Honolulu
1|Shaka Beverages LLC|116 Keawe Street||Hilo
1|Adon Renewables Corporation|1164 BISHOP ST, Suite 1001||Honolulu
1|Community Planning & Engineering Inc|1286 Queen Emma Street||Honolulu
1|Bank of Hawaii|130 Merchant Street||Honolulu
1|Bank of Hawaii|130 Merchant Street, 9th Floor||Honolulu
1|International Mid Pac Inc|1311 Kapiolani Blvd  200-5||Honolulu
1|Sounding Joy Music Therapy Inc|1314 South King Street, Suite 963||Honolulu
1|Chinese Language Learning Center LLC|1342 7th Avenue||Honolulu
1|Islamic Center of Hawaii|137 W Puainako St||Hilo
1|Hawaii Conference of Seventh-Day Adventists|1438 Pensacola St.||Honolulu
1|Aloha Smiles Dental Inc|1441 KAPIOLANI BLVD|STE 1405|HONOLULU
1|HAWAII EAR, NOSE, AND THROAT CONSULTANTS CORP.|1441 KAPIOLANI BOULEVAROAD|SUITE 1300|HONOLULU
1|ST. LUKES CLINIC - ALA MOANA INC|1441 Kapiolani Blvd.|Suite 2000|Honolulu
1|Goma Inc|1450 Ala Moana Boulevard|Suite 1215|Honolulu
1|Hawaii Kidney Specialists LLP|1520 Liliha St.|Suite 601|Honolulu
1|Hawaii Kidney Specialists, L.L.P.|1520 Liliha Street|Suite 601|Honolulu
1|Maui Divers of Hawaii, Limited|1520 Liona Street||Honolulu
1|Bishop Museum|1525 Bernice Street||Honolulu
1|OAHU TENNIS ACADEMY LLC|155 PAOAKALANI AVENUE|NO. 202|HONOLULU
1|DESIGN PARTNERS INCORPORATED|1580 MAKALOA STREET|STE 1100|HONOLULU
1|Research Corporation of the University of Hawaii|1601 East West Road, Burns Hall|4th Floor|Honolulu
1|Decision Research Corporation|1601 Kapiolani Blvd|1100 Suite|Honolulu
1|Punahou School|1601 Punahou Street||Honolulu
1|Marketplace Software LLC|1738 Silva Street||Honolulu
1|Pacific Buddhist Academy|1754 Lusitana Street||Honolulu
1|Ganga and Amrit LLC|1778 Ala Moana Blvd|Suite 213|Honolulu
1|University of Hawaii Foundation|1810 University Avenue|Suite 300|Honolulu
1|Mid Pacific Surgical Specialists|1830 Wells Street|Suite 101|Wailuku
1|Mililani 10s Kidz Inc|1834 10th Ave||Honolulu
1|Community Clinic of Maui Inc|1881 Nani Street||Wailuku
1|Tournet Hawaii Inc|1888 Kalakaua Avenue|Suite C109|Honolulu
1|Hoike Networks Inc|201 Merchant Street|Suite 2000|Honolulu
1|DORVIN D. LEIS CO. INC|202 Lalo Street||KAHULUI
1|TruTag Technologies Inc|2045 Lauwiliwili St., Suite 301||Kapolei
1|International Archaeological Research Institute Inc|2081 Young Street||Honolulu
1|Warren S. Unemori Engineering Inc|2145 Wells St.|Suite 403|Wailuku
1|Central Pacific Bank|220 South King Street, Suite 870||Honolulu
