count|employer_name|employer_address1|employer_address2|employer_city
6|CRADLEPOINT INC|1100 W. Idaho Street|Floor 8|BOISE
6|CRADLEPOINT INC|1100 W. Idaho Street|Ste 800|BOISE
6|ERICSSON ENTERPRISE WIRELESS SOLUTIONS INC|1100 W. Idaho Street|Suite 800|Boise
6|ERICSSON ENTERPRISE SOLUTIONS INC|1100 W. Idaho Street|Suite 800|Boise
6|CRADLEPOINT INC|1100 W. Idaho Street|Suite 800|BOISE
6|CRADLEPOINT INC|1100 W. Idaho Street|Suite 800|Boise
4|Saint Alphonsus Health Systems Inc|1055 N. Curtis Road||Boise
4|Saint Alphonsus Regional Medical Center Inc|1055 N. Curtis Road||Boise
4|Saint Alphonsus Health System Inc|1055 N. Curtis Road||Boise
4|St. Alphonsus Health System Inc|1055 N. Curtis Road||Boise
4|Prefab Logistics LLC (DBA Prefab Logic)|16376 Star Road|Ste 200|Nampa
4|Autovol Inc|16376 Star Road|Suite 100|Nampa
4|Prefab Logistics LLC|16376 Star Road|Suite 200|Nampa
4|Autovol Inc|16376 Star Road||Nampa
4|Idaho State University|921 S 8th Ave|Pocatello|Pocatello
4|Idaho State University|921 S 8th Ave|Stop 8038|Pocatello
4|Idaho State University|921 S 8th Ave||Pocagtello
4|Idaho State University|921 S 8th Ave||Pocatello
3|CRADLEPOINT INC|1100 W Idaho Street|Floor 8|BOISE
3|CRADLEPOINT INC|1100 W Idaho Street|Ste 800|BOISE
3|CRADLEPOINT INC|1100 W Idaho Street|Suite 800|BOISE
3|Micron Idaho Semiconductor Manufacturing (Triton) LLC|8000 S Federal Way||Boise
3|Micron Technology Inc|8000 S Federal Way||Boise
3|Micron New York Semiconductor Manufacturing LLC|8000 S Federal Way||Boise
3|Micron Semiconductor Products Inc|8000 S. Federal Way||Boise
3|Micron Idaho Semiconductor Manufacturing (Triton) LLC|8000 S. Federal Way||Boise
3|Micron Technology Inc|8000 S. Federal Way||Boise
3|University of Idaho|875 Perimeter Drive|MS 1250|Moscow
3|University of Idaho|875 Perimeter Drive|Suite MS 1250|Moscow
3|University of Idaho|875 Perimeter Drive||Moscow
2|J.R. Simplot Company|1099 W. Front Street|N/A|Boise
