count|employer_name|employer_address1|employer_address2|employer_city
56|Dental Professionals of Georgia, P.C.|1200 Network Centre Drive|Suite 2|Effingham
56|Iowa Dental Health Professionals PC|1200 Network Centre Drive|Suite 2|Effingham
56|Missouri Dental Professionals, Richard Straus, D.M.D., PC|1200 Network Centre Drive|Suite 2|Effingham
56|Pinnacle One Dental Group Inc|1200 Network Centre Drive|Suite 2|Effingham
56|Neibauer Dental Care, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Neibauer Dental Care PC|1200 Network Centre Drive|Suite 2|Effingham
56|DENTAL HEALTH ASSOCIATES OF TEXAS, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Ohio Dental Professionals, Delisle, P.C.|1200 Network Centre Drive|Suite 2|Effingham
56|Ohio Dental Professionals, P.C.|1200 Network Centre Drive|Suite 2|Effingham
56|Dental Professionals of Pennsylvania, PC|1200 Network Centre Drive|Suite 2|Effingham
56|OKC Dental Health Associates PC|1200 Network Centre Drive|Suite 2|Effingham
56|Dental Professionals of South Carolina, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Dental Professionals of Pennsylvania PC|1200 Network Centre Drive|Suite 2|Effingham
56|Fusion Dental, A.P.|1200 Network Centre Drive|Suite 2|Effingham
56|Carus Dental, P.C.|1200 Network Centre Drive|Suite 2|effingham
56|Dental Professionals of Oklahoma, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Dental Professionals of Missouri, Richard Straus, DMD, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Dental Professionals of Maine, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Dental Professionals of Kansas, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Dental Professionals of Illinois, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Dental Professionals of Illinois, P.C.|1200 Network Centre Drive|Suite 2|Effingham
56|Killeen and Heights Dental Centers PLLC|1200 Network Centre Drive|Suite 2|Effingham
56|Quirt Family Dentistry, S.C.|1200 Network Centre Drive|Suite 2|Effingham
56|Dental Health Associates of Texas, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Northland Dental Partners|1200 Network Centre Drive|Suite 2|Effingham
56|Shin DDS Professional Dental Corporation|1200 Network Centre Drive|Suite 2|Effingham
56|Comfortable Care Dental Health Professionals, PA|1200 Network Centre Drive|Suite 2|Effingham
56|Heartland Dental LLC|1200 Network Centre Drive|Suite 2|Effingham
56|Dental Professionals of Virginia, P.C.|1200 Network Centre Drive|Suite 2|Effingham
56|Carus Dental, PC|1200 Network Centre Drive|Suite 2|Effingham
56|My Dentist Wichita, P.A.|1200 Network Centre Drive|Suite 2|Effingham
56|Wisconsin Dental Group, S.C.|1200 Network Centre Drive|Suite 2|Effingham
56|Dental Professionals of Virginia, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Dental Professionals of Washington, Quirt, Mongrain, Gibree, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Idaho Dental Professionals, P.C.|1200 Network Centre Drive|Suite 2|Effingham
56|Tennessee Dental Professionals, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Wisconsin Dental Group SC|1200 Network Centre Drive|Suite 2|Effingham
56|Arizona Dental Professionals, PC|1200 Network Centre Drive|Suite 2|Effingham
56|LIFETIME DENTAL CARE OF MARYLAND, PC|1200 Network Centre Drive|Suite 2|Effingham
56|LIFETIME DENTAL CARE OF ILLINOIS, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Tru Dental Michigan, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Tru Dental Michigan|1200 Network Centre Drive|Suite 2|Effingham
56|Willman DDS Professional|1200 Network Centre Drive|Suite 2|Effingham
56|K Jasinski DMD PC|1200 Network Centre Drive|Suite 2|Effingham
56|Tennessee Dental Professionals, P.C.|1200 Network Centre Drive|Suite 2|Effingham
56|Quirt Family Dentistry, SC|1200 Network Centre Drive|Suite 2|Effingham
56|CDPG, PA|1200 Network Centre Drive|Suite 2|Effingham
56|American Family Dentistry of Memphis, P.C.|1200 Network Centre Drive|Suite 2|Effingham
56|Alabama Dental Professionals, PC|1200 Network Centre Drive|Suite 2|Effingham
56|S. Gibree, D.M.D., P.C.|1200 Network Centre Drive|Suite 2|Effingham
56|Lifetime Dental Care of Oregon, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Lifetime Dental Care of Michigan, P.C.|1200 Network Centre Drive|Suite 2|Effingham
56|Lifetime Dental Care of Maryland, Badger, PC|1200 Network Centre Drive|Suite 2|Effingham
56|Lifetime Dental Care of Illinois, P.C.|1200 Network Centre Drive|Suite 2|Effingham
56|Connecticut Dental Professionals, P.C.|1200 Network Centre Drive|Suite 2|Effingham
56|TRU DENTAL MICHIGAN PC|1200 Network Centre Drive||Effingham
32|ABBOTT LABORATORIES|100 ABBOTT PARK ROAD|Dept. 32RC, Bldg AP6A|NORTH CHICAGO
32|ABBOTT LABORATORIES INC (ALI)|100 ABBOTT PARK ROAD|Dept. 32RC, Bldg AP6A|NORTH CHICAGO
32|ABBOTT LABORATORIES INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ABBOTT DIABETES CARE INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|eScreen Inc|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ABBOTT RAPID DIAGNOSTICS INFORMATICS INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|BIGFOOT BIOMEDICAL INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ABBOTT LABORATORIES|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ABBOTT POINT OF CARE INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ABBOTT MOLECULAR INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|Ameditech Inc|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ABBOTT DIABETES CARE SALES CORPORATION|100 ABBOTT PARK ROAD||ABBOTT PARK
32|LINGO US INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ABBOTT DIAGNOSTICS SCARBOROUGH INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|St. Jude Medical Business Services Inc|100 ABBOTT PARK ROAD||ABBOTT PARK
32|St. Jude Medical SC Inc|100 ABBOTT PARK ROAD||ABBOTT PARK
32|IONIAN TECHNOLOGIES LLC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|Abbott Laboratories|100 ABBOTT PARK ROAD||ABBOTT PARK
32|St. Jude Medical Cardiology Division Inc|100 ABBOTT PARK ROAD||ABBOTT PARK
32|St. Jude Medical, Cardiology Division Inc|100 ABBOTT PARK ROAD||ABBOTT PARK
32|NEWYU INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ESCREEN INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|St. Jude Medical Cardiology Division|100 ABBOTT PARK ROAD||ABBOTT PARK
32|STANDING STONE LLC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ST. JUDE MEDICAL, CARDIOLOGY DIVISION INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ST. JUDE MEDICAL SC INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|EVALVE INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ALERE SAN DIEGO INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ST. JUDE MEDICAL BUSINESS SERVICES INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|TENDYNE HOLDINGS INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ALERE INC|100 ABBOTT PARK ROAD||ABBOTT PARK
32|ABBOTT CARDIOVASCULAR SYSTEMS INC|100 ABBOTT PARK ROAD||ABBOTT PARK
26|ALERE INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|LINGO US INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|Abbott Cardiovascular Systems Inc|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|CARDIOVASCULAR SYSTEMS INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ABBOTT DIABETES CARE SALES CORPORATION|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ABBOTT LABORATORIES INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ABBOTT MOLECULAR INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ABBOTT RAPID DX NORTH AMERICA LLC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ABBOTT DIABETES CARE Inc|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ABBOTT DIAGNOSTICS SCARBOROUGH INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ABBOTT LABORATORIES|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|St. Jude Medical, Cardiology Division Inc|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ABBOTT DIABETES CARE INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|EVALVE INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ABBOTT CARDIOVASCULAR SYSTEMS INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|Tendyne Holdings LLC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|STANDING STONE LLC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ESCREEN INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ST. JUDE MEDICAL S.C. INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|BIGFOOT BIOMEDICAL INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|IONIAN TECHNOLOGIES LLC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ST. JUDE MEDICAL SC INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ST. JUDE MEDICAL BUSINESS SERVICES INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|Global Analytical Development LLC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|AMEDITECH INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
26|ALERE SAN DIEGO INC|233 S WACKER DRIVE|FLOOR 25|CHICAGO
23|The University of Chicago|Office of International Affairs|1427 E 60th Street, STE 251|Chicago
23|University of Chicago|Office of International Affairs|1427 E 60th Street, STE 251|Chicago
23|University of Chicago|Office of International Affairs|1427 E 60th Street, Ste 251|Chicago
23|University of Chicago|Office of International Affairs|1427 E 60th Street, Unit 251|Chicago
23|The university of Chicago|Office of International Affairs|1427 E. 60t Street, Ste 251|Chicago
23|The University of Chicago|Office of International Affairs|1427 E. 60th Sreet, STE 251|Chicago
23|The University of Chicago|Office of International Affairs|1427 E. 60th St., Suite 251|Chicago
23|University of Chicago|Office of International Affairs|1427 E. 60th Street|Chicago
23|The University of Chicago|Office of International Affairs|1427 E. 60th Street|Chicago
23|University of Chicago|Office of International Affairs|1427 E. 60th Street, STE|Chicago
23|University of Chicago|Office of International Affairs|1427 E. 60th Street, STE 251|Chicago
23|The University of Chicago|Office of International Affairs|1427 E. 60th Street, STE 251|Chicago
23|The University of Chicago|Office of International Affairs|1427 E. 60th Street, Ste 251|Chicago
23|University of Chicago|Office of International Affairs|1427 E. 60th Street, Ste 251|Chicago
23|University of Chicago|Office of International Affairs|1427 E. 60th Street, Suite 251|Chicago
23|The University of Chicago|Office of International Affairs|1427 E. 60th Street, Unit 251|Chicago
23|University of Chicago|Office of International Affairs|1427 E. 60th Street, Unit 251|Chicago
23|University of Chicago|Office of International Affairs|1427 E. 60th Street, unit 251|Chicago
23|The University of Chicago|Office of International Affairs|1427 E. 60th, STE 251|Chicago
23|University of Chicago|Office of International Affairs|1427 E. 60thStreet, STE 251|Chicago
