count|employer_name|employer_address1|employer_address2|employer_city
18|Biomet 3i LLC|56 East Bell Drive||Warsaw
18|Zimmer US Inc|56 East Bell Drive||Warsaw
18|Biomet Fairlawn LLC|56 East Bell Drive||Warsaw
18|Zimmer Production Inc|56 East Bell Drive||Warsaw
18|CD Diagnostics Inc|56 East Bell Drive||Warsaw
18|Biomet Manufacturing LLC|56 East Bell Drive||WARSAW
18|Biomet Manufacturing LLC|56 East Bell Drive||Warsaw
18|Zimmer Trabecular Metal Technology Inc|56 East Bell Drive||Warsaw
18|Biomet Manufacturing, Corp|56 East Bell Drive||Warsaw
18|Zimmer Surgical Inc|56 East Bell Drive||Warsaw
18|Cayenne Medical Inc|56 East Bell Drive||Warsaw
18|CitraLabs LLC|56 East Bell Drive||Warsaw
18|Biomet Manufacturing, Corp.|56 East Bell Drive||Warsaw
18|Zimmer Surgical Inc|56 East Bell Drive||WARSAW
18|Zimmer Biomet CMF and Thoracic LLC|56 East Bell Drive||Warsaw
18|Zimmer Inc|56 East Bell Drive||WARSAW
18|Zimmer Biomet Spine Inc|56 East Bell Drive||Warsaw
18|Zimmer Inc|56 East Bell Drive||Warsaw
10|Berry Plastics Opco Inc|101 Oakley Street||Evansville
10|BPRex Closures LLC|101 Oakley Street||Evansville
10|Berry Global Inc|101 Oakley Street||Evansville
10|Berry Film Products Company Inc|101 Oakley Street||Evansville
10|Chicopee Inc|101 Oakley Street||Evansville
10|Covalence Specialty Adhesives LLC|101 Oakley Street||Evansville
10|Poly-Seal LLC|101 Oakley Street||Evansville
10|Fiberweb LLC|101 Oakley Street||Evansville
10|SETCO LLC|101 Oakley Street||Evansville
10|BP REX Closures LLC|101 Oakley Street||Evansville
10|Zimmer Production Inc|56 E Bell Drive|Warsaw|46582
10|Zimmer Surgical Inc|56 E Bell Drive||Warsaw
10|Zimmer Production Inc|56 E Bell Drive||Warsaw
10|Biomet Manufacturing, Corp.|56 E Bell Drive||Warsaw
10|Biomet Manufacturing LLC|56 E Bell Drive||Warsaw
10|Zimmer US Inc|56 E Bell Drive||Warsaw
10|Biomet Fairlawn LLC|56 E Bell Drive||Warsaw
10|Zimmer Biomet CMF and Thoracic LLC|56 E Bell Drive||Warsaw
10|Biomet Manufacturing LLC (formerly Corp.)|56 E Bell Drive||Warsaw
10|Zimmer Inc|56 E Bell Drive||Warsaw
9|Elevance Health Inc|220 Virginia Ave|Suite 200|Indianapolis
9|Carelon Medical Benefits Management Inc|220 Virginia Ave||Indianapolis
9|New England Research Institutes|220 Virginia Ave||Indianapolis
9|Carelon Research Inc|220 Virginia Ave||Indianapolis
9|Elevance Health|220 Virginia Ave||Indianapolis
9|Elevance Health Inc|220 Virginia Ave||Indianapolis
9|Amerigroup Corporation|220 Virginia Ave||Indianapolis
9|National Government Services Inc|220 Virginia Ave||Indianapolis
9|Anthem Inc|220 Virginia Ave||Indianapolis
9|Elevance Health Inc|220 Virginia Avenue|Suite 200|Indianapolis
9|Carelon Research Inc|220 Virginia Avenue||Indianapolis
9|Elevance Health|220 Virginia Avenue||Indianapolis
9|Anthem INC|220 Virginia Avenue||Indianapolis
9|Elevance Health Inc|220 Virginia Avenue||Indianapolis
9|Anthem Inc|220 Virginia Avenue||Indianapolis
9|National Government Services Inc|220 Virginia Avenue||Indianapolis
9|American Imaging Management Inc|220 Virginia Avenue||Indianapolis
9|Elevance Health, INc.|220 Virginia Avenue||Indianapolis
6|Bastian Solutions LLC|10585 North Meridian Street|Floor 3|Indianapolis
6|Bastian Solutions LLC|10585 North Meridian Street|Floor 3|Carmel
6|Bastian Solution LLC|10585 North Meridian Street||Indianapolis
6|Bastian Solutions LLC|10585 North Meridian Street||Carmel
6|Bastian Solution LLC|10585 North Meridian Street||Carmel
6|Bastian Solutions LLC|10585 North Meridian Street||Indianapolis
5|Advanced Respiratory Inc|1069 STATE ROUTE 46 E||BATESVILLE
5|HILL-ROM MANUFACTURING INC|1069 STATE ROUTE 46 E||BATESVILLE
5|HILL-ROM SERVICES INC|1069 STATE ROUTE 46 E||BATESVILLE
5|HILL-ROM COMPANY INC|1069 STATE ROUTE 46 E||BATESVILLE
5|WELCH ALLYN INC|1069 STATE ROUTE 46 E||BATESVILLE
5|LHP Inc|1888 Poshard Drive||Columbus
5|LHP Data Analytic Solutions|1888 Poshard Drive||Columbus
5|LHP Data Analytic Solutions LLC|1888 Poshard Drive||Columbus
5|LHP Engineering Solutions LLC|1888 Poshard Drive||Columbus
5|LER TechForce LLC|1888 Poshard Drive||Columbus
5|PURDUE UNIVERSITY|2101 E COLISEUM BLVD|3000 E COLISEUM BLVD DOERMER SCHOOL OF BUSINESS, SUITE 300|FORT WAYNE
5|PURDUE UNIVERSITY|2101 E COLISEUM BLVD|DSB 300|FORT WAYNE
5|PURDUE UNIVERSITY|2101 E COLISEUM BLVD|DSB SUITE 300|FORT WAYNE
5|PURDUE UNIVERSITY|2101 E COLISEUM BLVD|DSB, SUITE 300|FORT WAYNE
5|PURDUE UNIVERSITY|2101 E COLISEUM BLVD||FORT WAYNE
5|The Indiana Clinic Support Services LLC|2401 W. University Avenue||Muncie
5|Indiana University Health Care Associates Inc|2401 W. University Avenue||Muncie
5|Indiana University Health Ball Memorial Physicians Inc|2401 W. University Avenue||Muncie
5|Indiana University Health Care Associates Inc|2401 W. University Avenue||MUNCIE
5|Indiana University Health Ball Memorial Hospital Inc|2401 W. University Avenue||Muncie
5|Indiana University Health Arnett Inc|2550 Greenbush Street||Lafayette
5|INDIANA UNIVERSITY HEALTH CARE ASSOCIATES INC|2550 Greenbush Street||Lafayette
5|INDIANA UNIVERSITY HEALTH ARNETT INC|2550 Greenbush Street||Lafayette
5|INDIANA UNIVERSITY HEALTH FRANKFORT INC|2550 Greenbush Street||Lafayette
5|Indiana University Health Care Associates Inc|2550 Greenbush Street||Lafayette
5|INTOUCH DIING INC|4367 South 100 West||Anderson
5|NETMASONS INCORPORATED|4367 South 100 West||Anderson
5|Netmasons Incorporated|4367 South 100 West||Anderson
5|NETMASONS INCORPORATED|4367 South 100 West||ANDERSON
5|INTOUCH DINING INCORPORATED|4367 South 100 West||Anderson
4|Hitachi Global Air Power US LLC|1 Sullair Way||Michigan City
4|Hitachi Global Air Power US LLC (f/k/a Sullair LLC)|1 Sullair Way||Michigan City
4|Hitachi Global Air Power|1 Sullair Way||Michigan City
4|Sullair LLC|1 Sullair Way||Michigan City
4|Hill-Rom Company Inc|1069 State Route 46 E||Batesville
4|Hill-Rom Services Inc|1069 State Route 46 E||Batesville
4|Hill-Rom Manufacturing Inc|1069 State Route 46 E||Batesville
4|Welch Allyn Inc|1069 State Route 46 E||Batesville
4|Flexware Innovation Inc|12 Municipal Drive|Suite 200|Fishers
4|Telix Pharmaceuticals (US) Inc|12 Municipal Drive|Suite 330|Fishers
4|Telix Pharmaceuticals Limited|12 Municipal Drive|Suite 330|Fishers
4|Flexware Innovation Inc|12 Municipal Drive||Fishers
4|Purdue University|155 S Grant Street|Fifth Floor|West Lafayette
4|Purdue University|155 S Grant Street|Fifth floor|West Lafayette
4|Purdue University|155 S Grant Street|Young Hall, Fifth Floor|West Lafayette
4|Purdue University|155 S Grant Street|Young Hall, Room 521|West Lafayette
4|Elanco US Inc|2500 Innovation Way||Greenfield
4|Elanco Animal Health Inc|2500 Innovation Way||Greenfield
4|Lohmann Animal Health International Inc|2500 Innovation Way||Greenfield
4|Elanco Animal Health Incorporated|2500 Innovation Way||Greenfield
4|TRELLEBORG SEALING SOLUTIONS US INC|2509 Bremer Road||Fort Wayne
4|TRELLEBORG SEALING SOLUTIONS U.S. INC|2509 Bremer Road||Fort Wayne
4|Trelleborg Sealing Solutions U.S. Inc|2509 Bremer Road||Fort Wayne
4|Trelleborg Sealing Solutions US Inc|2509 Bremer Road||Fort Wayne
4|Otis R Bowen Center for Human Services INC|2621 E Jefferson St||Warsaw
4|Otis R Bowen Center for Human Services Inc|2621 E Jefferson St||Warsaw
4|Bowen Health Inc|2621 E Jefferson St||Warsaw
4|Otis R Bowen Center for Human Services INC|2621 E Jefferson St||Fort Wayne
4|Indiana University Health Southern Indiana Physicians LLC|2905 N. Stone Carver Dr.||Bloomington
4|INDIANA UNIVERSITY HEALTH SOUTHERN INDIANA PHYSICIANS INC|2905 N. Stone Carver Dr.||BLOOMINGTON
4|INDIANA UNIVERSITY HEALTH SOUTHERN INDIANA PHYSICIANS LLC|2905 N. Stone Carver Dr.||BLOOMINGTON
4|Indiana University Health Care Associates Inc|2905 N. Stone Carver Dr.||BLOOMINGTON
4|LHP Data Analytic Solutions LLC|305 Franklin Street||Columbus
4|LER TechForce LLC|305 Franklin Street||Columbus
4|LHP Data Analytic Solutions|305 Franklin Street||Columbus
4|LHP Engineering Solutions LLC|305 Franklin Street||Columbus
4|Brainlabs USA LLC|501 N Morton St|212|Bloomington
4|Brainlabs USA LLC|501 N Morton St|Ste 212|Bloomington
4|Brainlabs Digital Inc|501 N Morton St|Suite 212|Bloomington
4|Brainlabs USA LLC|501 N Morton St|Suite 212|Bloomington
4|Cayenne Medical Inc|56  E Bell Drive||Warsaw
4|Zimmer Inc|56  E Bell Drive||Warsaw
4|Zimmer Production Inc|56  E Bell Drive||Warsaw
4|Biomet Manufacturing LLC|56  E Bell Drive||Warsaw
4|Deaconess Clinic Inc|600 Mary Street||Evansville
4|Deaconess Hospital Inc|600 Mary Street||Evansville
4|Deaconess Illinois Specialty Clinic Inc|600 Mary Street||Evansville
4|Deaconess Specialty Physicians Inc|600 Mary Street||Evansville
4|Aluminum Dynamics LLC|7575 W Jefferson Blvd||Fort Wayne
4|OmniSource LLC|7575 W Jefferson Blvd||Fort Wayne
4|Steel Dynamics Inc|7575 W Jefferson Blvd||Fort Wayne
4|Steel Dynamics Sales NA Inc|7575 W Jefferson Blvd||Fort Wayne
4|Weaver Popcorn Manufacturing LLC|9365 Counselors Row|Suite 112|Indianapolis
4|JPS Consulting Engineers LLC|9365 Counselors Row|Suite 116|Indianapolis
4|JPS Consulting Engineers LLC|9365 Counselors Row|Suite 116|INDIANAPOLIS
4|BSA LifeStructures Inc|9365 Counselors Row|Suite 300|Indianapolis
3|Winthrop Capital Management LLC|10201 North Illinois Street|Suite 275|Carmel
3|EXLService Technology Solutions LLC|10201 North Illinois Street|Suite 420|Indianapolis
3|ExlService Technology Solutions LLC|10201 North Illinois Street|Suite 420|Indianapolis
3|Calumet GP LLC|1060 N. Capitol Avenue|6-401|Indianapolis
3|Calumet, GP LLC|1060 N. Capitol Avenue|6-401|Indianapolis
3|Calumet GP LLC|1060 N. Capitol Avenue|Suite 6-401|Indianapolis
3|CNO Financial Group Inc|11299 Illinois Street|Suite 200|Carmel
3|CNO Financial Group|11299 Illinois Street|Suite 200|Carmel
3|CNO Services LLC|11299 Illinois Street|Suite 200|Carmel
3|Automotive Finance Corporation|11299 N Illinois Street||Carmel
3|Autoniq LLC|11299 N Illinois Street||Carmel
3|OPENLANE Inc|11299 N Illinois Street||Carmel
3|OPENLANE Inc|11299 N. Illinois Street||Carmel
3|Automotive Finance Corporation|11299 N. Illinois Street||Carmel
3|CarsArrive Network Inc|11299 N. Illinois Street||Carmel
3|Boomerang VC Partners LLC|1220 Waterway Blvd.|Suite H108|Indianapolis
3|ConverSight.ai|1220 Waterway Blvd.||Indianapolis
3|Conversight.ai|1220 Waterway Blvd.||Indianapolis
3|IT Workforce|127 E Michigan St|Suite 100|Indianapolis
3|IT Workforce Inc|127 E Michigan St|Suite 100|Indianapolis
3|IT WORKFORCE INC|127 E Michigan St|Suite 100|Indianapolis
3|BorgWarner PDS (Anderson) LLC|13975 BorgWarner Drive||Noblesville
3|BorgWarner Noblesville LLC|13975 BorgWarner Drive||Noblesville
3|BORGWARNER NOBLESVILLE LLC|13975 BorgWarner Drive||Noblesville
3|Purdue University|155 S. Grant St.|5th Floor|West Lafayette
3|Purdue University|155 S. Grant St.|Fifth Floor|West Lafayette
3|Purdue University|155 S. Grant St.|Floor 5|West Lafayette
3|University of Evansville|1800 LINCOLN AVE|RC 221|Evansville
3|UNIVERSITY OF EVANSVILLE|1800 LINCOLN AVE|RC221|EVANSVILLE
3|UNIVERSITY OF EVANSVILLE|1800 LINCOLN AVE||EVANSVILLE
3|Indiana University|1900 E 10th St|Eigenmann Hall, Rom 525|Bloomington
3|Indiana University|1900 E 10th St|Eigenmann Hall, Room 525|Bloomington
3|Indiana University|1900 E 10th St|Eigenmann Hall, Suite 525|Bloomington
3|Ball State University|2000 W University Ave|AD350|Muncie
3|Ball State University|2000 W University Ave|Suite AD350|Muncie
3|Ball State University|2000 W University Ave||Muncie
3|Cinos Inc|201 North Illinois Street|Floor 16|Indianapolis
3|Vertellus LLC|201 North Illinois Street|Suite 1800|Indianapolis
3|Aurorium LLC|201 North Illinois Street|Suite 1800|Indianapolis
3|Otis R Bowen Center for Human Services Inc|2100 Goshen Road||Fort Wayne
3|Otis R Bowen Center for Human Services|2100 Goshen Road||Fort Wayne
3|Otis R. Bowen Center for Human Services Inc|2100 Goshen Road||Fort Wayne
3|Purdue University|2101 E Coliseum Blvd|DSB 300|Fort Wayne
3|Purdue University|2101 E Coliseum Blvd|Walb Student Union 145|Fort Wayne
3|Purdue University|2101 E Coliseum Blvd||Fort Wayne
3|Neurava Inc|3000 Kent Avenue|Suite 1158|West Lafayette
3|Quasistatics Inc|3000 Kent Avenue|Suite 1544|West Lafayette
3|Tecsoil USA Inc|3000 Kent Avenue|Suite 2130|West Lafayette
3|SAAM Inc|55 Monument Circle|7th Floor|Indianapolis
3|Avtech Solutions Inc|55 Monument Circle|Suite 825|Indianapolis
3|PAXAFE Inc|55 Monument Circle|Suite 900A|Indianapolis
3|PIA Automation US Inc|5825 Old Boonville Hwy||Evansville
3|Evana Tool & Engineering Inc|5825 Old Boonville Hwy||Evansville
3|Evana Tool & Engineering Inc d/b/a PIA Automation US Inc|5825 Old Boonville Hwy||Evansville
3|OMF Services LLC|601 N.W. Second Street||Evansville
3|OneMain General Services Corporation|601 N.W. Second Street||Evensville
3|OneMain General Services Corporation|601 N.W. Second Street||Evansville
3|LOCHMUELLER GROUP|6200 VOGEL ROAD|jlangley@lochgroup.com|Evansville
3|LOCHMUELLER GROUP|6200 VOGEL ROAD||Evansville
3|LOCHMUELLER GROUP INC|6200 VOGEL ROAD||Evansville
3|Lochmueller Group Inc|6200 Vogel Road|jlangley@lochgroup.com|Evansville
3|Lochmueller Group Inc|6200 Vogel Road||Evansville
3|LOCHMUELLER GROUP|6200 Vogel Road||Evansville
3|Cook Incorporated|750 Daniels Way||Bloomington
3|Cook Medical Holdings LLC|750 Daniels Way||Bloomington
3|Cook Medical Technologies LLC|750 Daniels Way||Bloomington
3|Hat World Inc|7676 Interactive Way|Suite 300|Indianapolis
