count|employer_name|employer_address1|employer_address2|employer_city
6|Mercy Clinics|1111 6th Avenue||Des Moines
6|Catholic Health Initiatives-Iowa Corp.|1111 6th Avenue||Des Moines
6|Catholic Health Initiatives - Iowa, Corp. d/b/a MercyOne Des Moines Medical Center|1111 6th Avenue||Des Moines
6|Mercy Clinics Inc|1111 6th Avenue||Des Moines
6|Catholic Health Initiatives - Iowa, Corp.|1111 6th Avenue||Des Moines
6|Catholic Health Initiatives – Iowa, Corp.|1111 6th Avenue||Des Moines
6|SREE INFOTECK LLC|5550 Wild Rose Lane|Suite 400|West Des Moines
6|Westgate Technologies Inc|5550 Wild Rose Lane|Suite 400|West Des Moines
6|Siri Consultancy Service Inc|5550 Wild Rose Lane|Suite 400|West Des Moines
6|Westgate Technologies Inc|5550 Wild Rose Lane|Suite 400|West Desmoines
6|Nybble TekSolutions INC|5550 Wild Rose Lane|Suite 400|West Des Moines
6|Nybble TekSolutions Inc|5550 Wild Rose Lane|Suite 400|West Des Moines
5|Mercy Health Services - Iowa Corp.|1000 4th Street SW||Mason City
5|Mercy Health Services-Iowa Corp.|1000 4th Street SW||Mason City
5|Mercy Health Services-Iowa Corp. d/b/a MercyOne North Iowa Medical Center|1000 4th Street SW||Mason City
5|MercyOne North Iowa|1000 4th Street SW||Mason City
5|Mercy Health Services - Iowa, Corp.|1000 4th Street SW||Mason City
5|SunHydrogen Inc|2500 Crosspark Road|E141|Coralville
5|VIDA Diagnostics Inc|2500 Crosspark Road|Suite W250|Coralville
5|VIDA Diagnostics Inc|2500 Crosspark Road|W250|Coralville
5|Isoray Medical Inc|2500 Crosspark Road||Coralville
5|SunHydrogen Inc|2500 Crosspark Road||Coralville
5|Transamerica Life Insurance Company|6400 C Street SW|MS 3845|Cedar Rapids
5|Aegon Global Services LLC|6400 C Street SW|MS 3845|Cedar Rapids
5|Aegon Global Services LLC|6400 C Street SW||Cedar Rapids
5|Transamerica Life Insurance Company|6400 C Street SW||Cedar Rapids
5|Aegon USA Realty Advisors LLC|6400 C Street SW||Cedar Rapids
4|MAHARISHI INTERNATIONAL UNIVERSITY|1000 NORTH FOURTH STREET|N/A|FAIRFIELD
4|Maharishi International University|1000 NORTH FOURTH STREET||Fairfield
4|MAHARISHI international UNIVERSITY|1000 NORTH FOURTH STREET||FAIRFIELD
4|MAHARISHI International UNIVERSITY|1000 NORTH FOURTH STREET||FAIRFIELD
4|Great River Health System Inc|1221 South Gear Avenue||West Burlington
4|Southeast Iowa Regional Medical Center Inc|1221 South Gear Avenue||West Burlington
4|Great River Health Systems Inc d/b/a Southeast Iowa Regional Medical Center Inc|1221 South Gear Avenue||West Burlington
4|Southeast Iowa Regional Medical Center|1221 South Gear Avenue||West Burlington
4|Iowa Fertilizer Company|3550 180th Street||Wever
4|Koch Fertilizer Wever LLC|3550 180th Street||Wever
4|Iowa Fertilizer Company LLC|3550 180th Street||Wever
4|OCI Nitrogen Iowa|3550 180th Street||Wever
4|Siri Consultancy Services Inc|5550 Wild Rose Ln|STE 400|Des Moines
4|Siri Consultancy Services Inc|5550 Wild Rose Ln|SUITE 400|WEST DES MOINES
4|NYBBLE TEKSOLUTIONS INC|5550 Wild Rose Ln|Suite 400|West DesMoines
4|Siri Consultancy Services Inc|5550 Wild Rose Ln|Suite 400|Des Moines
4|BHE Renewables LLC|666 Grand Avenue|PO Box 657|Des Moines
4|Ruan Transport Corporation|666 Grand Avenue|Suite 3200|Des Moines
4|BHE Renewables LLC|666 Grand Avenue||Des Moines
4|MidAmerican Energy Company|666 Grand Avenue||Des Moines
4|Mercy Health Services Iowa Corp|801 5th Street||Sioux City
4|Mercy Medical Services Inc|801 5th Street||Sioux City
4|Mercy Health Services-Iowa Corp.|801 5th Street||Sioux City
4|Mercy Health Services - Iowa Corp.|801 5th Street||Sioux City
3|The University of Iowa|1 W. Prentiss Street|121-20 USB|Iowa City
3|The University of Iowa|1 W. Prentiss Street|121-20 University Services Building|Iowa City
3|University of Iowa|1 W. Prentiss Street|121-20 University Services Building|Iowa City
3|GuideOne Insurance Company|1111 Ashworth Road||West Des Moines
