count|employer_name|employer_address1|employer_address2|employer_city
9|Sentient Energy Inc|4111 E 37th Street North||Wichita
9|Koch Capabilities LLC|4111 E 37th Street North||Wichita
9|Optimized Process Designs LLC|4111 E 37th Street North||Wichita
9|Koch Minerals & Trading LLC|4111 E 37th Street North||Wichita
9|KBX Technology Solutions LLC|4111 E 37th Street North||Wichita
9|Koch Engineered Solutions LLC|4111 E 37th Street North||Wichita
9|Koch Business Solutions, LP.|4111 E 37th Street North||Wichita
9|Koch Minerals Trading LLC|4111 E 37th Street North||Wichita
9|Chentronics LLC|4111 E 37th Street North||Wichita
8|Koch Fertilizer LLC|4111 E. 37th Street N.||Wichita
8|Koch Energy Services LLC|4111 E. 37th Street N.||Wichita
8|Flint Hills Resources Corpus Christi LLC|4111 E. 37th Street N.||Wichita
8|Flint Hills Resources Pine Bend LLC|4111 E. 37th Street N.||Wichita
8|Koch Methanol St. James LLC|4111 E. 37th Street N.||Wichita
8|Koch Fertilizer Ft. Dodge LLC|4111 E. 37th Street N.||Wichita
8|Flint Hills Resources, LC|4111 E. 37th Street N.||Wichita
8|Koch Agronomic Services LLC|4111 E. 37th Street N.||Wichita
6|Security Benefit Corporation|1 Security Benefit Place|N/A|Topeka
6|Security Benefit Business Services LLC|1 Security Benefit Place|N/A|Topeka
6|Everly LLC|1 Security Benefit Place||Topeka
6|Security Benefit Business Services LLC|1 Security Benefit Place||Topeka
6|Security Benefit Corporation|1 Security Benefit Place||Topeka
6|Security Benefit Corporation|1 Security Benefit Place||Topkea
6|Diode Ventures LLC|11401 Lamar Avenue||Overland Park
6|Overland Contracting Inc|11401 Lamar Avenue||Overland Park
6|Black & Veatch Construction Inc|11401 Lamar Avenue||Overland Park
6|Black & Veatch Corporation|11401 Lamar Avenue||Overland Park
6|Black & Veatch Management Consulting LLC|11401 Lamar Avenue||Overland Park
6|Black & Veatch Puerto Rico PSC|11401 Lamar Avenue||Overland Park
6|Topeka Public Schools Unified School District No. 501|624 SW 24th Street||Topeka
6|USD 501, Topeka Public Schools|624 SW 24th Street||Topeka
6|U.S.D. 501, Topeka Public Schools|624 SW 24th Street||Topeka
6|Topeka Public Schools, Unified School District No.501|624 SW 24th Street||Topeka
6|Topeka Public Schools, Unified School District No. 501|624 SW 24th Street||Topeka
6|Topeka Public Schools Unified School District No.501|624 SW 24th Street||Topeka
5|Data Systems International Inc|11101 Switzer Road|3rd Floor|Overland Park
