count|employer_name|employer_address1|employer_address2|employer_city
11|SEAL Consulting Inc|100 Centurylink Drive||Monroe
11|CenturyLink Management Company|100 Centurylink Drive||Monroe
11|Level 3 Communications LLC|100 Centurylink Drive||Monroe
11|Lumen Technologies Government LLC|100 Centurylink Drive||Monroe
11|Embarq Management Company d/b/a CenturyLink|100 Centurylink Drive||Monroe
11|Level 3 Communications LLC (CenturyLink/Lumen entity)|100 Centurylink Drive||Monroe
11|CenturyLink Communications LLC|100 Centurylink Drive||Monroe
11|Qwest Corporation d/b/a CenturyLink QC|100 Centurylink Drive||Monroe
11|Lumen Technologies Service Group LLC|100 Centurylink Drive||Monroe
11|Seal Consulting Inc|100 Centurylink Drive||Monroe
11|Qwest Corporation|100 Centurylink Drive||Monroe
9|Southern Medical Partners, L.L.C.|200 Corporate Boulevard||Lafayette
9|Hospitalist and Emergency Services of Texas PA|200 Corporate Boulevard||Lafayette
9|TSG Resources Inc|200 Corporate Boulevard||Lafayette
9|Southern Medical Partners LLC|200 Corporate Boulevard||Lafayette
9|Hospitalist and Emergency Services of Texas, PA|200 Corporate Boulevard||Lafayette
9|Hospitalist Services of Arkansas, PC|200 Corporate Boulevard||Lafayette
9|National Hospitalist Services, PC|200 Corporate Boulevard||Lafayette
9|Hospitalist Services of Georgia, PC|200 Corporate Boulevard||Lafayette
9|Hospitalist and Emergency Services, PC|200 Corporate Boulevard||Lafayette
8|SEAL Consulting Inc|100 CenturyLink Drive||Monroe
8|CenturyLink Communications LLC|100 CenturyLink Drive||Monroe
8|Seal Consulting Inc|100 CenturyLink Drive||Monroe
8|Qwest Corporation d/b/a CenturyLink QC|100 CenturyLink Drive||Monroe
8|Lumen Technologies Service Group LLC|100 CenturyLink Drive||Monroe
8|Qwest Corporation|100 CenturyLink Drive||Monroe
8|Embarq Management Company|100 CenturyLink Drive||Monroe
8|Level 3 Communications LLC|100 CenturyLink Drive||Monroe
8|Ochsner LSU Health System of North Louisiana|1450 Poydras Street|26th Floor|New Orleans
8|Ochsner Clinic Foundation|1450 Poydras Street|26th Floor|New Orleans
8|Ochsner Clinic Foundation|1450 Poydras Street|Suite 2250|New Orleans
8|Ochsner LSU Health System of North Louisiana|1450 Poydras Street|Suite 2250|New Orleans
8|Ochsner Clinic Foundation|1450 Poydras Street|Suite 2520|New Orleans
8|Ochsner Clinic Foundation|1450 Poydras Street|Suite 2600|New Orleans
8|Ochsner LSU Health System of North Louisiana|1450 Poydras Street|Suite 2600|New Orleans
8|Southern Regional Medical Corporation|1450 Poydras Street|Suite 2600|New Orleans
6|CenturyLink Communications LLC|100 CenturyLink Dr.||Monroe
6|Qwest Corporation d/b/a Lumen Technologies Inc|100 CenturyLink Dr.||Monroe
6|Qwest Corporation|100 CenturyLink Dr.||Monroe
6|Sealing Consulting Inc|100 CenturyLink Dr.||Monroe
6|Seal Consulting Inc|100 CenturyLink Dr.||Monroe
6|Lumen Technologies Service Group LLC|100 CenturyLink Dr.||Monroe
6|Louisiana State University and A & M College|112 Thomas Boyd Hall|N/A|Baton Rouge
6|International Services|112 Thomas Boyd Hall||Baton Rouge
6|Louisiana State University and A & M College|112 Thomas Boyd Hall||Baton Rouge
6|Louisiana State University|112 Thomas Boyd Hall||Baton Rouge
6|Louisiana State University and & College|112 Thomas Boyd Hall||Baton Rouge
6|Louisiana State University and A&M College|112 Thomas Boyd Hall||Baton Rouge
6|Willis Knighton Medical Center Inc|2600 Greenwood Road|N/A|Shreveport
6|Willis-Knighton Medical Center Inc|2600 Greenwood Road|Suite 160|Shreveport
6|Willis Knighton Medical Center Inc|2600 Greenwood Road|Suite 160|Shreveport
6|Willis Knighton Medical Center Inc|2600 Greenwood Road||Shreveport
6|Willis-Knighton Medical Center Inc d/b/a WillisKnighton Health|2600 Greenwood Road||Shreveport
6|Willis-Knighton Medical Center Inc|2600 Greenwood Road||Shreveport
5|Tech Raker Inc|1602 W Pinhook Road|Suite 202-B|Lafayette
5|Tech Rakers Inc|1602 W Pinhook Road|Suite 202-B|Lafayette
5|TECH RAKERS INC|1602 W Pinhook Road|Suite 202B|LAFAYETTE
5|Tech Rakers Inc|1602 W Pinhook Road||Lafayette
5|TECH RAKERS INC|1602 W Pinhook Road||LAFAYETTE
5|Phelps Dunbar LLP|365 Canal Street|Suite 2000|New Orleans
5|ED&F Man Liquid Products LLC|365 Canal Street|Suite 2929|New Orleans
5|Cint USA Inc|365 Canal Street|Suite 3100|New Orleans
5|Lucid Holdings LLC|365 Canal Street|Suite 3100|New Orleans
5|Lucid Holdings Inc|365 Canal Street|Suite 3100|New Orleans
5|Entergy Nuclear Operations Inc|639 Loyola Avenue, L-ENT-13D||New Orleans
5|Entergy Operations Inc|639 Loyola Avenue, L-ENT-13D||New Orleans
5|Entergy Power Operations US Inc|639 Loyola Avenue, L-ENT-13D||New Orleans
5|Entergy Services LLC|639 Loyola Avenue, L-ENT-13D||New Orleans
5|Entergy Services LLC|639 Loyola Avenue, L-ENT-13D||NEW ORLEANS
5|Entergy Texas Inc|639 Loyola Avenue, L-ENT-4C||New Orleans
5|Entergy Arkansas Inc|639 Loyola Avenue, L-ENT-4C||New Orleans
5|Entergy Arkansas LLC|639 Loyola Avenue, L-ENT-4C||New Orleans
5|Entergy Services LLC|639 Loyola Avenue, L-ENT-4C||New Orleans
5|Entergy Mississippi LLC|639 Loyola Avenue, L-ENT-4C||New Orleans
5|LSU - Pennington Biomedical Research Center|6400 Perkins Road||Baton Rouge
5|LSU Pennington Biomedical Research Center|6400 Perkins Road||Baton Rouge
5|Pennington Biomedical Research Center|6400 Perkins Road||Baton Rouge
