count|employer_name|employer_address1|employer_address2|employer_city
4|Eastern Maine Medical Center|489 State Street|N/A|Bangor
4|Eastern Maine Medical Center|489 State Street||Portland
4|Eastern Maine Medical Center|489 State Street||Bangor
4|Maine Coast Regional Health Facilities|489 State Street||Bangor
3|WEX Health Inc|1 Hancock Street||Portland
3|WEX Inc|1 Hancock Street||Portland
3|Wex Health Inc|1 Hancock Street||Portland
3|Primo Restaurant Inc|2 Main Street|N/A|Rockland
3|Fleabags LLC|2 Main Street|Ste 18-126|Biddeford
3|Primo Restaurant Ltd|2 Main Street||Rockland
3|Inspire Veterinary Services of NY, P.C.|27 Pearl Street|3rd Floor|Portland
3|Rarebreed Veterinary Partners Inc|27 Pearl Street|3rd Floor|Portland
3|Rarebreed Veterinary Partners Inc|27 Pearl Street||Portland
3|RITE PROS INC|565 Congress St|Suite 305|Portland
3|RITE PROS Inc|565 Congress St|Suite 305|Portland
3|Rite Pros Inc|565 Congress St|Suite 305|Portland
3|Pines Health|74 Access Highway|PO Box 40|Caribou
3|Pines Health Services|74 Access Highway|PO Box 40|Caribou
3|Pines Health Services|74 Access Highway||Caribou
3|Chenmark Capital Management LLC|75 Washington Avenue|Suite 2C|Portland
3|ARKATECHTURE|75 Washington Avenue|Suite 2D|Portland
3|ARKATECHTURE|75 Washington Avenue|Suite 2F|Portland
2|Woodard & Curran Inc|12 Mountfort Street||Portland
2|Covetrus Inc|12 Mountfort Street||Portland
2|The Aroostook Medical Center|140 Academy Street|Suite 4|Presque Isle
2|The Aroostook Medical Center|140 Academy Street||Presque Isle
2|L.L.Bean Inc|15 Casco Street||Freeport
2|L.L. Bean Inc|15 Casco Street||Freeport
2|TRC Engineers LLC|249 Western Avenue|N/A|Augusta
2|TRC Engineers LLC|249 Western Avenue||Augusta
2|RB Drumm VH LLC|30 Danforth Street|Suite 304|Portland
2|Rarebreed Veterinary Partners Inc|30 Danforth Street|Suite 304|Portland
2|Cambridge Mobile Telematics Inc|314 Main Street|1200|Cambridge
2|Cambridge Mobile Telematics Inc|314 Main Street|Suite 1200|Cambridge
2|Spectrum Health Partners|324 Gannett Drive|Suite 200|South Portland
2|Spectrum Healthcare Partners|324 Gannett Drive|Suite 200|South Portland
2|MaineGeneral Medical Center|35 Medical Center Parkway||Augusta
2|MaineGeneral Health|35 Medical Center Parkway||Augusta
