count|employer_name|employer_address1|employer_address2|employer_city
19|MedStar Health Inc|10980 Grantchester Way|6404 Ivy Lane; Suite 110, Greenbelt, MD 20770|Columbia
19|MedStar Health Inc|10980 Grantchester Way|6525 Belcrest Road, Suite 700, Hyattsville, MD 20782|Columbia
19|MedStar Health Inc|10980 Grantchester Way|8010 Corporate Drive, Suite B, White Marsh, MD 21236|Columbia
19|MedStar Health Inc|10980 Grantchester Way|8094 Sandpiper Circle, Ste G, Nottingham, MD 21236|Columbia
19|MedStar Health Inc|10980 Grantchester Way|8094 Sandpiper Circle, White Marsh, MD 21236|Columbia
19|FEI.COM Inc|10980 Grantchester Way|Suite 370|Columbia
19|MedStar Medical Group Anesthesiology LLC|10980 Grantchester Way|Suite 500|Columbia
19|MedStar Medical Group Anesthesiology LLC|10980 Grantchester Way||Columbia
19|MedStar Medical Group II  LLC|10980 Grantchester Way||Columbia
19|MedStar Health Inc|10980 Grantchester Way||Columbia
19|MedStar Medical Group II LLC|10980 Grantchester Way||Columbia
19|MedStar Health Research Institute Inc|10980 Grantchester Way||Columbia
19|MEDSTAR MEDICAL GROUP-SOUTHERN MARYLAND LLC|10980 Grantchester Way||Columbia
19|MedStar Health Research Institute|10980 Grantchester Way||Columbia
19|MedStar Shah MSO LLC|10980 Grantchester Way||Columbia
19|HH MedStar Health Inc|10980 Grantchester Way||Columbia
19|MedStar Medical group II LLC|10980 Grantchester Way||Columbia
19|MedStar Medical Group Radiology LLC|10980 Grantchester Way||Columbia
19|MedStar Medical Group II|10980 Grantchester Way||Columbia
14|EDISQUARE INC|12410 Milestone Center Dr|STE 600|GERMANTOWN
14|BETANODES INC|12410 Milestone Center Dr|STE 600 OFFICE 627|GERMAN TOWN
14|AKHIL SOFTWARE TECHNOLOGIES LLC|12410 Milestone Center Dr|STE 600 Office 642|Germantown
14|EDISQUARE INC|12410 Milestone Center Dr|STE-600|GERMANTOWN
14|4i Apps Solutions LLC|12410 Milestone Center Dr|Ste 600|Germantown
14|Lares IT Solutions Inc|12410 Milestone Center Dr|Ste 600|Germantown
14|IT LABS INC|12410 Milestone Center Dr|Suite 600|Germantown
14|Techouts Inc|12410 Milestone Center Dr|Suite 600|Germantown
14|LARES IT SOLUTIONS INC|12410 Milestone Center Dr|Suite 600|Germantown
14|Q9 Software LLC|12410 Milestone Center Dr|Suite 600|Germantown
14|LaresIT Solutions Inc|12410 Milestone Center Dr|Suite 600|Germantown
14|IT Labs Inc|12410 Milestone Center Dr|Suite 600|Germantown
14|Technofix IT Solutions LLC|12410 Milestone Center Dr|Suite 600, Office no 672|Germantown
14|Technofix IT solutions LLC|12410 Milestone Center Dr|Suite 600, office no 672|Germantown
13|Technofix IT Solutions LLC|12410 Milestone Center Drive|Office 672, Suite 600|Germantown
13|Whisker Labs Inc|12410 Milestone Center Drive|Ste 325|Germantown
13|Ideal Tech LLC|12410 Milestone Center Drive|Suite 600|Germantown
13|UPTREND TECHNOLOGIES LLC|12410 Milestone Center Drive|Suite 600|Germantown
13|DrFirst.com Inc|12410 Milestone Center Drive|Suite 600|Germantown
13|ClarksTech LLC|12410 Milestone Center Drive|Suite 600|Germantown
13|Lares IT Solutions Inc|12410 Milestone Center Drive|Suite 600|Germantown
13|IT Labs Inc|12410 Milestone Center Drive|Suite 600|Germantown
13|Technofix IT Solutions LLC|12410 Milestone Center Drive|Suite 600|Germantown
13|Technofix IT Solutions LLC|12410 Milestone Center Drive|Suite 600, Office 672|Germantown
13|Technofix IT Solutions LLC|12410 Milestone Center Drive|Suite 600, ofc 672|Germantown
13|AKHIL SOFTWARE TECHNOLOGIES LLC|12410 Milestone Center Drive|Suite 642|Germantown
13|Technofix IT Solutions LLC|12410 Milestone Center Drive|suite 600, office no 672|Germantown
10|BLOOMING BODH LLC|12410 MILESTONE CENTER DR|STE 600|GERMANTOWN
10|Akhil Software Technologies LLC|12410 MILESTONE CENTER DR|STE 600 OFC 642|GERMANTOWN
10|Akhil Software Technologies LLC|12410 MILESTONE CENTER DR|STE 600, OFC 642|Germantown
10|Akhil Software Technologies LLC|12410 MILESTONE CENTER DR|STE 600, OFC 642|GERMANTOWN
10|LARES IT SOLUTIONS INC|12410 MILESTONE CENTER DR|SUITE 600|GERMANTOWN
10|LARESIT SOLUTIONS INC|12410 MILESTONE CENTER DR|SUITE 600|GERMANTOWN
10|WISELINK GLOBAL INC|12410 MILESTONE CENTER DR|SUITE 600|GERMANTOWN
10|UPTREND TECHNOLOGIES LLC|12410 MILESTONE CENTER DR|SUITE 600|GERMANTOWN
10|LARES IT SOLUTIONS INC|12410 MILESTONE CENTER DR|SUITE 600|GERMENTOWN
