count|employer_name|employer_address1|employer_address2|employer_city
48|Trendset IT Inc|38345 W 10 Mile Road|120|Farmington Hills
48|Trendset IT Inc|38345 W 10 Mile Road|STE 120|Farmington Hills
48|Bhrigus Inc|38345 W 10 Mile Road|STE 125|Farmington Hills
48|Computek Solutions Inc|38345 W 10 Mile Road|STE 145|Farmington Hills
48|Lancosoft Inc|38345 W 10 Mile Road|STE 165|Farmington Hills
48|Brightsharks Engineering Services LLC|38345 W 10 Mile Road|STE 200|Farmington Hills
48|GENESIS SOFTWARE SOLUTIONS INC|38345 W 10 Mile Road|SUITE 148|FARMINGTON HILLS
48|IT RYSOURCES INC|38345 W 10 Mile Road|Ste 111|Farmington Hills
48|Trendset IT Inc|38345 W 10 Mile Road|Ste 120|Farmington Hills
48|Bhrigus Inc|38345 W 10 Mile Road|Ste 125|Farmington Hills
48|IT RYSOURCES INC|38345 W 10 Mile Road|Ste 143A|Farmington Hills
48|Computek Solutions Inc|38345 W 10 Mile Road|Ste 145|Farmington Hills
48|AMEX SYSTEMS INC|38345 W 10 Mile Road|Ste 146|Farmington Hills
48|GENESIS SOFTWARE SOLUTIONS INC|38345 W 10 Mile Road|Ste 148|Farmington Hills
48|American IT Solutions Inc|38345 W 10 Mile Road|Ste 210|Farmington
48|IKON Software Services|38345 W 10 Mile Road|Ste 255|Farmington Hills
48|ARKS IT Inc|38345 W 10 Mile Road|Ste 270|Farmington Hills
48|Nalin and Associates PC|38345 W 10 Mile Road|Ste 354|Farmington Hills
48|DVS Technosoft Inc|38345 W 10 Mile Road|Ste 354|Farmington Hills
48|VKTEK INC|38345 W 10 Mile Road|Suite 110|Farmington Hills
48|IT RYSOURCES INC|38345 W 10 Mile Road|Suite 111|FARMINGTONHILLS
48|Trendset It Inc|38345 W 10 Mile Road|Suite 120|Farmington Hills
48|Trendset|38345 W 10 Mile Road|Suite 120|Farmington Hills
48|Trendset IT Inc|38345 W 10 Mile Road|Suite 120|Farmington Hills
48|Bhrigus Inc|38345 W 10 Mile Road|Suite 125|Farmington Hill
48|Mercedes-Benz Financial Services|38345 W 10 Mile Road|Suite 125|Farmington Hills
48|Bhrigus Inc|38345 W 10 Mile Road|Suite 125|48335
48|Bhrigus Inc|38345 W 10 Mile Road|Suite 125|Farmington Hills
48|Bhrius Inc|38345 W 10 Mile Road|Suite 125|Farmington Hills
48|Computek Solutions Inc|38345 W 10 Mile Road|Suite 145|Farmington Hills
48|Computek Solutions IT|38345 W 10 Mile Road|Suite 145|Farmington Hills
48|Samru Systems LLC|38345 W 10 Mile Road|Suite 147|Farmingtion Hills
48|Samru Systems llc|38345 W 10 Mile Road|Suite 147|Farmington Hills
48|Genesis Software Solutions Inc|38345 W 10 Mile Road|Suite 148|Farmington Hills
48|Ted Soft Solutions Inc|38345 W 10 Mile Road|Suite 155|Farmington Hills
48|Emergtech Business Solutions Inc|38345 W 10 Mile Road|Suite 243|Farmington Hills
48|IKON Software Services|38345 W 10 Mile Road|Suite 255|Farmington Hills
48|BRAINS TECHNOLOGY SOLUTIONS INC|38345 W 10 Mile Road|Suite 256|Farmington Hills
48|ARKS IT INC|38345 W 10 Mile Road|Suite 270|Farmington Hills
48|BRAINS TECHNOLOGY SOLUTIONS INC|38345 W 10 Mile Road|Suite 300|Farmington Hills
48|Loop Bell Tech Inc|38345 W 10 Mile Road|Suite 300|Farmington Hills
48|Tekzens Inc|38345 W 10 Mile Road|Suite 300|Farmington Hills
48|Brains Technology Solutions Inc|38345 W 10 Mile Road|Suite 300|Farmington Hills
48|Tekzens Inc|38345 W 10 Mile Road|Suite 300B|Farmington Hills
48|Exito Tech Inc|38345 W 10 Mile Road|Suite 345|Farmington Hills
48|S3STAFFINGUSA INC|38345 W 10 Mile Road|Suite 350B|Farmington Hills
48|S3StaffingUSA LLC|38345 W 10 Mile Road|Suite 350B|Farmington Hills
48|GBSN Infotech Inc|38345 W 10 Mile Road|Suite 359,|Farmington Hills
29|EMERGTECH BUSINESS SOLUTIONS INC|38345 W 10 MILE ROAD|243|FARMINGTON HILLS
29|EMERGTECH BUSINESS SOLITIONS INC|38345 W 10 MILE ROAD|243|Farmington Hills
29|EMERGTECH BUSINESS SOLUTIONS INC|38345 W 10 MILE ROAD|243|Farmington Hills
29|EMERGTECH BUSINESS SOLUTIOSN INC|38345 W 10 MILE ROAD|243|Farmington Hills
29|EMERGTECH BUSINESS SOLUTIOS INC|38345 W 10 MILE ROAD|243|Farmington Hills
29|EMERGTECH BUSINEES SOLUTIONS INC|38345 W 10 MILE ROAD|243|Farmington Hills
29|WESTERN IT USA INC|38345 W 10 MILE ROAD|STE 111|FARMINGTON HILLS
29|TED SOFT SOLUTIONS INC|38345 W 10 MILE ROAD|STE 155|FARMINGTON HILLS
29|TECHSWITCH LLC|38345 W 10 MILE ROAD|STE 350|FARMINGTON HILLS
29|ADROIT INFOTECH LIMITED|38345 W 10 MILE ROAD|STE 354|FARMINGTON
29|DVS Technosoft Inc|38345 W 10 MILE ROAD|STE 354|FARMINGTON HILLS
29|IT RYSOURCES INC|38345 W 10 MILE ROAD|SUITE 111|Northville
29|IT RYSOURCES INC|38345 W 10 MILE ROAD|SUITE 111|FARMINGTONHILLS
29|TRENDSET IT INC|38345 W 10 MILE ROAD|SUITE 120|FARMINGTON HILLS
29|TISCO Group Inc|38345 W 10 MILE ROAD|SUITE 124|FARMINGTON HILLS
29|TECHNOVISION SOLUTION LLC|38345 W 10 MILE ROAD|SUITE 130|FARMINGTON HILLS
29|TECHNOVISION SOLUTION LLC|38345 W 10 MILE ROAD|SUITE 130|Farmington Hills
29|SAMRU SYSTEMS LLC|38345 W 10 MILE ROAD|SUITE 147|FARMINGTON HILLS
29|TECHSWITCH LLC|38345 W 10 MILE ROAD|SUITE 153|FARMINGTON HILLS
29|SAMRU SYSTEMS LLC|38345 W 10 MILE ROAD|SUITE 234|FARMINGTON HILLS
29|EMERGTECH BUSINESS SOLUTIONS INC|38345 W 10 MILE ROAD|SUITE 243|FARMINGTON HILLS
29|JK IT SERVICES LLC|38345 W 10 MILE ROAD|SUITE 256|FARMINGTON HILLS
29|JK IT Services LLC|38345 W 10 MILE ROAD|SUITE 256|FARMINGTON HILLS
29|Techswitch LLC|38345 W 10 MILE ROAD|SUITE 350|FARMINGTON HILLS
29|Techswitch LLC|38345 W 10 MILE ROAD|SUITE 350 A|FARMINGTON HILLS
29|APTDATA SOLUTIONS INC|38345 W 10 MILE ROAD|SUITE 360|FARMINGTON
29|IT RYSOURCES INC|38345 W 10 MILE ROAD|Suite 111|FARMINGTONHILLS
29|EMERGTECH BUSINESS SOLUTIONS INC|38345 W 10 MILE ROAD||FARMINGTON HILLS
29|EMERGTECH BUSINESS SOLUTIONS INC|38345 W 10 MILE ROAD||Farmington Hills
28|Novisys LLC|24155 Drake Road|210|Farmington Hills
28|Talent Trust Tech Inc|24155 Drake Road|STE 201|Farmington
