count|employer_name|employer_address1|employer_address2|employer_city
24|U.S. Bank National Association|800 Nicollet Mall|Floor 21|Minneapolis
24|Travelator Inc|800 Nicollet Mall|Floor 21|Minneapolis
24|Bento Technologies Inc|800 Nicollet Mall|Floor 21|MINNEAPOLIS
24|Talech Inc|800 Nicollet Mall|Floor 21|Minneapolis
24|U.S. Bank National Association|800 Nicollet Mall|St. BC-MN-H21N|Minneapolis
24|Piper Sandler & Company|800 Nicollet Mall|Suite 1000|Minneapolis
24|Piper Sandler & Company|800 Nicollet Mall|Suite 900|Minneapolis
24|Piper Sandler & Co.|800 Nicollet Mall|Suite 900|Minneapolis
24|Elavon Inc (a subsidiary of U.S. Bank)|800 Nicollet Mall|Suite BC-MH-H2IN|Minneapolis
24|U.S Bank National Assocation|800 Nicollet Mall|Suite BC-MN-H21N|Minneapolis
24|Elavon Inc (a subsidiary of U.S. Bank)|800 Nicollet Mall|Suite BC-MN-H21N|Minneapolis
24|U.S. Bank National Association|800 Nicollet Mall|Suite BC-MN-H21N|Minneapolis
24|Elavon Inc (a subsidiary of U.S. Bank)|800 Nicollet Mall||Minneapolis
24|U.S. Bank Trust Company National Association|800 Nicollet Mall||Minneapolis
24|U.S. Bank National Association|800 Nicollet Mall||Minneapolis
24|Travelator Inc (a wholly owned subsidiary of U.S. Bank)|800 Nicollet Mall||Minneapolis
24|Bento Technologies Inc|800 Nicollet Mall||Minneapolis
24|Travelator Inc|800 Nicollet Mall||Minneapolis
24|FSV Payment Systems Inc|800 Nicollet Mall||Minneapolis
24|Elavon Inc|800 Nicollet Mall||Minneapolis
24|U.S Bank National Association|800 Nicollet Mall||Minneapolis
24|U.S. Bancorp Investments Inc|800 Nicollet Mall||Minneapolis
24|Bento Technologies Inc (dba Bento for Business)|800 Nicollet Mall||Minneapolis
24|Talech Inc|800 Nicollet Mall||Minneapolis
15|OPTUM CARE INC|11000 OPTUM CIRCLE||EDEN PRAIRIE
15|OPTUM360 SERVICES INC|11000 OPTUM CIRCLE||EDEN PRAIRIE
15|OPTUM WASHINGTON NETWORK LLC|11000 OPTUM CIRCLE||EDEN PRAIRIE
15|OPTUM SERVICES INC|11000 OPTUM CIRCLE||EDEN PRARIE
15|OPTUM SERVICES INC|11000 OPTUM CIRCLE||EDEN PRAIRIE
15|Level 2 Health Management LLC|11000 OPTUM CIRCLE||EDEN PRARIE
15|CHANGE HEALTHCARE TECHNOLOGIES LLC|11000 OPTUM CIRCLE||EDEN PRAIRIE
15|Change Healthcare Technologies LLC|11000 OPTUM CIRCLE||EDEN PRAIRIE
15|Optuminsight Inc|11000 OPTUM CIRCLE||EDEN PRAIRIE
15|Optum Services Inc|11000 OPTUM CIRCLE||EDEN PRAIRIE
15|Optum Care Management LLC|11000 OPTUM CIRCLE||EDEN PRARIE
15|Optum Care Inc|11000 OPTUM CIRCLE||EDEN PRARIE
15|United Healthcare Services Inc|11000 OPTUM CIRCLE||EDEN PRARIE
15|OPTUMINSIGHT INC|11000 OPTUM CIRCLE||EDEN PRAIRIE
15|OPTUMCARE MANAGMENT LLC|11000 OPTUM CIRCLE||EDEN PRARIE
14|The Everett Clinic, PLLC|11000 Optum Circle||Eden Prairie
14|RICBT Inc|11000 Optum Circle||Eden Prairie
14|Optum Care Inc|11000 Optum Circle||Eden Prairie
14|OptumInsight Inc|11000 Optum Circle||Eden Prairie
14|OptumCare Management LLC|11000 Optum Circle||Eden Prairie
14|Change Healthcare Technologies LLC|11000 Optum Circle||EDEN PRARIE
14|Optum Care Inc,|11000 Optum Circle||Eden Prairie
14|The Everett Clinic|11000 Optum Circle||Eden Prairie
14|WellMed Medical Group, P.A.|11000 Optum Circle||Eden Prairie
14|Optum Services Inc|11000 Optum Circle||Eden Prairie
14|The Polyclinic PLLC|11000 Optum Circle||Eden Prairie
14|Reliant Medical Group Inc|11000 Optum Circle||Eden Prairie
14|Optum Care Washington, PLLC|11000 Optum Circle||Eden Prairie
14|Optum Services (Puerto Rico) LLC|11000 Optum Circle||Eden Prairie
13|RBC Bank (Georgia), National Association|250 Nicollet Mall|Minneapolis|Minneapolis
13|Arthur Ventures Management LLC|250 Nicollet Mall|Suite 750|Minneapolis
13|Castlelake, L.P.|250 Nicollet Mall|Suite 900|Minneapolis
13|RBC Capital Markets LLC|250 Nicollet Mall||Minneapolis
13|RBC Global Asset Management US Inc|250 Nicollet Mall||Minneapolis
13|Royal Bank of Canada US|250 Nicollet Mall||Minneapolis
13|Royal Bank of Canada (US)|250 Nicollet Mall||Minneapolis
13|Royal Bank of Canada|250 Nicollet Mall||Minneapolis
13|RBC Bank (Georgia) N.A.|250 Nicollet Mall||Minneapolis
13|RBC Bank (Georgia) NA|250 Nicollet Mall||Minneapolis
13|RBC Bank (Georgia), NA|250 Nicollet Mall||Minneapolis
13|RBC Bank (Georgia), National Association|250 Nicollet Mall||Minneapolis
13|RBC Capital Markets LLC (Wealth Management)|250 Nicollet Mall||Minneapolis
13|Talech Inc|800 NICOLLET MALL|FLOOR 21|MINNEAPOLIS
13|PFM ASSET MANAGEMENT LLC|800 NICOLLET MALL|FLOOR 21|MINNEAPOLIS
13|U.S. BANK NATIONAL ASSOCIATION|800 NICOLLET MALL|FLOOR 21|MINNEAPOLIS
13|US BANK NATIONAL ASSOCIATION|800 NICOLLET MALL|FLOOR 21|MINNEAPOLIS
13|ELAVON INC|800 NICOLLET MALL|FLOOR 21|MINNEAPOLIS
13|TALECH INC|800 NICOLLET MALL|FLOOR 21|MINNEAPOLIS
13|U.S. BANK NATIONAL ASSOCATION|800 NICOLLET MALL|FLOOR 21|MINNEAPOLIS
13|U.S. BANK NATIONAL ASSOCIATION|800 NICOLLET MALL|SUITE BC-MN-H21N|MINNEAPOLIS
