count|employer_name|employer_address1|employer_address2|employer_city
25|UNMC Physicians|600 South 42nd Street|981225 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|982000 Nebraska Medical Center|Omaha
25|Board of Regents of the University of Nebraska|600 South 42nd Street|983332 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|983332 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|984130 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|984455 Nebraska Medical Center|Omaha
25|The Nebraska Medical Center|600 South 42nd Street|985030 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|985400 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|985540 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|985900 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|985910 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|985990 Nebraska Medical Center|Omaha
25|Board of Regents of the University of Nebraska|600 South 42nd Street|986270 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|986270 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|986435 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|986840 Nebraska Medical Center|Omaha
25|The Nebraska Medical Center|600 South 42nd Street|988167 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|988437 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|988440 Nebraska Medical Center|Omaha
25|The Nebraska Medical Center|600 South 42nd Street|989200 Nebraska Medical Center|Omaha
25|UNMC Physicians|600 South 42nd Street|Cardiology|Omaha
25|The Nebraska Medical Center|600 South 42nd Street|Solid organ transplant unit|Omaha
25|UNMC Physicians|600 South 42nd Street||Omaha
25|The Nebraska Medical Center|600 South 42nd Street||Omaha
25|Board of Regents of the University of Nebraska|600 South 42nd Street||Omaha
22|Kiewit Infrastructure Co|1550 Mike Fahey Street||Omaha
22|Weeks Marine Inc|1550 Mike Fahey Street||Omaha
22|Kiewit Building Group Inc|1550 Mike Fahey Street||Omaha
22|Kiewit Corporation|1550 Mike Fahey Street||Omaha
22|Kiewit Energy Group Inc|1550 Mike Fahey Street||Omaha
22|Kiewit Engineering Group Inc|1550 Mike Fahey Street||Omaha
22|Kiewit Industrial Group Inc|1550 Mike Fahey Street||Omaha
22|Kiewit Infrastructure Co.|1550 Mike Fahey Street||Omaha
22|Kiewit Mining Group Inc|1550 Mike Fahey Street||Omaha
22|Kiewit Power Constructors Co.|1550 Mike Fahey Street||Omaha
22|Kiewit Transmission Services Inc|1550 Mike Fahey Street||OMAHA
22|Kiewit Water Facilities Florida Co|1550 Mike Fahey Street||Omaha
22|Mass Electric Construction Co|1550 Mike Fahey Street||Omaha
22|The Industrial Company - TIC|1550 Mike Fahey Street||Omaha
22|The Industrial Company|1550 Mike Fahey Street||Omaha
22|TIC- The Industrial Company|1550 Mike Fahey Street||Omaha
22|TIC - The Industrial Company|1550 Mike Fahey Street||Omaha
22|Orange County Power Partners|1550 Mike Fahey Street||Omaha
22|Orange County Power Partners A Joint Venture|1550 Mike Fahey Street||Omaha
22|South-Point Contractors A Joint Venture|1550 Mike Fahey Street||Omaha
22|Cherne Contracting Corporation|1550 Mike Fahey Street||Omaha
22|The Industrial Company-TIC|1550 Mike Fahey Street||Omaha
18|HDR Construction Control Corporation|1917 South 67th Street||Omaha
18|HDR Architects and Engineers, PC|1917 South 67th Street||Omaha
18|HDR Architecture Inc|1917 South 67th Street||Omaha
18|HDR Architecture Inc|1917 South 67th Street||Omahah
18|Henningson, Durham & Richardson of Penn Archs. & Engrs. P.C.|1917 South 67th Street||Omaha
18|HDR Engineering Inc of the Carolinas|1917 South 67th Street||Omaha
18|City Point Partners LLC|1917 South 67th Street||Omaha
18|Henningson, Durham & Richardson of Penn, Archs. & Engrs. P.C.|1917 South 67th Street||Omaha
18|Henningson, Durham & Richardson of Penn. Archs. & Engrs. P.C.|1917 South 67th Street||Omaha
18|HDr Architecture Inc|1917 South 67th Street||Omaha
18|HDR Michigan Inc|1917 South 67th Street||Omaha
18|Henningson, Durham & Richardson of Penn., Archs. & Engrs., P.C.|1917 South 67th Street||Omaha
18|Henningson, Durham & Richardson, PC|1917 South 67th Street||Omaha
18|HDR Corporate Services Inc|1917 South 67th Street||Omaha
18|HDR Engineering Inc|1917 South 67th Street||Omaha
18|HDR Inc|1917 South 67th Street||Omaha
18|HDR Engineering, inc.|1917 South 67th Street||Omaha
18|HDR Architects & Engineers, PC|1917 South 67th Street||Omaha
11|TOPROW RESOURCES|1408 FORT CROOK ROAD||BELLEVUE
11|NEXTILE TECHNOLOGIES LLC|1408 FORT CROOK ROAD||BELLEVUE
11|TNEXTSYSTEMS LLC|1408 FORT CROOK ROAD||BELLEVUE
11|DATAREK SERVICES LLC|1408 FORT CROOK ROAD||BELLEVUE
11|STACKLE LLC|1408 FORT CROOK ROAD||BELLEVUE
11|SELOGIX SERVICES LLC|1408 FORT CROOK ROAD||BELLEVUE
11|DIGITALDRIP LLC|1408 FORT CROOK ROAD||BELLEVUE
11|CRYSTAL ANALYTICS LLC|1408 FORT CROOK ROAD||BELLEVUE
11|VERTEXPIRE LLC|1408 FORT CROOK ROAD||BELLEVUE
11|DATADEX SYSTEMS|1408 FORT CROOK ROAD||BELLEVUE
11|TRACEMATRIX TECHNOLOGIES LLC|1408 FORT CROOK ROAD||BELLEVUE
8|Kiewit Infrastructure South Co.|1550 Mike Fahey St.||Omaha
8|Kiewit Engineering NY Corp|1550 Mike Fahey St.||Omaha
8|Kiewit Infrastructure Co.|1550 Mike Fahey St.||Omaha
8|1884 Line Co.|1550 Mike Fahey St.||Omaha
