count|employer_name|employer_address1|employer_address2|employer_city
19|LNW Gaming, f/k/a SG Gaming Inc|6601 Bermuda Road||Las Vegas
19|Light & Wonder f/k/a Scientific Games Corporation|6601 Bermuda Road||Las Vegas
19|Light & Wonder Inc|6601 Bermuda Road||Las Vegas
19|Light & Wonder Inc, f/k/a Scientific Games Corporation|6601 Bermuda Road||Las Vegas
19|Scientific Games Corporation|6601 Bermuda Road||Las Vegas
19|Scientific Games Corporation|6601 Bermuda Road||Lag Vegas
19|Don Best Sports Corporation|6601 Bermuda Road||Las Vegas
19|SG Gaming Inc fka Bally Gaming Inc|6601 Bermuda Road||Las Vegas
19|Scientific Games Corporation DBA Light & Wonder|6601 Bermuda Road||Las Vegas
19|SG Gaming Inc f/k/a Bally Gaming Inc|6601 Bermuda Road||Las Vegas
19|SG Gaming Inc|6601 Bermuda Road||Las Vegas
19|LNW Gaming Inc|6601 Bermuda Road||Las Vegas
19|LNW Gaming Inc , f/k/a SG Gaming Inc|6601 Bermuda Road||Las Vegas
19|LNW Gaming Inc, fka SG Gaming Inc|6601 Bermuda Road||Las Vegas
19|Light & Woner Inc|6601 Bermuda Road||Las Vegas
19|LNW Gaming Inc f/k/a SG Gaming Inc|6601 Bermuda Road||Las Vegas
19|LNW Gaming Inc f/k/a SG gaming Inc|6601 Bermuda Road||Las Vegas
19|LNW Gaming Inc, f/k/a SG Gaming Inc|6601 Bermuda Road||Las Vegas
19|LNW Gaming Inc, f/k/a/ SG Gaming Inc|6601 Bermuda Road||Las Vegas
7|MGM Resorts Satellite LLC|6385 S. Rainbow Blvd|500|Las Vegas
7|MGM Resorts Satellite LLC|6385 S. Rainbow Blvd|STE 500|Las Vegas
7|MGM Resorts Satellite LLC|6385 S. Rainbow Blvd|STE 500|LAS VEGAS
7|MGM Resorts Satellite LLC|6385 S. Rainbow Blvd|Ste 500|Las Vegas
7|MGM Resorts Satellite LLC|6385 S. Rainbow Blvd|Suite 500|Las Vegas
7|MGM Resorts International Operations Inc|6385 S. Rainbow Blvd|Suite 500|Las Vegas
7|MGM Resorts Satellite LLC|6385 S. Rainbow Blvd||Las Vegas
5|TELUS International Holding U.S.A. Corp.|2251 S. DECATUR BLVD.||LAS VEGAS
5|XAVIENT DIGITAL LLC|2251 S. DECATUR BLVD.||LAS VEGAS
5|TELUS International Digital Solutions LLC|2251 S. DECATUR BLVD.||LAS VEGAS
5|TELUS Communications (U.S.) Inc|2251 S. DECATUR BLVD.||LAS VEGAS
5|TELUS International (U.S.) Corp|2251 S. DECATUR BLVD.||LAS VEGAS
4|Sripadha Inc|10161 W Park Run Dr|150|Las Vegas
4|Sripadha Inc|10161 W Park Run Dr|Ste 150|Las Vegas
4|Sripadha Inc|10161 W Park Run Dr|Ste 150|Las vagas
4|Sripadha Inc|10161 W Park Run Dr|Suite 150|Las Vegas
4|Unisyn Data Solutions LLC|10845 Griffith Peak Drive|02-112|Las Vegas
4|FiduciaryRx LLC DBA TransparentRx|10845 Griffith Peak Drive|Suite 200|Las Vegas
4|Teesnap LLC|10845 Griffith Peak Drive|Suite 200|Las Vegas
4|FiduciaryRx LLC|10845 Griffith Peak Drive|Suite 200|LAS VEGAS
4|Nevada System of Higher Education|1664 N Virginia Street|120 Fitzgerald Student Serv Bldg|Reno
4|Nevada System of Higher Education|1664 N Virginia Street|Fitzgerald Student Serv Bldg, UNR|Reno
4|University of Nevada, Reno|1664 N Virginia Street|Fitzgerald Student Serv Bldg, UNR|Reno
4|Nevada System of Higher Education|1664 N Virginia Street||Reno
4|University of Nevada, Reno|1664 N. Virginia St., Fitzgerald Student Serv. Bld|Rm 120-MS 074|Reno
4|University of Nevada, Reno|1664 N. Virginia St., Fitzgerald Student Serv. Bld|Suite Rm 120-MS 074|Reno
