count|employer_name|employer_address1|employer_address2|employer_city
9|TechMind Software Solutions|1 Tara Blvd|STE 200|Nashua
9|TechMind Software Solutions LLC|1 Tara Blvd|STE 200|Nashua
9|Dataserv Inc|1 Tara Blvd|Ste 102|Nashua
9|Dataserv Inc|1 Tara Blvd|Suite 102|Nashua
9|Cloud Bridge Solutions Inc|1 Tara Blvd|Suite 200|Nashua
9|Cloud Bridge Solutions Inc|1 Tara Blvd|Suite 200|Suite 200
9|eBytes Technology Inc|1 Tara Blvd|Suite LL7|Nashua
9|DeeBeCon Inc|1 Tara Blvd|Suite LL7|Nashua
9|I.T.Excel LLC|1 Tara Blvd||Nashua
8|TrndX Inc|300 Innovative Way|STE 2221|Nashua
8|Skillsoft Corporation|300 Innovative Way|Suite 201|Nashua
8|Skillsoft US LLC|300 Innovative Way|Suite 201|Nashua
8|Skillsoft Services Company LLC|300 Innovative Way|Suite 201|Nashua
8|Akken Inc|300 Innovative Way|Suite 2221A|Nashua
8|Parallel Wireless Inc|300 Innovative Way|Suite 2310|Nashua
8|PhasorLab Inc|300 Innovative Way|Suite 2312|Nashua
8|Parallel Wireless Inc|300 Innovative Way||Nashua
7|Akken Inc|98 Spit Brook Road|SUITE 402|Nashua
7|iCAD Inc|98 Spit Brook Road|Ste 100|Nashua
7|Navimow Inc|98 Spit Brook Road|Ste 2203|Nashua
7|iCAD Inc|98 Spit Brook Road|Suite 100|Nashua
7|ICAD Inc|98 Spit Brook Road|Suite 100|Nashua
7|Segway Robotics Inc|98 Spit Brook Road|Suite 2203|Nashua
7|Akken Inc|98 Spit Brook Road|Suite 402|Nashua
6|Drut Technologies Inc|200 Innovative Way|Suite 1360|Nashua
6|Amphenol TCS|200 Innovative Way|Suite 201|Nashua
6|Amphenol Corporation|200 Innovative Way|Suite 201|Nashua
6|Amphenol TCS - A division of Amphenol Corporation|200 Innovative Way|Suite 201|Nashua
6|Amphenol TCS- A division of Amphenol Corporation|200 Innovative Way|Suite 201|Nashua
6|Amphenol TCS, a division of Amphenol Corporation|200 Innovative Way|Suite 201|Nashua
6|Docmation LLC|75 New Hampshire Avenue|Suite 100|Portsmouth
6|PixelMEDIA LLC|75 New Hampshire Avenue|Suite 100|Portsmouth
6|TravelClick Inc|75 New Hampshire Avenue|Suite 300|Portsmouth
6|Amadeus Hospitality Inc|75 New Hampshire Avenue|Suite 300|Portsmouth
6|TravelClick Inc|75 New Hampshire Avenue||Portsmouth
6|Amadeus Hospitality Americas Inc|75 New Hampshire Avenue||Portsmouth
5|HIGHDATA SOFTWARE CORPORATION|45 STILES ROAD|212|SALEM
5|HIGHDATA SOFTWARE CORPORATION|45 STILES ROAD|STE 212|SALEM
5|HIGHDATA SOTWARE CORPORATION|45 STILES ROAD|SUITE 212|SALEM
5|HIGHDATA SOFTWARE CORPORATION|45 STILES ROAD|SUITE 212|SALEM
5|HIGHDATA SOFTWARE CORPORATION|45 STILES ROAD|SUTE 212|SALEM
4|Celestica Precision Machining Ltd|11 Continental Boulevard, Building 300|Suite 103|Merrimack
4|Celestica Oregon LLC|11 Continental Boulevard, Building 300|Suite 103|Merrimack
4|Celestica LLC|11 Continental Boulevard, Building 300|Suite 103|Merrimack
4|Celestica LLC|11 Continental Boulevard, Building 300||Merrimack
4|BIG SKY GLOBAL LLC|20 COUNTRY CLUB DRIVE|32|MANCHESTER
4|BIG SKY GLOBAL LLC|20 COUNTRY CLUB DRIVE|APT 32|MANCHESTER
4|BIG SKY GLOBAL LLC|20 COUNTRY CLUB DRIVE|APT 32|Manchester
4|BIG SKY GLOBAL LLC|20 COUNTRY CLUB DRIVE|APT. 32|MANCHESTER
4|RiverStone Resources LLC|250 Commercial Street|Ste 5000|Manchester
4|MAE Consulting Group LLC|250 Commercial Street|Suite 3007|Manchester
4|Thunderhead One Inc|250 Commercial Street|Suite 4017|Manchester
4|RiverStone Resources LLC|250 Commercial Street|Suite 5000|Manchester
4|Episerver Inc|542A Amherst Street||Nashua
4|Optimizely Inc|542A Amherst Street||Nashua
4|Optimizely North America Inc|542A Amherst Street||Nashua
4|Episerver INC|542A Amherst Street||Nashua
4|ITRenew Inc|85 New Hampshire Avenue|Suite 150|Portsmouth
4|Iron Mountain Information Management Services Inc|85 New Hampshire Avenue|Suite 150|Portsmouth
4|Iron Mountain Information Management LLC|85 New Hampshire Avenue|Suite 150|Portsmouth
4|Global Seafood Alliance Inc|85 New Hampshire Avenue|Suite 200|Portsmouth
4|Dartmouth Hitchcock Clinic|One Medical Center Drive||Lebanon
4|Mary Hitchcock Memorial Hospital|One Medical Center Drive||Lebanon
4|Dartmouth-Hitchcock Clinic|One Medical Center Drive||Lebanon
4|MARY HITCHCOCK MEMORIAL HOSPITAL|One Medical Center Drive||Lebanon
4|DEKA RESEARCH & DEVELOPMENT CORP|Technology Center, 340 Commercial St.||Manchester,
4|DEKA RESEARCH & DEVELOPMENT CORPORATION|Technology Center, 340 Commercial St.||Manchester
4|DEKA RESEARCH & DEVELOPMENT CORP|Technology Center, 340 Commercial St.||Manchester
4|DEKA RESEARCH & DEVELOPMENT CORP.|Technology Center, 340 Commercial St.||Manchester
3|YIELDMO INC|1 Tara Boulevard|Suite 200|Nashua
3|Fubeus Inc|1 Tara Boulevard|Suite 200|Nashua
3|Savant HCM LLC|1 Tara Boulevard|Suite 404|Nashua
3|University of New Hampshire|10 Library Way|315 Conant Hall|Durham
3|University of New Hampshire|10 Library Way|Conant Hall 315|Durham
3|University of New Hampshire|10 Library Way|Conant Hall 315 - OISS|Durham
3|University of New Hampshire|10 Library Way, Conant Hall 315|Office of International Students & Scholars|Durham
3|University of New Hampshire|10 Library Way, Conant Hall 315|Office of International Students and Scholars|Durham
3|University of New Hampshire|10 Library Way, Conant Hall 315||Durham
3|EMR IT Solutions LLC|402 Amherst Street|Suite 302|Nashua
3|I.T. Excel LLC|402 Amherst Street|Suite 304|Nashua
3|I.T.Excel LLC|402 Amherst Street|Suite 304|Nashua
3|Northland Energy Trading LLC|500 North Commercial Street|Suite 401|Manchester
3|Hedge Solutions Inc|500 North Commercial Street|Suite 401|Manchester
3|Northland Energy Trading LLC|500 North Commercial Street|Suite 402|Manchester
3|Dartmouth College|63 South Main Street|Suite 303|Hanover
3|Trustees of Dartmouth College|63 South Main Street|Suite 303|Hanover
3|Trustees of Dartmouth College (Dartmouth College)|63 South Main Street|Suite 303|Hanover
3|Scientia Systems LLC|71 Spit Brook Road|STE 101|Nashua
3|Scientia Systems LLC|71 Spit Brook Road|Ste 101|Nashua
3|Scientia Systems LLC|71 Spit Brook Road|Suite 101|Nashua
3|PC Connection Inc|730 Milford Road||Merrimack
3|PC Connection Inc|730 Milford Road||Country
3|PC Connection Inc dba Connection|730 Milford Road||Merrimack
3|DARTMOUTH-HITCHCOCK CLINIC|ONE MEDICAL CENTER DRIVE||Lebanon
3|Mary Hitchcock Memorial Hospital|ONE MEDICAL CENTER DRIVE||Lebanon
3|MARY HITCHCOCK MEMORIAL HOSPITAL|ONE MEDICAL CENTER DRIVE||LEBANON
2|ELLIOT PROFESSIONAL SERVICES NETWORK Inc|1 ELLIOT WAY||Manchester
2|ELLIOT PROFESSIONAL SERVICES|1 ELLIOT WAY||Manchester
2|Cyclyx International LLC|1 New Hampshire Ave|Ste 340|Portsmouth
2|Squillion Systems LLC|1 New Hampshire Ave|Suite 125|Portsmouth
2|University of New Hampshire|10 Library Way,  315 Conant Hall|Office of International Students & Scholars|Durham
2|University of New Hampshire|10 Library Way,  315 Conant Hall||Durham
2|UNIVERSITY OF NEW HAMPSHIRE|10 Library Way, 315 Conant Hall||Durham
2|University of New Hampshire|10 Library Way, 315 Conant Hall||Durham
2|Microdesk LLC|10 Tara Boulevard|Suite 420|Nashua
2|Microdesk Inc|10 Tara Boulevard|Suite 420|Nashua
