count|employer_name|employer_address1|employer_address2|employer_city
74|North America Direct Inc|One World Trade Center|285 Fulton Street|New York
74|GALE Partners LLC|One World Trade Center|285 Fulton Street, 63rd Floor|New York
74|Sterlington PLLC|One World Trade Center|285 Fulton Street, 85th floor|New York
74|Sirius Global Services LLC|One World Trade Center|285 Fulton Street, Suite 47J|New York
74|Sailthru Inc|One World Trade Center|285 Fulton Street, Suite 49A|New York
74|xAd Inc|One World Trade Center|60th Floor|New York
74|xAD Inc|One World Trade Center|60th Floor|New York
74|Kettle Solutions LLC|One World Trade Center|62nd Floor|New York
74|GALE Partners LLC|One World Trade Center|62nd Floor|New York
74|Stagwell Global LLC|One World Trade Center|65th Floor|New York
74|MDC Corporate US Inc|One World Trade Center|65th Floor|New York
74|The People Platform LLC|One World Trade Center|65th Floor|New York City
74|PMX Agency|One World Trade Center|67th Floor|New York
74|TargetCast LLC|One World Trade Center|67th Floor|New York
74|Concentric Partners LLC|One World Trade Center|68th Floor|New York
74|Kettle Solutions LLC|One World Trade Center|69th Floor|New York
74|Code and Theory LLC|One World Trade Center|69th Floor|New York
74|Celonis Inc|One World Trade Center|70th Floor|New York
74|Intercept Interactive Inc|One World Trade Center|71st Floor|New York
74|DAZN Media Inc|One World Trade Center|72nd Floor|New York
74|Ichnos Sciences Inc|One World Trade Center|76th Floor, Suite D|New York
74|FMI Technologies LLC|One World Trade Center|85th Floor|New York
74|I5 SOFT SOLUTIONS LIMITED|One World Trade Center|85th Floor|New York
74|Celonis Inc|One World Trade Center|87th Floor|New York
74|Circle Internet Management Services LLC|One World Trade Center|87th Floor|New York
74|Circle Internet Financial LLC|One World Trade Center|87th Floor|New York
74|Hyper Labs Inc|One World Trade Center|88th Floor|New York
74|Circle Internet Management Services LLC|One World Trade Center|FL 87|New York
74|Circle Internet Financial LLC|One World Trade Center|FL 87|New York
74|xAd Inc|One World Trade Center|Floor 60|New York
74|GALE Partners LLC|One World Trade Center|Floor 62|New York
74|Forsman & Bodenfors|One World Trade Center|Floor 63|New York
74|GALE Partners LLC|One World Trade Center|Floor 63|New York
74|Gale Partners LLC|One World Trade Center|Floor 63|New York
74|Forsman & Bodenfors LLC|One World Trade Center|Floor 63|New York
74|Stagwell Marketing Cloud LLC|One World Trade Center|Floor 65|New York
74|Forsman & Bodenfors|One World Trade Center|Floor 66|New York
74|Kirshenbaum Bond Senecal & Partners LLC|One World Trade Center|Floor 66|New York
74|Stagwell Marketing Cloud LLC|One World Trade Center|Floor 66|New York
74|TargetCast LLC|One World Trade Center|Floor 67|New York
74|GALE Partners LLC|One World Trade Center|Floor 67|New York
74|HPR Partners LLC|One World Trade Center|Floor 68|New York
74|Code and Theory LLC|One World Trade Center|Floor 69|New York
74|Wunderkind Corporation|One World Trade Center|Floor 74|New York
74|ASAPP Inc|One World Trade Center|Floor 80|New York
74|Omicrown LLC|One World Trade Center|Floor 85, Ste 31|New York
74|Hyper Labs Inc|One World Trade Center|Floor 88th|New York
74|Hyper Labs Inc|One World Trade Center|Floor 88th|NEW YORK
74|Templafy LLC|One World Trade Center|Flr. 59th|New York
74|Whitehall & Company LLC|One World Trade Center|Flr. 84th|New York
74|Xu Law Group PLLC|One World Trade Center|STE 8500|New York
74|TPD New York LLC|One World Trade Center|Ste 8500|New York
74|LiveIntent Inc|One World Trade Center|Suite 45A|New York
74|Hyper Labs Inc|One World Trade Center|Suite 45A|New York
74|Epoch Capital US LLC|One World Trade Center|Suite 46D|New York
74|Shiftsmart Inc|One World Trade Center|Suite 46L|New York
74|Swerve Colo LLC|One World Trade Center|Suite 47M|New York
74|Sailthru Inc|One World Trade Center|Suite 48A|New York
74|No Fraud LLC|One World Trade Center|Suite 76G|New York
74|Fractal Analytics Inc|One World Trade Center|Suite 76J|New York
74|Fractal Analytics  Inc|One World Trade Center|Suite 76J|New York
74|Intercept Interactive Inc|One World Trade Center|Suite 77A|New York
74|Group RMC Management Inc|One World Trade Center|Suite 83G|New York
74|ADVANCED MONITORED CAREGIVING INC|One World Trade Center|Suite 8500|New York
74|Cloud Himalaya Inc|One World Trade Center|Suite 8500|New York
74|AMC Health|One World Trade Center|Suite 8500|New York
74|Pocurio Inc|One World Trade Center|Suite 8500|New York
74|Brownloop Inc|One World Trade Center|Suite 8500|New York
74|Datamarx Inc|One World Trade Center|Suite 8500|New York
74|Advance Magazine Publishers Inc|One World Trade Center||New York
74|Kain Capital LLC|One World Trade Center||New York
74|Advanced Magazine Publishers Inc|One World Trade Center||New York
74|Celonis Inc|One World Trade Center||New York
74|Advance Finance Group LLC|One World Trade Center||New York
73|BGC Financial, L.P.|55 Water Street|10th Floor|New York
73|Justworks Inc|55 Water Street|29th Floor|New York
73|Metropolitan Telecommunications of California Inc|55 Water Street|32nd Floor|New York
73|Metropolitan Telecommunications of D.C. Inc|55 Water Street|32nd Floor|New York
73|Metropolitan Telecommunications of Texas Inc|55 Water Street|32nd Floor|New York
73|Metropolitan Telecommunications of Washington Inc|55 Water Street|32nd Floor|New York
73|Manhattan Telecommunications Corporation|55 Water Street|32nd Floor|New York
73|Bruin Group LLC|55 Water Street|32nd Floor|New York
73|CRISIL Irevna US LLC|55 Water Street|34th Floor|New York City
73|Markit North America Inc|55 Water Street|38 (SPGI)|New York
73|CARFAX Inc|55 Water Street|3838 (SPGI)|New York
73|CRISIL Irevna US LLC|55 Water Street|39th Floor|New York City
73|CRISIL Irevna US LLC|55 Water Street|39th Floor|New York
73|Archie Technologies Inc|55 Water Street|3rd Floor|Brooklyn
73|Vice Media Acquisition LLC|55 Water Street|3rd Floor|Brooklyn
73|Whalar Inc|55 Water Street|3rd Floor|Brooklyn
73|DailyPay LLC|55 Water Street|42nd Floor|New York
73|DailyPay Inc|55 Water Street|42nd Floor|New York
73|Elizabeth Arden Inc|55 Water Street|43rd Floor|New York
73|Revlon Consumer Products LLC|55 Water Street|43rd Floor|New York
73|CRISIL Irevna US LLC|55 Water Street|44th Floor|New York City
73|CRISIL Irevna US LLC|55 Water Street|44th Floor|New York
73|HUGO BOSS FASHIONS INC|55 Water Street|48th Floor|New York
73|HUGO BOSS Fashions Inc|55 Water Street|48th Floor|New York
73|Wasserman Music LLC|55 Water Street|4th Floor|Brooklyn
73|PREMIUM MERCHANT FUNDING|55 Water Street|50th Floor|New York
73|REDSCOUT LLC|55 Water Street|5th Floor|Brooklyn
73|72andSunny Partners LLC (NY)|55 Water Street|6th Floor|Brooklyn
73|Underoutfit Inc|55 Water Street|FLR 3|Brooklyn
73|GDS Publishing Inc|55 Water Street|Fl 32, Suite 32001|NEW YORK
73|Justworks Inc|55 Water Street|Floor 29|New York
73|Crimson Sage LLC|55 Water Street|Floor 29|New York
73|Whalar Inc|55 Water Street|Floor 3|Brooklyn
73|Spotlight Oral Care Inc|55 Water Street|Floor 3|Brooklyn
73|Zencity Technologies US Inc|55 Water Street|Floor 3|Brooklyn
73|Premium Merchant Funding 18 LLC|55 Water Street|Floor 50|New York
73|Hunter Roberts Construction Group LLC|55 Water Street|Floor 51|New York
73|Purple Fete LLC|55 Water Street|Unit 1C|Brooklyn
73|S&P GLOBAL INC|55 Water Street||NEW YORK
73|S&P Global Inc|55 Water Street||NEW YORK
73|S&P Global Inc|55 Water Street||New York
73|S&P Global Market Intelligence Inc|55 Water Street||NEW YORK
73|S&P Global Market Intelligence Inc|55 Water Street||New York
73|S&P OPCO LLC|55 Water Street||New York
73|S&P OpCo LLC|55 Water Street||New York
73|Market Scan Information Systems Inc|55 Water Street||New York
73|Markit North America Inc|55 Water Street||New York
73|MarkitSERV LLC|55 Water Street||New York
73|EmblemHealth Services Company LLC|55 Water Street||New York
73|QBE Insurance Corporation|55 Water Street||New York
73|IHS Global Inc|55 Water Street||New York
73|BGC Financial, L.P.|55 Water Street||New York
73|BGC Technology Markets LP|55 Water Street||New York
73|BGC USA LP|55 Water Street||New York
73|The Climate Service Inc|55 Water Street||New York
73|STANDARD & POORS FINANCIAL SERVICES LLC|55 Water Street||New York
73|Brooklyn Capital Investments, LP|55 Water Street||Brooklyn
73|CARFAX Inc|55 Water Street||New York
73|GFI Securities LLC|55 Water Street||New York
73|Cantor Fitzgerald Technology Markets LLC|55 Water Street||New York
73|Standard & Poors Financial Services LLC|55 Water Street||New York
73|Standard & Poors Financial Services LLC|55 Water Street||NEW YORK
73|PANJIVA INC|55 Water Street||New York
73|Selfbook Inc|55 Water Street||Brooklyn
73|ChartIQ Inc|55 Water Street||New York
73|Panjiva Inc|55 Water Street||New York
73|Fenics Software Inc|55 Water Street||New York
73|automotiveMastermind Inc|55 Water Street||New York
73|Kensho Technologies LLC|55 Water Street||New York
73|Kensho Technologies LLC|55 Water Street||NEW YORK
73|S&P GLOBAL INC|55 Water Street||New York
73|S&P GLOBAL MARKET INTELLIGENCE INC|55 Water Street||NEW YORK
73|S&P GLOBAL MARKET INTELLIGENCE INC|55 Water Street||New York
56|Hill and Knowlton Strategies LLC|175 Greenwich Street|3 World Trade Center|New York
56|Kantar Media LLC|175 Greenwich Street|35th Floor|New York
56|FreeWill Co.|175 Greenwich Street|38th Floor|New York
56|CONSULTADD INC|175 Greenwich Street|38th Floor|New York
56|Axiom Global Inc|175 Greenwich Street|50th Floor|New York
56|IEX Group Inc|175 Greenwich Street|58th FLOOR|NEW YORK
56|Wunderman Thompson MAP US Inc|175 Greenwich Street|Floor 16|New York City
56|Wunderman Thompson MAP US Inc|175 Greenwich Street|Floor 16|New York
56|Wunderman Thompson LLC|175 Greenwich Street|Floor 16|New York City
56|Wunderman Thompson LLC|175 Greenwich Street|Floor 16|New York
56|Whatcraft LLC|175 Greenwich Street|Floor 33|New York
56|Statista Inc|175 Greenwich Street|Floor 36|New York
56|Zioqu Inc|175 Greenwich Street|Floor 38|New York
56|Pythonwise Inc|175 Greenwich Street|Floor 38|New York
56|Enerknol Inc|175 Greenwich Street|Floor 38|New York
56|Netresolute Inc|175 Greenwich Street|Floor 38|New York
56|GetYourGuide Inc|175 Greenwich Street|Floor 38|New York
56|Boto3 Inc|175 Greenwich Street|Floor 38|New York
56|Consultadd Inc|175 Greenwich Street|Floor 38|New York
56|Bespoke Career Management Inc|175 Greenwich Street|Floor 38, Suite 08B|New York
56|Illuminate FM LLC|175 Greenwich Street|Floor 38-08C|New York
56|Casper Sleep Inc|175 Greenwich Street|Floor 40|New York
56|IEX Group Inc|175 Greenwich Street|Floor 58|New York
56|Better Mortgage Corporation|175 Greenwich Street|Floor 59|New York
56|Better Holdco Inc|175 Greenwich Street|Floor 59|New York
56|Better Cover LLC|175 Greenwich Street|Floor 59|New York
56|Statista Inc|175 Greenwich Street|Flr. 36|New York
56|BDI Plus Inc|175 Greenwich Street|Studio 38.T05-C, Floor 38|New York
56|Finecast LLC|175 Greenwich Street||New York
56|Wavemaker Global LLC|175 Greenwich Street||New York City
56|Mindshare USA LLC|175 Greenwich Street||New York City
56|Mindshare USA LLC|175 Greenwich Street||New York
56|Group M Worldwide LLC|175 Greenwich Street||New York
56|Choreograph LLC|175 Greenwich Street||New York City
56|Choreograph LLC|175 Greenwich Street||New York
56|EssenceMediaCom LLC|175 Greenwich Street||New York
56|Essence MediaCom LLC|175 Greenwich Street||New York
56|Wavemaker Global LLC|175 Greenwich Street||New York
56|The Ogilvy Group LLC|175 Greenwich Street||New York
56|Group m Worldwide LLC|175 Greenwich Street||New York
56|MindShare USA LLC|175 Greenwich Street||New York
56|GroupM Worldwide LLC|175 Greenwich Street||New York
56|EssenceMediacom LLC|175 Greenwich Street||New York City
56|GroupM Worldwide LLC|175 Greenwich Street||New York City
56|Young & Rubicam LLC|175 Greenwich Street||New York
56|Geometry Global LLC|175 Greenwich Street||New York
56|VML LLC|175 Greenwich Street||New York
56|Xaxis LLC|175 Greenwich Street||New York
56|WPP Group USA Inc|175 Greenwich Street||New York
56|Grey Global Group LLC|175 Greenwich Street||New York
56|Village Marketing Agency LLC|175 Greenwich Street||New York
56|Wunderman Thompson LLC|175 Greenwich Street||New York
56|Young & Rubicam LLC|175 Greenwich Street||New York City
56|EssenceMediacom LLC|175 Greenwich Street||New York
56|MediaCom Worldwide LLC|175 Greenwich Street||New York
56|WUNDERMAN THOMPSON DATA CONSULTING LLC|175 Greenwich Street||New York
49|Getty Images (US) Inc|195 Broadway|10th Floor|New York
49|Namely Inc|195 Broadway|15th Floor|New York
49|Interbrand Corporation|195 Broadway|18th Floor|New York
49|McKinsey & Company Inc United States|195 Broadway|19th Floor|New York
49|McKinsey & Company Inc United States|195 Broadway|19th Floor|NEW YORK
49|Code Climate Inc|195 Broadway|20th Floor|New York
49|Orchard Technologies Inc|195 Broadway|25th Floor|New York
49|Orchard Technologies Inc|195 Broadway|26th Floor|New York
49|Payoneer Inc|195 Broadway|27th Floor|New York
49|CoverRight Inc|195 Broadway|4th Floor|Brooklyn
49|Wolff Olins LLC|195 Broadway|7th|New York
49|Wolff Olins LLC|195 Broadway|7th Floor|New York
49|Adam & Eve Inc|195 Broadway|7th Floor|New York
49|Hearts & Science LLC|195 Broadway|8th Floor|New York
49|OMD USA LLC|195 Broadway|8th Floor|New York
49|HEARTS & SCIENCE LLC|195 Broadway|8th Floor|New York
49|Backpack Payment Technologies Inc|195 Broadway|FL 20|New York
49|Creative Picnic LLC|195 Broadway|FL 4|Brooklyn
49|McKinsey & Company Inc United States|195 Broadway|Floor 19|New York
49|Stedi Inc|195 Broadway|Floor 20|New York
49|Amigo Inc|195 Broadway|Floor 20|New York
49|Instrumental Services Inc|195 Broadway|Floor 24|New York
49|CoverRight Inc|195 Broadway|Floor 4|Brooklyn
49|The Crowd Creative Inc|195 Broadway|Floor 4, Studio 418|Brooklyn
49|Next Beauty Co-Lab LLC|195 Broadway|Floor 8|New York
49|OMD USA LLC|195 Broadway|N/A|New York
49|Hearts & Science LLC|195 Broadway|N/A|New York
49|Siegel & Gale LLC|195 Broadway|N/A|New York
49|OMD USA LLC|195 Broadway|New York|NEW YORK
49|OMNICOM MEDIA GROUP HOLDINGS INC|195 Broadway|New York|NEW YORK
49|McKinsey & Company Inc United States|195 Broadway|Nineteenth Floor|New  York
49|MCKINSEY & COMPANY INC UNITED STATES|195 Broadway|Nineteenth Floor|New York
49|McKinsey & Company Inc, United States|195 Broadway|Nineteenth Floor|New York
49|McKinsey & Company Inc United States|195 Broadway|Nineteenth Floor|New York
49|HarperCollins Publishers LLC|195 Broadway||New York
49|Omnicom Media Group Holdings Inc|195 Broadway||New York
49|Omnicom Production LLC|195 Broadway||New York
49|OMD USA LLC|195 Broadway||NEW YORK
49|OMD USA LLC|195 Broadway||New York
49|Namely Inc|195 Broadway||New York
49|HEARTS & SCIENCE LLC|195 Broadway||New York
49|Gucci America Inc|195 Broadway||New York City
49|JAF COMMUNICATIONS INC|195 Broadway||New York
49|COMFLUENCE LLC|195 Broadway||New York
49|DDB WORLDWIDE COMMUNICATIONS GROUP LLC|195 Broadway||New York
49|TRKKN LLC|195 Broadway||New York
49|Getty Images (US) Inc|195 Broadway||New York
49|Gucci America Inc|195 Broadway||New York
49|Hearts & Science LLC|195 Broadway||New York
49|Huatai Securities USA Inc|280 Park Avenue|21E|New York
49|Huatai Securities USA Inc|280 Park Avenue|21st Floor|New York
49|Knighthead Capital Management LLC|280 Park Avenue|22nd Floor|New York
49|Hanwha Holdings USA Inc|280 Park Avenue|23rd Floor East|New York
49|Hanwha Futureproof LLC|280 Park Avenue|23rd Floor East|New York
49|Hanwha Holdings (USA) Inc|280 Park Avenue|23rd Floor East|New York
49|Harvest Partners, LP|280 Park Avenue|26th Floor West|New York
49|CICC US Securities Inc|280 Park Avenue|32nd Floor|New York
49|Krane Funds Advisors LLC|280 Park Avenue|32nd Floor|New York
49|Investcorp International Inc|280 Park Avenue|36th Floor|New York
49|Teneo Holdings LLC|280 Park Avenue|4th Floor|New York
49|GIC Asset Management, Pte Ltd.|280 Park Avenue|9th Flooor|New York
