count|employer_name|employer_address1|employer_address2|employer_city
5|Microbeam Technologies Inc|4200 James Ray Drive|Ste 193|Grand Forks
5|Airtonomy, INc.|4200 James Ray Drive||Grand Forks
5|Airtonomy Inc dba Thread|4200 James Ray Drive||Grand Forks
5|Airtonomy Inc|4200 James Ray Drive||Grand Forks
5|Migr8.ai LLC|4200 James Ray Drive||Grand Forks
5|Sanford North|801 Broadway N||Fargo
5|Sanford Health of Northern Minnesota|801 Broadway N||Fargo
5|Sanford Medical Center Fargo|801 Broadway N||Fargo
5|Sanford|801 Broadway N||Fargo
5|Sanford Clinic North|801 Broadway N||Fargo
4|St. Aloisius Medical Center|325 Brewster Street E||Harvey
4|SMP Health St. Aloisius|325 Brewster Street E||Harvey
4|St. Aloisius Hospital Inc|325 Brewster Street E||Harvey
4|SMP Health- St. Aloisius Hospital|325 Brewster Street E||Harvey
4|Aldevron Madison LLC|4055 41st Avenue South|N/A|Fargo
4|Aldevron LLC|4055 41st Avenue South|N/A|Fargo
4|Aldevron LLC|4055 41st Avenue South||Fargo
4|Aldevron, L.L.C.|4055 41st Avenue South||Fargo
3|Stanley Public School Dist No 2|109 8th Avenue SW|PO Box 10|Stanley
3|Stanley Public Schools|109 8th Avenue SW|PO Box 10|Stanley
3|Stanley Community Public School District|109 8th Avenue SW|PO Box 10|Stanley
3|Sister Mary of Presentation|213 2ND AVENUE NE|P.O. Box 759|ROLLA
3|Presentation Medical Center|213 2ND AVENUE NE|P.O. Box 759|ROLLA
3|Presentation Medical Center|213 2ND AVENUE NE|P.O. Box 759|Rolla
3|Clark Equipment Company|250 East Beaton Drive||West Fargo
3|Doosan Bobcat North America Inc|250 East Beaton Drive||West Fargo
3|Doosan Digital Innovation America LLC|250 East Beaton Drive||West Fargo
3|NEW TOWN PUBLIC SCHOOL DISTRIC 1|300 EAGLE DRIVE||NEW TOWN
3|NEW TOWN PUBLIC SCHOOL DISTRICT 1|300 EAGLE DRIVE||NEW TOWN
3|NEW TOWN PUBLIC SCHOOL DISTRICT I|300 EAGLE DRIVE||NEW TOWN
3|New Town Public School District|300 Eagle Drive||New Town
3|New Town Public School District I|300 Eagle Drive||New Town
3|New Town Public School District 1|300 Eagle Drive||New Town
3|Professional Advantage Software Solutions Inc|3523 45th St S, Brandt Office Park|Ste 100|Fargo
3|XMPro Consulting Services Inc|3523 45th St S, Brandt Office Park|Ste 100|Fargo
3|Professional Advantage Software Solutions Inc|3523 45th St S, Brandt Office Park||Fargo
3|McKenzie Health|709 4th Avenue||Watford
3|McKenzie County Healthcare Systems Inc|709 4th Avenue||Watford City
3|McKenzie Health|709 4th Avenue||Watford City
2|Valley City State University|101 College Str SW||Valley City State University
2|Valley City State University|101 College Str SW||Valley City
2|ARAYAS LLP|1030 W TURNPIKE AVE|304|BISMARCK
2|ARAYAS LLP|1030 W TURNPIKE AVE||BISMARCK
2|Divide County School District|106 1st Street NE|PO Box G|Crosby
2|Divide County School District 1|106 1st Street NE||Crosby
2|Mikinok Enterprises|1110 Hospital Road||Belcourt
2|BlueChip Financial|1110 Hospital Road||Belcourt
2|Church of St. Joseph - Williston, ND|124 6th St West||Williston
2|Church of St. Joseph - Willison, ND|124 6th St West||Williston
2|NORTH DAKOTA STATE UNIVERSITY|1320 BOLLEY DRIVE|HASTINGS HALL|FARGO
2|NORTH DAKOTA STATE UNIVERSITY|1320 BOLLEY DRIVE||FARGO
2|Devils Lake Public School District I|1601 College Drive N||Devils Lake
2|Devils Lake Public School District 1|1601 College Drive N||Devils Lake
2|Trinity Health|2305 37th Ave SW|P.O. Box 5020|Minot
2|Trinity Health|2305 37th Ave SW||Minot
2|University of North Dakota|264 Centennial Dr, Stop 8176|Twamley Hall Room 302e|Grand Forks
2|University of North Dakota|264 Centennial Dr, Stop 8176|Twamley Hall, Room 302e|Grand Forks
2|Pembina County Memorial Hospital Association|301 Mountain St E||Cavalier
2|Pembina County Memorial Hospital|301 Mountain St E||Cavalier
2|Rockstad Foundation|3121 Valley Drive|P.O. Box 1538|Bismarck
2|Rockstad Foundation|3121 Valley Drive|P.O. Box 2095|Bismarck
2|MUNICH PUBLIC SCHOOL|410 7TH AVE||MUNICH
2|MUNICH PUBLIC SCHOOL DISTRICT NO. 19|410 7TH AVE||MUNICH
2|Munich Public School District 19|410 7th Ave||Munich
2|Munich Public District 19|410 7th Ave||Munich
2|North Star Public School District 10|418 2nd Ave||Cando
2|NORTH STAR PUBLIC SCHOOL DISTRICT 10|418 2nd Ave||Cando
