count|employer_name|employer_address1|employer_address2|employer_city
10|Robotics Technologies LLC|322 N 3ROAD AVE|STE 117|DURANT
10|CLOUD BIG DATA TECHNOLOGIES LLC|322 N 3ROAD AVE|SUITE 111|DURANT
10|VCLOUD TECHNOLOGY GROUP LLC|322 N 3ROAD AVE|SUITE 115|DURANT
10|ROBOTICS TECHNOLOGIES LLC|322 N 3ROAD AVE|SUITE 117|DURANT
10|3D TECHNOLOGIES LLC|322 N 3ROAD AVE|SUITE 119|DURANT
10|AUTOMATION TECHNOLOGIES LLC|322 N 3ROAD AVE|SUITE 121|DURANT
10|MACHINE LEARNING TECHNOLOGIES LLC|322 N 3ROAD AVE|SUITE 123|DURANT
10|ARTIFICIAL INTELLIGENCE TECHNOLOGIES LLC|322 N 3ROAD AVE|SUITE 125|DURANT
10|DIGITAL TECHNOLOGIES LLC|322 N 3ROAD AVE|SUITE 127|DURANT
10|QUANTUM TECHNOLOGIES LLC|322 N 3ROAD AVE|SUITE 129|DURANT
6|Department of Veteran Affairs|921 NE 13th Street|Suite 2200|Oklahoma City
6|Department of Veteran Affairs Medical Center|921 NE 13th Street||OKLAHOMA CITY
6|US Department of Veteran Affairs|921 NE 13th Street||Oklahoma City
6|Department of Veteran Affairs|921 NE 13th Street||Oklahoma City
6|Department of Veterans Affairs Medical Center|921 NE 13th Street||Oklahoma City
6|Department of Veterans Affairs|921 NE 13th Street||Oklahoma City
5|Loves Travel Stops & Country Stores Inc|10601 N. Pennsylvania Avenue|N/A|Oklahoma City
5|Trillium Transportation Fuels LLC|10601 N. Pennsylvania Avenue|N/A|Oklahoma City
5|Trillium Transportation Fuels LLC|10601 N. Pennsylvania Avenue||Oklahoma City
5|Loves Travel Stops & Country Stores Inc|10601 N. Pennsylvania Avenue||Oklahoma City
5|Musket Corporation|10601 N. Pennsylvania Avenue||Oklahoma City
5|Power Costs Inc|301 David L Boren Blvd|Ste 2000|Norman
5|PCI Energy Solutions f.k.a. Power Costs Inc|301 David L Boren Blvd|Suite 2000|Norman
5|Power Costs Inc|301 David L Boren Blvd|Suite 2000|Norman
5|PCI Energy Solutions a.k.a. Power Costs Inc|301 David L Boren Blvd|Suite 2000|Norman
5|PCI Energy Solutions|301 David L Boren Blvd|Suite 2000|Norman
