count|employer_name|employer_address1|employer_address2|employer_city
8|LUMUS Inc|9450 SW Gemini Dr|PMB 249612|Beaverton
8|Reach Platform Inc|9450 SW Gemini Dr|PMB 54281|Beaverton
8|AQP Inc|9450 SW Gemini Dr|PMB 72216|Beaverton
8|Minion AI Inc|9450 SW Gemini Dr|PMB 97192|Beaverton
8|UserClouds Inc|9450 SW Gemini Dr|Ste 66441|Beaverton
8|Clutch Enterprises Inc|9450 SW Gemini Dr|Suite 42283|Beaverton
8|Token Metrics Inc|9450 SW Gemini Dr|Suite 59348|Beaverton
8|Baydin Inc|9450 SW Gemini Dr||Beaverton
8|NIKE RETAIL SERVICES INC|One Bowerman Drive||Beaverton
8|NIKE USA INC|One Bowerman Drive||Beaverton
8|NIKE RETAIL SERVICES Inc|One Bowerman Drive||Beaverton
8|NIKE USA Inc|One Bowerman Drive||Beaverton
8|Nike Retail Services Inc|One Bowerman Drive||Beaverton
8|NIKE Inc|One Bowerman Drive||Beaverton
8|NIKE IHM INC|One Bowerman Drive||Beaverton
8|NIKE TN Inc|One Bowerman Drive||Beaverton
7|COLUMBIA SPORTSWEAR COMPANY|14375 NW SCIENCE PARK DRIVE|N/A|PORTLAND
7|COLUMBIA BRANDS USA LLC|14375 NW SCIENCE PARK DRIVE|N/A|PORTLAND
7|COLUMBIA SPORTSWEAR COMPANY|14375 NW SCIENCE PARK DRIVE|N/A|Portland
7|COLUMBIA BRANDS USA LLC|14375 NW SCIENCE PARK DRIVE||PORTLAND
7|COLUMBIA SPORTSWEAR COMPANY|14375 NW SCIENCE PARK DRIVE||PORTLAND
7|Columbia Sportswear Company|14375 NW SCIENCE PARK DRIVE||PORTLAND
7|Columbia Brands USA LLC|14375 NW SCIENCE PARK DRIVE||PORTLAND
7|EXTERRO INC|2175 NW Raleigh Street|SUITE 110|Portland
7|Exterro Inc|2175 NW Raleigh Street|SUITE 110|Portland
7|Exterro Inc|2175 NW Raleigh Street|Suite 110|Portland
7|SKS Development LLC|2175 NW Raleigh Street|Suite 110|Portland
7|Lantern US LLC|2175 NW Raleigh Street|Suite 110|Portland
7|LegitScript LLC|2175 NW Raleigh Street|Suite 350|Portland
7|EXTERRO INC|2175 NW Raleigh Street|Suite 400|Portland
7|TalentWall Inc|9450 SW Gemini Drive|PMB 42791|Beaverton
7|Sanco Technology LLC|9450 SW Gemini Drive|PMB 520|Beaverton
7|Intersect Power LLC|9450 SW Gemini Drive|PMB 68743|Beaverton
7|Heyday Wellness LLC|9450 SW Gemini Drive|PMB 89014|Beaverton
7|Accely Inc|9450 SW Gemini Drive|Suite 61944|Beaverton
7|Be The Solution Inc|9450 SW Gemini Drive||Beaverton
7|Sana Labs Inc|9450 SW Gemini Drive||Beaverton
5|Oregon Health and Sciences University|3181 SW Sam Jackson Park Road|Suite L 453|Portland
5|Oregon Health and Science Unviersity|3181 SW Sam Jackson Park Road||Portland
5|Oregon Health and Sciences University|3181 SW Sam Jackson Park Road||Portland
5|Oregon Health & Science University|3181 SW Sam Jackson Park Road||Portland
5|Oregon Health and Science University|3181 SW Sam Jackson Park Road||Portland
4|Lumovy Technology Solutions|10260 SW Greenburg Road|4th Floor|Portland
4|Lumovy Technology Solutions f/k/a llumina Technology Solutions LLC|10260 SW Greenburg Road|4th Floor|Portland
4|Prodapt North America Inc|10260 SW Greenburg Road|Ste 630|Portland
4|Prodapt North America Inc|10260 SW Greenburg Road|Suite 630|Portland
4|Tektronix Inc|14150 SW Karl Braun Drive|M/S 50-485|Beaverton
4|Tektronix Inc|14150 SW Karl Braun Drive|N/A|Beaverton
4|Tektronix INC|14150 SW Karl Braun Drive||Beaverton
4|Tektronix Inc|14150 SW Karl Braun Drive||Beaverton
4|Oregon Coast Cottage Rentals LLC|2015 NW 39th Street|Suite 101|Lincoln City
4|Fire Sky Lodging Solutions LLC|2015 NW 39th Street|Suite 201|Lincoln City
4|1 Oak Media LLC|2015 NW 39th Street|Suite 201|Lincoln City
4|Yonder Talent LLC|2015 NW 39th Street|Suite 201|Lincoln City
4|DAIMLER TRUCKS NORTH AMERICA LLC|4555 N. CHANNEL AVENUE||Portland
4|DAIMLER TRUCKS NORTH AMERICA LLC|4555 N. CHANNEL AVENUE||PORTLAND
4|DAIMLER TRUCK NORTH AMERICA LLC|4555 N. CHANNEL AVENUE||PORTLAND
4|DAIMLER TRUCK NORTH AMERICA LLC|4555 N. CHANNEL AVENUE||Portland
4|DAIMLER TRUCKS NORTH AMERICA LLC|4555 North Channel Avenue||Portland
4|Daimler Truck North America LLC|4555 North Channel Avenue||Portland
4|Daimler Trucks North America LLC|4555 North Channel Avenue||Portland
4|DAIMLER TRUCK NORTH AMERICA LLC|4555 North Channel Avenue||Portland
4|Rehab Specialist California LLC|4560 SE International Way|Suite 100|Milwaukie
4|Rehab Specialists I LLC|4560 SE International Way|Suite 100|Milwaukie
4|Rehab Specialists of California LLC|4560 SE International Way|Suite 100|Milwaukie
4|Rehab Specialists California LLC|4560 SE International Way|Suite 100|Milwaukie
4|Aginsky Capital Group LLC|5319 SW Westgate Drive|Suite 123|Portland
4|Aginsky Capital Group LLC|5319 SW Westgate Drive|Suite 207|Portland
4|CrackaJack Digital Solutions LLC (formerly known as Crackajack Solutions LLC)|5319 SW Westgate Drive|Suite 232|Portland
4|Crackajack Digital Solutions LLC|5319 SW Westgate Drive|Suite 232|Portland
4|Lantern US LLC|811 SW Naito Parkway|Suite 600|Portland
4|Marquam Group LTD|811 SW Naito Parkway|Suite 600|Portland
4|Marquam Group LLC|811 SW Naito Parkway|Suite 600|Portland
4|Marquam Group Ltd.|811 SW Naito Parkway|Suite 600|Portland
4|Smarsh Inc|851 SW 6th Avenue|STE 800|Portland
4|Smarsh Inc|851 SW 6th Avenue|SUITE 800|Portland
4|Kittelson & Associates Inc|851 SW 6th Avenue|Suite 600|Portland
4|Smarsh Inc|851 SW 6th Avenue|Suite 800|Portland
4|Expeto Wireless Inc|920 SW 6th Avenue|10th Floor Unit 10A120|Portland
4|Twin River South LLC|920 SW 6th Avenue|Floor 12|Portland
4|OmniData Insights|920 SW 6th Avenue|Flr. 12th|Portland
4|OmniData Inc|920 SW 6th Avenue|Flr. 12th|Portland
4|Peaberry Software Inc|9450 SW Gemini Dr.|43920 Suite|Beaverton
4|Intersect Power LLC|9450 SW Gemini Dr.|PMB 68743|Beaverton
4|Peaberry Software Inc|9450 SW Gemini Dr.|Suite 43920|Beaverton
4|Shef Inc|9450 SW Gemini Dr.|Suite 92716|Beaverton
4|Nike Inc|One Bowerman Dr.||Beaverton
4|Nike USA Inc|One Bowerman Dr.||Beaverton
4|NIKE Inc|One Bowerman Dr.||Beaverton
4|NIKE RETAIL SERVICES INC|One Bowerman Dr.||Beaverton
3|Tillamook Regional Medical Center|1000 3rd Street||Tillamook
3|Northwest Medical Foundation of Tillamook|1000 3rd Street||Tillamook
3|Northwest Regional Foundation of Tillamook|1000 3rd Street||Tillamook
3|KBF CPAs LLP|111 SW Fifth Avenue|Suite 1850|Portland
