count|employer_name|employer_address1|employer_address2|employer_city
12|DEELAK HOSPITALITY LLC|1509 Lady St|Suite C|Columbia
12|LEXONE SOLUTIONS LLC|1509 Lady St|Suite C|Columbia
12|Lexone Solutions LLC|1509 Lady St|Suite C|Columbia
12|Roh Technologies LLC|1509 Lady St|Suite G|Columbia
12|Roh Technologies|1509 Lady St|Suite G|Columbia
12|ROH TECHNOLOGIES LLC|1509 Lady St|Suite G|Columbia
12|Hyper V Solutions LLC|1509 Lady St|Suite G|Columbia
12|ROH Technologies LLC|1509 Lady St|Suite G|Columbia
12|Ultra Aura Systems LLC|1509 Lady St|Suite G|Columbia
12|HYPER V SOLUTIONS LLC|1509 Lady St||Columbia
12|UltraAura Systems LLC|1509 Lady St||Columbia
12|DEELAK REALTORS LLC|1509 Lady St||Columbia
9|Prisma Health Medical Group - Midlands|7 Independence Point|120|Greenville
9|PRISMA Health University Medical Group|7 Independence Point|Suite 120|Greenville
9|PRISMA Health - University Medical Group|7 Independence Point|Suite 120|Greenville
9|Prisma Health Medical Group - University Medical Group|7 Independence Point|Suite 120|Greenville
9|Blount Memorial Physician Group Inc|7 Independence Point|Suite 120|Greenville
9|Prisma Health University Medical Group|7 Independence Point|Suite 120|Greenville
9|Prisma Health Medical Group - Midlands|7 Independence Point|Suite 120|Greenville
9|Prisma Health - University Medical Group|7 Independence Point|Suite 120|Greenville
9|PRISMA Health Upstate|7 Independence Point|Suite 120|Greenville
7|Schaeffler Transmission LLC|308 Springhill Farm Road|Corp 2|Fort Mill
7|Schaeffler Transmission Systems LLC|308 Springhill Farm Road||Fort Mill
7|SCHAEFFLER GROUP USA INC|308 Springhill Farm Road||Fort Mill
7|Schaeffler Special Machinery LLC|308 Springhill Farm Road||Fort Mill
7|Schaeffler Group USA Inc|308 Springhill Farm Road||Fort Mill
7|Schaeffler Aerospace USA Corporation|308 Springhill Farm Road||Fort Mill
7|Schaeffler Transmission LLC|308 Springhill Farm Road||Fort Mill
7|JTEKT Bearings North America LLC|7 Research Drive||Greenville
7|JTEKT North America Corporation|7 Research Drive||Greenville
7|Koyo Bearings North America|7 Research Drive||Greenville
7|JTEKT North America|7 Research Drive||Greenville
7|JTEKT North America Corporation Inc|7 Research Drive||Greenville
7|JTEKT Automotive North America Inc|7 Research Drive||Greenville
7|JTEKT Automotive North America|7 Research Drive||Greenville
6|Blue Cross Blue Shield of South Carolina|I-20 @ Alpine Road|AC-102|Columbia
6|Blue Cross Blue Shield of South Carolina|I-20 @ Alpine Road|Mail Code AC-100|Columbia
6|Blue Cross Blue Shield of South Carolina|I-20 @ Alpine Road|Mail code AC-100|Columbia
6|Blue Cross Blue Shield of South Carolina|I-20 @ Alpine Road|Mailcode AC-100|Columbia
6|Blue Cross Blue Shield of South Carolina|I-20 @ Alpine Road||Columbia
6|Blue Cross and Blue Shield of South Carolina|I-20 @ Alpine Road||Columbia
5|V2C SOLUTIONS LLC|3935 Sunset Blvd|Suite G|west columbia
5|V2C Solutions LLC|3935 Sunset Blvd|Suite G|west Columbia
5|V2C SOLUTIONS LLC|3935 Sunset Blvd|Suite G|West Columbia
5|V2C Solutions LLC|3935 Sunset Blvd|Suite G|west columbia
5|V2C SOLUTIONS LLC|3935 Sunset Blvd|suite G|west columbia
5|Spark IT Technologies LLC|454 S Anderson Road|STE 100|Rock Hill
5|Caliber IT Solutions Inc|454 S Anderson Road|STE 310|Rock Hill
5|Caliber IT Solution Inc|454 S Anderson Road|Suite 310|Rock Hill
5|Caliber IT Solutions  Inc|454 S Anderson Road|Suite 310|Rock Hill
5|Ordusion Technologies Inc|454 S Anderson Road|Suite 313|Rock Hill
5|Resurgent Capital Services LP|55 Beattie Place|STE 110|Greenville
5|Resurgent Capital Services, L.P.|55 Beattie Place|STE 110|Greenville
5|Resurgent Capital Services, L.P.|55 Beattie Place|Suite 110|Greenville
5|Resurgent Capital Services, L.P.|55 Beattie Place|Suite 400|Greenville
5|Resurgent Capital Services, L.P.|55 Beattie Place||Greenville
4|Domtar Paper Company LLC|100 Kingsley Park Drive|n/a|Fort Mill
4|Domtar Paper Company LLC|100 Kingsley Park Drive||Fort Mill
4|Domtar Corporation|100 Kingsley Park Drive||Fort Mill
4|DOMTAR PAPER COMPANY LLC|100 Kingsley Park Drive||Fort Mill
4|Curo Management LLC|101 N Main Street|600|Greenville
4|CURO Management LLC|101 N Main Street|Suite 600|Greenville
4|Curo Management LLC|101 N Main Street|Suite 600|Greenville
4|Heights Finance Holding Company|101 N Main Street|Suite 600|Greenville
4|Grey Matter Solutions LLC|1200 Woodruff Road|Building A3, Suite 125|Greenville
4|Execution Partners LLC|1200 Woodruff Road|Suite C-40|Greenville
4|Drobot Inc|1200 Woodruff Road|Suite C-40|Greenville
4|Gemba Systems Inc|1200 Woodruff Road|Suite C-40|Greenville
4|Advanced IT Solutions Inc|1301 Gervais Street|Suite 1410|Columbia
4|Systems Careers Inc|1301 Gervais Street|Suite 1700|Columbia
4|Companion Professional Services LLC|1301 Gervais Street|Suite 1700|Columbia
4|Colliers International South Carolina Inc|1301 Gervais Street|Suite 600|Columbia
4|Nelson Mullins Riley & Scarborough LLP|1320 Main Street|17th Floor|Columbia
4|Nelson Mullins Riley & Scarborough, LLP|1320 Main Street|17th Floor|Columbia
4|Tora Consulting LLC|1320 Main Street|Suite 300|Columbia
4|Sterlite Technologies Inc|1320 Main Street|Suite 300|Columbia
4|Deelak Hospitality LLC|1509 Lady Street|Suite C|Columbia
4|ROH Technologies LLC|1509 Lady Street|Suite G|Columbia
4|Hyper V Solutions LLC|1509 Lady Street||Columbia
4|HYPER V SOLUTIONS LLC|1509 Lady Street||Columbia
4|FIT Voltaira Americas Corporation (formerly Prettl Electric Corporation)|1721 White Horse Road||Greenville
4|FIT Voltaira Americas Corporation f/k/a Prettl Electric Corporation|1721 White Horse Road||Greenville
4|Prettl Electric Corporation|1721 White Horse Road||Greenville
4|FIT Voltaira Americas Corporation f/k/a Prettl Electric Corporation.|1721 White Horse Road||Greenville
4|Water V LLC|200 Meeting Street|Suite 11|Charleston
4|Beemok Management LLC|200 Meeting Street|Suite 206|Charleston
4|Meeting Street Schools|200 Meeting Street|Suite 206|Charleston
4|Beemok Hospitality Holdings LLC|200 Meeting Street||Charleston
4|Harsco Corporation|2401 Edmund Hwy||West Columbia
4|Enviri Corporation|2401 Edmund Hwy||West Columbia
4|Enviri Corporation (formerly Harsco Corporation)|2401 Edmund Hwy||West Columbia
4|Enviri Corporation (formerly Harsco)|2401 Edmund Hwy||West Columbia
4|Strand Physician Specialists, P.A.|3361 Highway 9 East||Little River
4|Strand Physician Specialists PA|3361 Highway 9 East||Little River
4|Strand Physician Specialists, PA|3361 Highway 9 East||Little River
4|Strand Physician Specialists P.A.|3361 Highway 9 East||Little River
4|Laser Solutions Network LLC|4500 Leeds Avenue|126F|North Charleston
4|L & G Investments LLC|4500 Leeds Avenue|Ste 271W|North Charleston
4|L & G Investments LLC|4500 Leeds Avenue||North Charleston
4|MAHLE Behr Charleston Inc|4500 Leeds Avenue||Charleston
4|Wissen IT INC|775 Addison Avenue|Suite 102|Rock Hill
4|WissenIT INC|775 Addison Avenue|Suite 102|Rock Hill
4|Orrba Systems LLC|775 Addison Avenue|Suite 202|Rock Hill
4|ORRBA SYSTEMS LLC|775 Addison Avenue|Suite 202|Rock Hill
4|OB Hospitalist Group California, P.C.|777 Lowndes Hill Road|Building 1|Greenville
4|OBHG Illinois, S.C.|777 Lowndes Hill Road|Building 1|Greenville
4|OBHG Management Services LLC|777 Lowndes Hill Road|Building 1|Greenville
4|OBHG Wisconsin, S.C.|777 Lowndes Hill Road|Building 1|Greenville
4|Soteria Battery Innovation Group Inc|One Research Drive|Suite 120|Greenville
4|ProjectOne US LLC|One Research Drive|Suite 300|Greenville
4|SWJ-Project One LLC|One Research Drive|Suite 300|Greenville
4|SWJ- Project One LLC|One Research Drive|Suite 300|Greenville
4|Ogletree, Deakins, Nash, Smoak & Stewart, P.C.|Patewood IV 50 International Drive|STE 300|Greenville
4|OGLETREE, DEAKINS, NASH, SMOAK & STEWART, P.C.|Patewood IV 50 International Drive|STE 300|GREENVILLE
