count|employer_name|employer_address1|employer_address2|employer_city
40|Fresh Clinics Management LLC|5900 Balcones Drive|13288|Austin
40|Sathya Sai Services LLC|5900 Balcones Drive|21036|Austin
40|Leaves Technology LLC|5900 Balcones Drive|24817|Austin
40|Detect Technologies USA Inc|5900 Balcones Drive|STE 100|Austin
40|Masons Meats Inc|5900 Balcones Drive|STE 100|Austin
40|Pyramid Pool Service LLC|5900 Balcones Drive|STE 100|Austin
40|StepInsight LLC|5900 Balcones Drive|STE 100|Austin
40|STEPINSIGHT LLC|5900 Balcones Drive|STE 100|Austin
40|CycleTech Global LLC|5900 Balcones Drive|STE 100|Austin
40|Salvage Restoration LLC|5900 Balcones Drive|STE 100|Austin
40|BBon Capital LLC|5900 Balcones Drive|STE 100|Austin
40|Eyvatek LLC|5900 Balcones Drive|STE 10312|Austin
40|Kalven Group of LLC|5900 Balcones Drive|Suite 100|Austin
40|BBon Capital LLC|5900 Balcones Drive|Suite 100|Austin
40|Ellym LLC|5900 Balcones Drive|Suite 100|Austin
40|Eldorado Brands International Inc|5900 Balcones Drive|Suite 100|Austin
40|AEHL US LLC|5900 Balcones Drive|Suite 100|Austin
40|Yoce LLC|5900 Balcones Drive|Suite 100|Austin
40|We Square LLC|5900 Balcones Drive|Suite 100|Austin
40|Sharpwhiz Corporation LLC|5900 Balcones Drive|Suite 100|Austin
40|Livingstons LLC|5900 Balcones Drive|Suite 100|Austin
40|American Reshore LLC|5900 Balcones Drive|Suite 100|Austin
40|Dhaka Topi Capital LLC|5900 Balcones Drive|Suite 100|Austin
40|Oxbridge Consulting Group LLC|5900 Balcones Drive|Suite 100|Austin
40|Certus Recruitment Incorporated|5900 Balcones Drive|Suite 100|Austin
40|Stylenations Inc|5900 Balcones Drive|Suite 100|Austin
40|GLOBAL TEK VISION INC|5900 Balcones Drive|Suite 10797|Austin
40|Morpho Capital Partners LLC|5900 Balcones Drive|Suite 10887|Austin
40|LBV CONSULTING SERVICES LLC|5900 Balcones Drive|Suite 11583|Austin
40|Anatta Design Inc|5900 Balcones Drive|Suite 13174|Austin
40|KIBO SOFTWARE INC|5900 Balcones Drive|Suite 15077|Austin
40|Pyramid Pool Service LLC|5900 Balcones Drive|Suite 20623|Austin
40|GMWARE LLC|5900 Balcones Drive|Suite 23579|Austin
40|COGNITUM SOLUTIONS LLC|5900 Balcones Drive|Suite 25553|Austin
40|Nascent Technologies Inc|5900 Balcones Drive|Suite 5345|Austin
40|Halcyon Tech Inc|5900 Balcones Drive|Suite 5464|Austin
40|Mando Technologies Inc|5900 Balcones Drive|Suite 6447|Austin
40|Neev Neuropsychiatry PLLC|5900 Balcones Drive|Suite 8164|Austin
40|Walksonwood LLC|5900 Balcones Drive|Unit 8199|Austin
40|Make Things Better LLC|5900 Balcones Drive|suite 100|Austin
35|Synerzip LLC|4100 Spring Valley Road|308|Dallas
35|nCoders Technology Solutions LLC|4100 Spring Valley Road|STE 205|Farmers Branch
35|Vertraus Inc|4100 Spring Valley Road|STE 209|Farmers Branch
35|Enliant Inc|4100 Spring Valley Road|STE 613|Farmers Branch
35|Info Triangle Technologies Inc|4100 Spring Valley Road|STE 617|Dallas
35|K3Tech Solutions LLC|4100 Spring Valley Road|STE 642|Dallas
35|Kaar Technologies Inc|4100 Spring Valley Road|STE 750|Dallas,
35|Kaar Technologies Inc|4100 Spring Valley Road|STE 750|Dallas
35|ZenQ LLC|4100 Spring Valley Road|SUITE 910|Dallas
35|Shilsoft Inc|4100 Spring Valley Road|Ste 275|Dallas
35|ConnectedX Inc|4100 Spring Valley Road|Ste 330|Dallas
35|N1 Solutions LLC|4100 Spring Valley Road|Ste 420|Farmers Branch
35|Business Intelli Solutions Inc|4100 Spring Valley Road|Ste 512|Farmers Branch
35|Kaar Technologies Inc|4100 Spring Valley Road|Ste 750|Dallas
35|ZenQ LLC|4100 Spring Valley Road|Ste 910|Dallas
35|360 Technology LLC|4100 Spring Valley Road|Suite 139|Farmers Branch
35|Axle IT Inc|4100 Spring Valley Road|Suite 152|Dallas
35|Axle IT|4100 Spring Valley Road|Suite 152|Dallas
35|ConnectedX Inc|4100 Spring Valley Road|Suite 330|Dallas
35|Canora Technologies Inc|4100 Spring Valley Road|Suite 470|Dallas
35|INFONEON TECHNOLOGIES INC|4100 Spring Valley Road|Suite 520|Dallas
35|Infoneon Technologies Inc|4100 Spring Valley Road|Suite 520|Dallas
35|Copper Digital Inc|4100 Spring Valley Road|Suite 525|Dallas
35|Kaar Technologies Inc|4100 Spring Valley Road|Suite 607|Dallas
35|SWASUN CONSULTING LLC|4100 Spring Valley Road|Suite 612|Farmers Branch
35|Swasun Consulting LLC|4100 Spring Valley Road|Suite 612|Farmers Branch
35|ZERABIT INC|4100 Spring Valley Road|Suite 615|Dallas
35|K3Tech Solutions LLC|4100 Spring Valley Road|Suite 642|Dallas
35|AI Techhut Inc|4100 Spring Valley Road|Suite 654|Dallas
35|AI Techhut Inc|4100 Spring Valley Road|Suite 657|Dallas
35|Ropaar LLC|4100 Spring Valley Road|Suite 670|Farmers Branch
35|Kaar Technologies Inc|4100 Spring Valley Road|Suite 750|Dallas
35|Scadea Software Solutions Inc|4100 Spring Valley Road|Suite 770|Farmers Branch
35|Scadea Software Solutions Inc|4100 Spring Valley Road|Suite 770|Formers Branch
35|COVETUS LLC|4100 Spring Valley Road|Suite 935|Dallas
34|SoftPro Global Inc|5005 W Royal Ln|STE 133|Irving
34|Ecorfy Inc|5005 W Royal Ln|STE 142|Irving
34|Nexterapath Inc|5005 W Royal Ln|STE 156|Irving
34|Aplos America Inc|5005 W Royal Ln|STE 183E|Irving
34|Acentrik Technology Solutions LLC|5005 W Royal Ln|STE 183H|Irving
34|Acentrik Technologies Solutions|5005 W Royal Ln|STE 183H|Irving
34|Devi Techs Inc|5005 W Royal Ln|STE 183L|Irving
34|Trugit LLC|5005 W Royal Ln|STE 216|Irving
34|Pragma Info Systems Inc|5005 W Royal Ln|STE 219|Irving
34|INNOVATE SOFT LLC|5005 W Royal Ln|STE 237|Irving
34|THINK FORCE 360 LLC|5005 W Royal Ln|SUITE 280|IRVING
34|Destin IT Solutions INC|5005 W Royal Ln|Ste 122|Irving
34|MAXIMUS TEK INC|5005 W Royal Ln|Ste 170|Irving
34|BIG PEACH IT SERVICES LLC|5005 W Royal Ln|Ste 195|Irving
34|SCOTTLINE LLC|5005 W Royal Ln|Ste 196|Irving
34|Saisir Inc|5005 W Royal Ln|Ste 210|Irving
34|TEKNOVIK INC|5005 W Royal Ln|Ste 219|Irving
34|ES Search Consultants Inc|5005 W Royal Ln|Ste 224|Irving
34|Saisir Inc|5005 W Royal Ln|Suite 120|Irving
34|Destin IT Solutions Inc|5005 W Royal Ln|Suite 122|Irving
34|TechniHire Inc|5005 W Royal Ln|Suite 144|Irving
34|TECHSRUSCORP|5005 W Royal Ln|Suite 145|Irving
34|In Data Solutions Inc|5005 W Royal Ln|Suite 183H|Irving
34|In data Solutions Inc|5005 W Royal Ln|Suite 183H|Irving
34|DEFTSQUAD INC|5005 W Royal Ln|Suite 183K|Irving
34|Vityou Inc|5005 W Royal Ln|Suite 183L|Irving
34|CLOUD RESOURCES LLC|5005 W Royal Ln|Suite 200|Irving
34|Saisir Inc|5005 W Royal Ln|Suite 210|Irving
34|FIORI TECHNOLOGY SOLUTIONS INC|5005 W Royal Ln|Suite 224|Irving
34|FIORI TECHNOLOGY SOLUTIONS INC|5005 W Royal Ln|Suite 224|lrving
34|Fiori Technology Solutions Inc|5005 W Royal Ln|Suite 224|Irving
34|Smart Info Solutions LLC|5005 W Royal Ln|Suite 270|Irving
34|Think Force 360 LLC|5005 W Royal Ln|Suite 280|Irving
34|MASH ASSOCIATES LLC|5005 W Royal Ln|Suite250|Dallas
32|Octigo Solutions INC|12100 Ford Road|STE B-368|Dallas
32|BYTE SOLUTIONS LLC|12100 Ford Road|STE B143|Farmers Branch
32|Hash Tek Inc|12100 Ford Road|STE B155|Farmers Branch
32|Stacktrace LLC|12100 Ford Road|STE B157|Farmers Branch
32|Cod Cores Inc|12100 Ford Road|STE B190|Farmers Branch
32|Ekcel Technologies Inc|12100 Ford Road|STE B301|Farmers Branch
32|GISPATH INC|12100 Ford Road|STE B354|Farmers Branch
32|Infobuilders|12100 Ford Road|STE-B161|Farmers Branch
32|BRUHAT Technologies Inc|12100 Ford Road|Ste 115|Farmers Branch
32|Tech Abstractor LLC|12100 Ford Road|Ste B160|Farmers Branch
32|SINFRALOGIX LLC|12100 Ford Road|Ste B358|Dallas
32|Sinfralogix LLC|12100 Ford Road|Ste B358|Dallas
32|JCare Home Health Agency LLC|12100 Ford Road|Suite 115|Farmers Branch
32|Synapsol Inc|12100 Ford Road|Suite 120|Farmers Branch
32|MHR Infotech Inc|12100 Ford Road|Suite 283|Farmers Branch
32|DONATO TECHNOLOGIES INC|12100 Ford Road|Suite 306|Dallas
32|MORS Technologies Inc|12100 Ford Road|Suite A449|Farmers Branch
32|Akrid Technologies Inc|12100 Ford Road|Suite B-147|Farmers Branch
32|Synapsol Inc|12100 Ford Road|Suite B120|Farmers Branch
32|Skillzdepot Inc|12100 Ford Road|Suite B150|Farmers Branch
32|SkillzDepot Inc|12100 Ford Road|Suite B150|Farmers Branch
32|SkillzDepot INC|12100 Ford Road|Suite B150|Farmers Branch
32|Discover Technologies Inc|12100 Ford Road|Suite B180|Farmers Branch
32|ITGeeks Inc|12100 Ford Road|Suite B180-A|Farmers Branch
32|Golden Future Inc|12100 Ford Road|Suite B250|Farmers Branch
32|I9 Tech Solutions LLC|12100 Ford Road|Suite B255|Farmers Branch
32|Precisesoft Inc|12100 Ford Road|Suite B330|Farmers Branch
32|MORS Technologies Inc|12100 Ford Road|Suite B333|Farmers Branch
32|Techno Tasks Inc|12100 Ford Road|Suite B352|Farmers Branch
32|DevAppsIT LLC|12100 Ford Road|Suite B356|Farmers Branch
32|Sinfralogix LLC|12100 Ford Road|Suite B358|Dallas
32|CloudRan Communication LLC|12100 Ford Road|Suite B368|Dallas
32|Solunus Inc|2300 Valley View Ln|STE 220|Irving
32|Fortius Technologies Inc|2300 Valley View Ln|STE 241|Irving
32|SmartDW Inc|2300 Valley View Ln|STE 244|Irving
32|Frontend Arts Inc|2300 Valley View Ln|STE 534|Irving
32|Allied Tec INC|2300 Valley View Ln|STE 541|Irving
32|Nexcruit IT Services LLC|2300 Valley View Ln|STE 619|Irving
32|CEROTID INC|2300 Valley View Ln|STE 620|Irving
32|Amalgam Technologies Inc|2300 Valley View Ln|STE 815|Irving
32|Octagon IT LLC|2300 Valley View Ln|SUITE 213|Irving
32|Software Associates Inc|2300 Valley View Ln|SUITE 215|Irving
32|Nortek Consulting INC|2300 Valley View Ln|Ste 1040|Irving
32|Nortek Consulting INC|2300 Valley View Ln|Ste 1040|IRVING
32|Solunus Inc|2300 Valley View Ln|Ste 200|IRVING
32|Nortek Consulting INC|2300 Valley View Ln|Ste 825|Irving
32|AVR SOFTWARE SOLUTIONS INC|2300 Valley View Ln|Suite - 342|Irving
32|IntelliTask LLC|2300 Valley View Ln|Suite 1010|Irving
32|Intellitask LLC|2300 Valley View Ln|Suite 1010|Irving
32|Octagon IT LLC|2300 Valley View Ln|Suite 213|Irving
32|Software Associates Inc|2300 Valley View Ln|Suite 215|Irving
32|SOFTWARE ASSOCIATES INC|2300 Valley View Ln|Suite 215|Irving
32|Octagon IT LLC|2300 Valley View Ln|Suite 246|Irving
32|Solwin Tech Inc|2300 Valley View Ln|Suite 338|Irving
32|J & M IT GROUP INC|2300 Valley View Ln|Suite 348, Metroport building|Irving
32|S3 Technical Solutions Inc|2300 Valley View Ln|Suite 365|Irving
32|Technosoft Group Inc|2300 Valley View Ln|Suite 380|Irving
32|Merit American Technologies Inc|2300 Valley View Ln|Suite 390|Irving
32|Frontends Arts Inc|2300 Valley View Ln|Suite 534|Irving
32|Nexcruit IT Services LLC|2300 Valley View Ln|Suite 619|Irving
32|NEXCRUIT IT SERVICES|2300 Valley View Ln|Suite 619|Irving
32|MINDBRIDGE Solutions Inc|2300 Valley View Ln|Suite 910|Irving
32|Tuppl Technologies Inc|2300 Valley View Ln|suite 900|Irving
32|Octagon IT LLC|2300 Valley View Ln||Suite 246
31|Auscom Engineering Inc|One Dell Way|MS PS2-88|Round Rock
31|SecureWorks Inc|One Dell Way|N/A|Round Rock
31|Dell Financial Services L.L.C.|One Dell Way|N/A|Round Rock
31|Virtustream L.L.C.|One Dell Way|N/A|Round Rock
31|EMC Corporation|One Dell Way|N/A|Round Rock
31|Dell Marketing L.P.|One Dell Way|N/A|Round Rock
31|Dell USA L.P.|One Dell Way|N/A|Round Rock
31|Dell Products L.P.|One Dell Way|N/A|Round Rock
31|Dell Products L.P.|One Dell Way||Round Rock
31|Dell Products LP|One Dell Way||Round Rock
31|Dell USA L.P|One Dell Way||Round Rock
31|DELL PRODUCTS L.P.|One Dell Way||Round Rock
31|Dell Products L.P.|One Dell Way||ROUND ROCK
31|Dell Products L. P.|One Dell Way||ROUND ROCK
31|Dell Marketing, L.P.|One Dell Way||Round Rock
31|Dell Marketing LP|One Dell Way||Round Rock
31|DELL USA L.P.|One Dell Way||Round Rock
31|Dell USA L.P.|One Dell Way||ROUND ROCK
31|Dell USA L.P.|One Dell Way||Round Rock
31|Dell USA LP|One Dell Way||Round Rock
31|Secureworks Inc|One Dell Way||Round Rock
31|SecureWorks Inc|One Dell Way||Round Rock
31|Dell Marketing L.P.|One Dell Way||Round Rock
31|SecureWorks Inc|One Dell Way||ROUND ROCK
31|Dell - SecureWorks Inc|One Dell Way||Round Rock
31|Dell USA, L.P.|One Dell Way||Round Rock
31|Virtustream LLC|One Dell Way||Round Rock
31|Virtustream L.L.C.|One Dell Way||Round Rock
31|Dell Products L.P|One Dell Way||Round Rock
31|Dell Financial Services L.L.C.|One Dell Way||Round Rock
31|EMC Corporation|One Dell Way||Round Rock
30|DEVBYTES INC|2727 LBJ Freeway|Ste 309|Farmers Branch
30|Cloud Revolute Inc|2727 LBJ Freeway|Ste 924|Farmers Branch
30|Gavin IT Solutions Inc|2727 LBJ Freeway|Suit 568|Dallas
30|Molabs Media LLC|2727 LBJ Freeway|Suite 200|Dallas
30|RAM TEK Communications LLC|2727 LBJ Freeway|Suite 200|Dallas
30|HITECH Network Solutions LLC|2727 LBJ Freeway|Suite 200|Dallas
30|UpTeksys Corp|2727 LBJ Freeway|Suite 212-3|Farmers Branch
30|CLOUDINFRAIT INC|2727 LBJ Freeway|Suite 220|Farmers Branch
30|FORMULA HUB LLC|2727 LBJ Freeway|Suite 300|Farmers Branch
30|Pro Seven IT LLC|2727 LBJ Freeway|Suite 306|Farmers Branch
30|Devbytes Inc|2727 LBJ Freeway|Suite 309|Farmers Branch
30|DevBytes Inc|2727 LBJ Freeway|Suite 309|Farmers Branch
30|Tek spikes LLC|2727 LBJ Freeway|Suite 310|Farmers Branch
30|TekSpikes LLC|2727 LBJ Freeway|Suite 310|Farmers Branch
30|Tek Spikes LLC|2727 LBJ Freeway|Suite 310|Farmers Branch
30|Tek Spikes LLC|2727 LBJ Freeway|Suite 310|Farmers  Branch
30|Cloud Infra IT solutions Inc|2727 LBJ Freeway|Suite 314-7|Farmers Branch
30|Cloud Infra IT Solutions Inc|2727 LBJ Freeway|Suite 314-7|Farmers Branch
30|Glenysys Technologies Inc|2727 LBJ Freeway|Suite 326|Farmers Branch
30|Atoka Technologies Inc|2727 LBJ Freeway|Suite 412|Farmers Branch
30|Atoka Technlogies Inc|2727 LBJ Freeway|Suite 412|Farmers Branch
30|Tek Spikes LLC|2727 LBJ Freeway|Suite 412|Farmers Branch
30|Relinetek LLC|2727 LBJ Freeway|Suite 428|Farmers Branch
30|Pro Seven IT LLC|2727 LBJ Freeway|Suite 428|Farmers Branch
30|Precisesoft Inc|2727 LBJ Freeway|Suite 447|Farmers Branch
30|Codehub Tech Inc|2727 LBJ Freeway|Suite 564|Farmers Branch
30|Amazing Consulting And Solutions LLC|2727 LBJ Freeway|Suite 568|Farmers Branch
30|Technoflair Solutions LLC|2727 LBJ Freeway|Suite 760|Farmers Branch
30|Vincore IT Solutions Inc|2727 LBJ Freeway|Suite 926|Dallas
30|EPSoft Technologies LLC|2727 LBJ Freeway|Suite 930|Farmers Branch
28|NTT DATA, Americas Inc|7950 Legacy Drive|11th Floor|Plano
28|NTT DATA Inc|7950 Legacy Drive|11th Floor|Plano
28|NTT DATA Services LLC|7950 Legacy Drive|11th Floor|Plano
28|NTT DATA FedHealth Inc|7950 Legacy Drive|11th Floor|Plano
28|NTT DATA Americas Inc|7950 Legacy Drive|11th Floor|Plano
28|NTT DATA Services LLC|7950 Legacy Drive|11th floor|Plano
28|NTT DATA Inc|7950 Legacy Drive|11th floor|Plano
28|NTT DATA Americas Inc|7950 Legacy Drive|Floor 11|Plano
28|NTT DATA Services LLC|7950 Legacy Drive|Floor 11|Plano
28|NTT Data Inc|7950 Legacy Drive|Floor 11|Plano
28|NTT DATA Inc|7950 Legacy Drive|Floor 11|Plano
28|Alpine Construction Inc|7950 Legacy Drive|Ste 240|Plano
28|FinThrive Inc|7950 Legacy Drive|Ste 900|Plano
28|Nexient LLC|7950 Legacy Drive|Suite 1100|Plano
28|Fundbox Inc|7950 Legacy Drive|Suite 375|Plano
28|Imagine Communications Corp.|7950 Legacy Drive|Suite 400|Plano
28|AtHoc Inc|7950 Legacy Drive|Suite 437|Plano
28|BLACKBERRY CORPORATION|7950 Legacy Drive|Suite 437|Plano
28|Ameri and Partners Inc|7950 Legacy Drive|Suite 650|Plano
28|Ameri and Partners Inc dba Ameri100|7950 Legacy Drive|Suite 650|Plano
28|iSoftStone Inc|7950 Legacy Drive|Suite 650|Plano
28|WIS IVS LLC|7950 Legacy Drive|Suite 800|Plano
28|NTT DATA Inc|7950 Legacy Drive|Suite 900|Plano
28|NTT Data FedHealth|7950 Legacy Drive|Suite 900|Plano
28|FinThrive Inc|7950 Legacy Drive|Suite 900|Plano
28|NTT Data Inc|7950 Legacy Drive|Suite 900|Plano
28|NTT DATA Services LLC|7950 Legacy Drive|Suite 900|Plano
28|NTT DATA FedHealth Inc|7950 Legacy Drive|Suite 900|Plano
28|Rifluxyss Softwares LLC|8951 Cypress Waters Blvd|160|Coppell
28|BROADX IT SOLUTIONS LLC|8951 Cypress Waters Blvd|STE 160|Irving
28|Robotix Technology Solutions|8951 Cypress Waters Blvd|STE 160|Irving
28|GalacticIT LLC|8951 Cypress Waters Blvd|STE 160|Coppell
28|TOPAZ SOFTWARE GROUP INC|8951 Cypress Waters Blvd|SUITE 160|DALLAS
28|Savantic Technologies Inc|8951 Cypress Waters Blvd|SUITE 160|Dallas
28|Topaz Software Group|8951 Cypress Waters Blvd|Ste 160|dallas
28|INVENTURUS KNOWLEDGE SOLUTIONS INC|8951 Cypress Waters Blvd|Suite 100|Coppell
28|VIBHU TECH INC|8951 Cypress Waters Blvd|Suite 160|Coppell
28|DATASCUD INC|8951 Cypress Waters Blvd|Suite 160|Coppell
28|Octed LLC|8951 Cypress Waters Blvd|Suite 160|Coppell
28|Spring Technosoft Inc|8951 Cypress Waters Blvd|Suite 160|Dallas
28|KOMMFORCE SOLUTIONS INC|8951 Cypress Waters Blvd|Suite 160|Dallas
28|Srisys LLC|8951 Cypress Waters Blvd|Suite 160|Coppell
28|Telafor LLC|8951 Cypress Waters Blvd|Suite 160|Dallas
28|Avalanche Technologies LLC|8951 Cypress Waters Blvd|Suite 160|Coppell
28|Kintetsu Global I.T. Inc|8951 Cypress Waters Blvd|Suite 160|Dallas
28|PERSISTENT IT INC|8951 Cypress Waters Blvd|Suite 160|Dallas
28|Snowsoft LLC|8951 Cypress Waters Blvd|Suite 160|Coppell
28|Centillion Infotech LLC|8951 Cypress Waters Blvd|Suite 160|Dallas
28|Aimersz Consulting Services Inc|8951 Cypress Waters Blvd|Suite 160|Dallas
28|Think Labs Inc|8951 Cypress Waters Blvd|Suite 160|Coppell
