count|employer_name|employer_address1|employer_address2|employer_city
7|Sonus Software Solutions Inc,|504 W 800 N||Orem
7|SONUS SOFTWARE SOLUTIONS INC|504 W 800 N||Orem
7|Sonus Software Solutions Inc|504 W 800 N||Orem
7|Sonica kommu|504 W 800 N||Orem
7|SONUS SOFTWARE SOLUTIONS INC|504 W 800 N||OREM
7|Sonus Software Solutions Inc|504 W 800 N||OREM
7|Sonus Software Solutions inc|504 W 800 N||Orem
6|University of Utah Office of General Counsel|201 S Presidents Circle|309 Park Building|Salt Lake City
6|University of Utah|201 S Presidents Circle|309 Park Building|Salt Lake City
6|University of Utah|201 S Presidents Circle|Room 309 Park Building|Salt Lake City
6|University of Utah Office of General Counsel|201 S Presidents Circle|Room 309 Park Building|Salt Lake City
6|University of Utah|201 S Presidents Circle||Salt Lake City
6|University of Utah Office of General Counsel|201 S Presidents Circle||Salt Lake City
6|PDQCom Corporation|2200 South Main Street|Suite 200|South Salt Lake City
6|PDQ.com Corporation|2200 South Main Street|Suite 200|South Salt Lake City
6|PDQ Com Corporation|2200 South Main Street|Suite 200|South Salt Lake City
6|PDQ Com Corporation|2200 South Main Street|Suite 200|Salt Lake City
6|PDQCom Corporation|2200 South Main Street|Suite 200|Salt Lake City
6|Delhivery USA LLC|2200 South Main Street|Suite 600|South Salt Lake
5|InMoment Inc|10355 South Jordan Gateway|600 Suite|South Jordan
5|Lucid Software Inc|10355 South Jordan Gateway|Ste 150|South Jordan
5|Lucid Software Inc|10355 South Jordan Gateway|Suite 150|South Jordan
5|Lucid Software Inc|10355 South Jordan Gateway|Suite 300|South Jordan
5|InMoment Inc|10355 South Jordan Gateway|Suite 600|South Jordan
5|Questel-Orbit Incorporated|4001 South 700 East|Suite 500|Salt Lake City
5|WGU Labs|4001 South 700 East|Suite 700|Salt Lake City
5|Western Governors University|4001 South 700 East|Suite 700|Salt Lake City
5|WGU Corporation|4001 South 700 East|Suite 700|Salt Lake City
5|WGU ACADEMY|4001 South 700 East|Suite 700|Salt Lake City
5|PLURALSIGHT LLC|42 Future Way||Draper
5|BambooHR Payroll LLC|42 Future Way||Draper
5|Pluralsight LLC|42 Future Way||Draper
5|Clear Link Technologies LLC|42 Future Way||Draper
5|Bamboo HR LLC|42 Future Way||Draper
5|Rio Tinto Services Inc|4700 Daybreak Parkway|South Jordan|South Jordan
5|Rio Tinto Services Inc|4700 Daybreak Parkway||South Jordon
5|Kennecott Utah Copper LLC|4700 Daybreak Parkway||South Jordon
5|Rio Tinto Services Inc|4700 Daybreak Parkway||South Jordan
5|Kennecott Utah Copper LLC|4700 Daybreak Parkway||South Jordan
5|TCI Biotech USA LLC|737 E 1180 S|Suite 501|American Fork
5|TCI Biotech USA LLC|737 E 1180 S||American Fork
5|TCI Biotech LLC|737 E 1180 S||AMERICAN FORK
5|TCI BIOTECH LLC|737 E 1180 S||AMERICAN FORK
5|TCI Biotech USA LLC|737 E 1180 S||AMERICAN FORK
4|Nearmap US Inc|10897 South River Front Parkway|Suite 150|South Jordan
4|Health Catalyst Inc|10897 South River Front Parkway|Suite 300|South Jordan
4|Crowdcare Foundation Inc|10897 South River Front Parkway||South Jordan
4|Health Catalyst Inc|10897 South River Front Parkway||South Jordan
4|STAMPIN UP! INC|12907 S 3600 W||RIVERTON
4|Stampin Up! Inc|12907 S 3600 W||Riverton
4|STAMPIN UP|12907 S 3600 W||RIVERTON
4|STAMPIN UP INC|12907 S 3600 W||RIVERTON
4|Maschoff Brennan Gilmore Israelsen & Mauriel, LLP|1389 Center Drive|Suite 300|Park City
4|Maschoff Brennan|1389 Center Drive|Suite 300|Park City
4|Meraki Global Advisors LLC|1389 Center Drive||Park City
4|Meraki Global Advisors|1389 Center Drive||Park City
