count|employer_name|employer_address1|employer_address2|employer_city
10|University of Vermont Health Network Medical Group|111 Colchester Ave||Burlington
10|University of Vermont Health Network Medical Group INC|111 Colchester Ave||Burlington
10|University of Vermont Health Network Medical Group Inc|111 Colchester Ave||Burlington
10|University of Vermont Medical Center|111 Colchester Ave||Burlington
10|University of Vermont Medical Center Inc|111 Colchester Ave||Burlington
10|University of Vermont Medical Health Network Medical Group Inc|111 Colchester Ave||Burlington
10|UNIVERSITY OF VERMONT HEALTH NETWORK MEDICAL GROUP INC|111 Colchester Ave||Burlington
10|University of Vermont Health Network - University of Vermont Medical Center|111 Colchester Ave||Burlington
10|University of Vermont Health Network - Champlain Valley Physicians Hospital|111 Colchester Ave||Burlington
10|The University of Vermont Health Network - University of Vermont Medical Center|111 Colchester Ave||Burlington
8|AMERICAN TECHNOLOGY GROUP LLC|69 ALLEN ST|STE 5A|RUTLAND
8|AMERICAN TECHNOLOGY GROUP LLC|69 ALLEN ST|SUITE 5A|RUTLAND
8|ROBOTIC PROCESS AUTOMATION LLC|69 ALLEN ST|SUITE 5A|RUTLAND
8|ARTIFINT TECHNOLOGIES LLC|69 ALLEN ST|SUITE 5B|RUTLAND
8|MACHINE INTELLIGENCE TECHNOLOGIES LLC|69 ALLEN ST|SUITE 5C|RUTLANT
8|SOFTWARE DEVELOPER|69 ALLEN ST|SUITE 5C|RUTLANT
8|DATA SCIENCE TECHNOLOGIES LLC|69 ALLEN ST|SUITE 5D|RUTLAND
8|BLOCKCHAIN TECHNOLOGIES LLC|69 ALLEN ST|SUITE 5E|RUTLAND
6|UNIVERSITY OF VERMONT HEALTH NETWORK MEDICAL GROUP INC|111 COLCHESTER AVE||BURLINGTON
6|UNIVERSITY OF VERMONT MEDICAL CENTER INC|111 COLCHESTER AVE||BURLINGTON
6|UNIVERSITY OF VERMONT HEALTH NETWORK MEDICAL GROUP|111 COLCHESTER AVE||BURLINGTON
6|UNIVERSITY OF VERMONT MEDICAL GROUP INC|111 COLCHESTER AVE||BURLINGTON
6|UNIVERSITY OF VERMONT HEALTH NETWORK INC|111 COLCHESTER AVE||BURLINGTON
6|UNIVERSITY OF VERMONT MEDICAL CENTER|111 COLCHESTER AVE||BURLINGTON
6|University of Vermont Medical Center|111 Colchester Avenue||Burlington
6|University of Vermont Health Network Medical Group Inc|111 Colchester Avenue||Burlington
6|University of Vermont Health Network Medical Group|111 Colchester Avenue||Burlington
6|University of Vermont Medical Group Inc|111 Colchester Avenue||BURLINGTON
6|UNIVERSITY OF VERMONT HEALTH NETWORK - UNIVERSITY OF VERMONT MEDICAL CENTER|111 Colchester Avenue||Burlington
6|The University of Vermont Medical Group Inc|111 Colchester Avenue||Burlington
6|The President & Fellows of Middlebury College|14 Old Chapel Road|ISSS-Service Building, Suite 200|Middlebury
6|The President and Fellows of Middlebury College|14 Old Chapel Road||Middlebury
6|The President and Fellow of Middlebury College|14 Old Chapel Road||Middlebury
6|The President & Fellows of Middlebury College|14 Old Chapel Road||Middlebury
6|Middlebury College|14 Old Chapel Road||Middlebury
6|The Presidents & Fellows of Middlebury College|14 Old Chapel Road||Middlebury
6|UNIVERSITY OF VERMONT HEALTH NETWORK MEDICAL GROUP|725 COMMUNITY DR.|SUITE 402|SOUTH BURLINGTON
6|THE UNIVERSITY OF VERMONT HELATH NETWORK MEDICAL GROUP INC|725 COMMUNITY DR.|SUITE 402|SOUTH BERLINGTON
6|UNIVERSITY OF VERMONG HEALTH NETWORK MEDICAL GROUP INC|725 COMMUNITY DR.|SUITE 402|SOUTH BURLINGTON
6|UNIVERSITY OF VERMONT HEALTH NETWORK MEDICAL GROUP INC|725 COMMUNITY DR.|SUITE 402|SOUTH BERLINGTON
6|UNIVERSITY OF VERMONT HEALTH NETWORK MEDICAL GROUP INC|725 COMMUNITY DR.|SUITE 402|SOUTH BURLINGTON
6|UNIVERSITY OF VERMONT HEALTH NETWORK MEDICAL GROUP INC|725 COMMUNITY DR.||SOUTH BURLINGTON
5|The Rutland Hospital Inc|160 Allen Street|Suite 1200|Rutland
5|The Rutland Hospital Inc|160 Allen Street||RUTLAND
5|The Rutland Regional Hospital Inc|160 Allen Street||Rutland
5|The Rutland Hospital Inc|160 Allen Street||Rutland
5|Rutland Regional Medical Center|160 Allen Street||Rutland
5|University of Vermont|633 Main Street|B101 - Office of Intl Education|Burlington
5|The University of Vermont|633 Main Street|Office of Intl Educ - L&L B101|Burlington
5|The University of Vermont and State Agricultural College|633 Main Street|Office of Intl Education - L&L B101|Burlington
5|The University of Vermont|633 Main Street|Office of Intl Education - L&L B101|Burlington
5|The University of Vermont|633 Main Street|Office of Intl Education - L/L B101|Burlington
4|UNIVERSITY OF VERMONT MEDICAL CENTER|111 COLCHESTER AVENUE||BURLINGTON
