count|employer_name|employer_address1|employer_address2|employer_city
97|Molina Technologies LLC|13800 Coppermine Road|1st Floor|Herndon
97|RAMSWAR TECHNOLOGIES LLC|13800 Coppermine Road|1st, 2nd and 3rd floor|Herndon
97|APPLIXA TECHNOLOGIES LLC|13800 Coppermine Road|2nd Floor Suite 250|Herndon
97|APPLIXA TECHNOLOGIES LLC|13800 Coppermine Road|2nd Floor, Suite 250|Herndon
97|Innovative Dynamic Solutions Global Inc|13800 Coppermine Road|327|Herndon
97|Meta Info Solutions Inc|13800 Coppermine Road|3rd Floor|Herndon
97|META INFO SOLUTIONS INC|13800 Coppermine Road|3rd Floor|Herndon
97|VirtueMind Solutions LLC|13800 Coppermine Road|3rd Floor, Suite 391|Herndon
97|Virtue Mind Solutions LLC|13800 Coppermine Road|3rd Floor, Suite 391|Herndon
97|VIRTUE MIND SOLUTIONS LLC|13800 Coppermine Road|3rd Floor, suite 391|Herndon
97|VIRTUE MIND SOLUTIONS LLC|13800 Coppermine Road|3rd Floor, suite 391,|Herndon
97|Hashi Solutions LLC|13800 Coppermine Road|First Floor|Herndon
97|Hashi Solutions LLC|13800 Coppermine Road|First floor|Herndon
97|Axelaar Inc|13800 Coppermine Road|Flr 3rd|Herndon
97|ACENTLE INC|13800 Coppermine Road|STE 107|Herndon
97|Acentle Inc|13800 Coppermine Road|STE 107|Herndon
97|Veena Corp|13800 Coppermine Road|STE 140|Herndon
97|Omega Hires|13800 Coppermine Road|STE 140|Herndon
97|RATNA LLC|13800 Coppermine Road|STE 142|Herndon
97|Sage Metrix Inc|13800 Coppermine Road|STE 249|Herndon
97|Oran Inc|13800 Coppermine Road|STE 307|Herndon
97|SSA Tech Inc|13800 Coppermine Road|Ste 130|Herndon
97|K Base Technologies Inc|13800 Coppermine Road|Ste 153|Herndon
97|Gerent LLC|13800 Coppermine Road|Ste 159|Herndon
97|ioSENTRIX LLC|13800 Coppermine Road|Ste 190|Herndon
97|Covalense Digital Solutions LLC|13800 Coppermine Road|Ste 245|Herndon
97|Gunina Innovative LLC|13800 Coppermine Road|Ste 288|Herndon
97|Axelaar Inc|13800 Coppermine Road|Ste 305|Herndon
97|Matha Inc|13800 Coppermine Road|Ste 393|Herndon
97|VALIANT TEK GROUP INC|13800 Coppermine Road|Suite 101|Herndon
97|Amsy Soft Inc|13800 Coppermine Road|Suite 105|Herndon
97|AMSY SOFT INC|13800 Coppermine Road|Suite 105|Herndon
97|UDS Synergy Inc|13800 Coppermine Road|Suite 106|Herndon
97|Tek Staffing Inc|13800 Coppermine Road|Suite 110|Herndon
97|Nclipse Solutions LLC|13800 Coppermine Road|Suite 111|Herndon
97|iCloud Solutions Inc|13800 Coppermine Road|Suite 113|Herndon
97|Talteam Inc|13800 Coppermine Road|Suite 120|Herndon
97|ABS Tech LLC|13800 Coppermine Road|Suite 126|Herndon
97|ERADS INC|13800 Coppermine Road|Suite 127|Herndon
97|SATSYIL CORP|13800 Coppermine Road|Suite 138|Herndon
97|Satsyil Corp|13800 Coppermine Road|Suite 138|Herndon
97|Vmark Solutions Inc|13800 Coppermine Road|Suite 141, 1st floor|Herndon
97|Data Capital Inc|13800 Coppermine Road|Suite 143|Herndon
97|Ardent Tech Services Inc|13800 Coppermine Road|Suite 144|Herndon
97|Infogen Software Solutions Inc|13800 Coppermine Road|Suite 150|Herndon
97|Nunetz Tech LLC|13800 Coppermine Road|Suite 151|Herndon
97|Refyn Data LLC|13800 Coppermine Road|Suite 162|Herndon
97|SSATech Inc|13800 Coppermine Road|Suite 170|Herndon
97|SSA Tech Inc|13800 Coppermine Road|Suite 170|Herndon
97|Cool Minds LLC|13800 Coppermine Road|Suite 171|Herndon
97|P9 Cloud Solutions Inc|13800 Coppermine Road|Suite 177|Herndon
97|Rapid It Gain Inc|13800 Coppermine Road|Suite 182|Herndon
97|Techtonic Inc|13800 Coppermine Road|Suite 184|Herndon
97|EKIN Solutions Inc|13800 Coppermine Road|Suite 189|Herndon
97|LINKORAX INC|13800 Coppermine Road|Suite 209|Herndon
97|Tech2i Inc|13800 Coppermine Road|Suite 210|Herndon
97|Fasur Technologies LLC|13800 Coppermine Road|Suite 226|Herndon
97|Optimal Solutions Inc|13800 Coppermine Road|Suite 243|Herndon
97|Covalense Digital Solutions LLC|13800 Coppermine Road|Suite 245|Herndon
97|Accentuate IT Solutions LLC|13800 Coppermine Road|Suite 248|Herndon
97|Applixa Technologies LLC|13800 Coppermine Road|Suite 250|Herndon
97|Techouts Inc|13800 Coppermine Road|Suite 281|Herndon
97|Infogen Software Solutions Inc|13800 Coppermine Road|Suite 300|Herndon
97|Open Analytics LLC|13800 Coppermine Road|Suite 306|Herndon
97|Oran Inc|13800 Coppermine Road|Suite 307|Herndon
97|Oran Inc|13800 Coppermine Road|Suite 311|Herndon
97|Innovative Dynamic Solutions Global Inc|13800 Coppermine Road|Suite 327|Herndon
97|RawKey Technologies LLC|13800 Coppermine Road|Suite 346|Herndon
97|Rawkey Technologies LLC|13800 Coppermine Road|Suite 346|Herndon
97|Vivikta Inc|13800 Coppermine Road|Suite 352|Herndon
97|Pacific Merchants Alliance Inc|13800 Coppermine Road|Suite 354|Herndon
