count|employer_name|employer_address1|employer_address2|employer_city
75|Hospitalist Medicine Physicians of Richland County, Ltd.|1498 Pacific Avenue|Suite 400|Tacoma
75|Hospitalist Medicine Physicians of Texas - Houston, PLLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Sound Physicians of Idaho, PLLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Cogent Healthcare of Jacksonville LLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Cogent Healthcare of Kentucky, P.S.C.|1498 Pacific Avenue|Suite 400|Tacoma
75|Sound Physicians Emergency Medicine of Nevada (Bessler), PLLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Sound Physicians Emergency Medicine of Illinois LLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Cogent Healthcare of Missouri Inc|1498 Pacific Avenue|Suite 400|Tacoma
75|Cogent Healthcare of Montana, PC|1498 Pacific Avenue|Suite 400|Tacoma
75|Cogent Healthcare of North Carolina, P.C.|1498 Pacific Avenue|Suite 400|Tacoma
75|Cogent Healthcare of Tennessee, PC|1498 Pacific Avenue|Suite 400|Tacoma
75|Cogent Healthcare of Texas, P. A.|1498 Pacific Avenue|Suite 400|TACOMA
75|Cogent Medical Care P.C.|1498 Pacific Avenue|Suite 400|Tacoma
75|South Sound Inpatient Physicians PLLC|1498 Pacific Avenue|Suite 400|Tacoma
75|South Sound Inpatient Physicians, PLLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Sandusky Anesthesia LLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Critical Care Physician of New York, P.C.|1498 Pacific Avenue|Suite 400|Tacoma
75|Critical Care Physicians of New York, P.C.|1498 Pacific Avenue|Suite 400|Tacoma
75|Sound Physicians of Hawaii Inc|1498 Pacific Avenue|Suite 400|Tacoma
75|Inpatient Specialists of California, P.C.|1498 Pacific Avenue|Suite 400|Tacoma
75|Sound Inpatient Physicians - Michigan, PLLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Hospitalist Medicine Physicians of California Inc|1498 Pacific Avenue|Suite 400|Tacoma
75|RABessler, M.D., P.C.|1498 Pacific Avenue|Suite 400|Tacoma
75|Hospitalist Medicine Physicians of Connecticut LLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Hospitalist Medicine Physicians of Virginia LLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Hospitalist Medicine Physicians of Fredericksburg LLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Sound Inpatient Physicians – Michigan, PLLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Hospitalist Medicine Physicians of Indiana LLC|1498 Pacific Avenue|Suite 400|TACOMA
75|Hospitalist Medicine Physicians of Texas, PLLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Bessler, M.D., PLLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Hospitalist Medicine Physicians of Ohio, P.C.|1498 Pacific Avenue|Suite 400|Tacoma
75|Hospitalist Medicine Physicians of Pennsylvania, P.C.|1498 Pacific Avenue|Suite 400|Tacoma
75|Hospitalist Medicine Physicians of West Virginia, PLLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Sound Physicians of Illinois LLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Sound Physicians of New York, PLLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Sound Physicians of Wyoming LLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Sound Physicians of Georgia III, P.C.|1498 Pacific Avenue|Suite 400|Tacoma
75|Sound Physicians Intensivists of Washington, PLLC|1498 Pacific Avenue|Suite 400|Tacoma
75|Cogent Healthcare of Arizona, P.C.|1498 Pacific Avenue|Suite 400|Tacoma
75|Cogent Healthcare of Georgia, P.C.|1498 Pacific Avenue|Suite 400|Tacoma
75|Cogent Healthcare of Iowa, P.C.|1498 Pacific Avenue|Suite 400|Tacoma
75|Hospitalist Medicine Physicians of West Virginia, PLLC|1498 Pacific Avenue|Suite 500|Tacoma
75|Hospitalist Medicine Physicians of Ohio - Columbus II, P.C.|1498 Pacific Avenue|Suite 500|Tacoma
