count|employer_name|employer_address1|employer_address2|employer_city
6|University Physicians & Surgeons Inc|1600 Medical Center Drive|N/A|Huntington
6|Marshall University|1600 Medical Center Drive|N/A|Huntington
6|Marshall University|1600 Medical Center Drive|Suite 3400|Huntington
6|University Physicians & Surgeons Inc|1600 Medical Center Drive|Suite 3400|Huntington
6|Marshall University|1600 Medical Center Drive||Huntington
6|University Physicians & Surgeons Inc|1600 Medical Center Drive||Huntington
3|West Virginia University Hospitals Inc|1 Medical Center Drive||Morgantown
3|West Virginia University Medical Corporation|1 Medical Center Drive||Morgantown
3|Fayette Physician Network Inc|1 Medical Center Drive||Morgantown
3|WV DHHR BUREAU FOR PUBLIC HEALTH|619 VIRGINIA STREET WEST||CHARLESTON
3|WEST VIRGINIA STATE HEALTH DEPARTMENT, OFFICE OF THE CHIEF MEDICAL EXAMINER|619 VIRGINIA STREET WEST||CHARLESTON
3|STATE OF WEST VIRGINIA DEPARTMENT OF HEALTH, OFFICE OF THE CHIEF MEDICAL EXAMINER|619 VIRGINIA STREET WEST||CHARLESTON
3|WMC Physician Practices LLC|651 Colliers Way|Box 300|Weirton
3|WMC Physician Practices LLC|651 Colliers Way|Suite 313|Weirton
3|WMC Physician Practices LLC|651 Colliers Way||Weirton
3|Parkersburg Radiology Services Inc|800 Garfield Ave||Parkersburg
3|Camden-Clark Physician Corporation Inc|800 Garfield Ave||Parkersburg
3|Camden-Clark Physician Corporation|800 Garfield Ave||Parkersburg
2|WHEELING HOSPITAL INC|1 MEDICAL PARK||WHEELING
2|WHEELING HOSPITAL|1 MEDICAL PARK||WHEELING
2|UNIVERSITY PHYSICIANS & SURGEONS INC|1600 MEDICAL CENTER DRIVE||HUNTINGTON
2|UNIVERSITY PHYSICIANS AND SURGEONS INC|1600 MEDICAL CENTER DRIVE||HUNTINGTON
2|Monongalia County Board of Education|1751 Earl L. Core Road||Morgantown
2|Board of Education of the County of Monongalia|1751 Earl L. Core Road||Morgantown
2|GLENVILLE STATE COLLEGE|200 HIGH STREET||GLENVILLE
2|GLENVILLE STATE UNIVERSITY|200 HIGH STREET||GLENVILLE
2|SINFOTECH LLC|2872 UNIVERSITY AVE|APT A|MORGANTOWN
2|SINFOTECH LLC|2872 UNIVERSITY AVE|APT F|MORGANTOWN
2|St. Marys Medical Center Inc|2900 First Avenue||Huntington
2|St Marys Medical Center|2900 First Avenue||Huntington
2|Nucor Steel West Virginia LLC|29618 Huntington Road|Apple Grove|West Virginia
2|Nucor Steel West Virginia LLC|29618 Huntington Road||Apple Grove
2|Ohio Valley Physicians Inc|300B 8th Street|Suite 201|Huntington
2|Ohio Valley Physicians Inc|300B 8th Street||Huntington
2|KeyLogic Systems|3168 Collins Ferry Road||Morgantown
2|KeyLogic LLC|3168 Collins Ferry Road||Morgantown
2|Heritage Farm Foundation|3300 Harvey Road||Huntington
2|JobHub 180 LLC|3300 Harvey Road||Huntington
2|CarteWarwick, PLLC|3437 Teays Valley Road||Hurricane
2|Carte & Associates, PLLC|3437 Teays Valley Road||Hurricane
2|WEST VIRGINIA STATE UNIVERSITY RESEARCH AND DEVELOPMENT CORPORATION|4015 FAIRLAWN AVENUE|201 ACEOP ADMINISTRATIVE BUILDING|INSTITUTE
2|WEST VIRGINIA STATE UNIVERSITY RESEARCH AND DEVELOPMENT CORPORATION|4015 FAIRLAWN AVENUE|201 BYERS ADMIN BLDG|INSTITUTE
2|Charleston Nephrology, Hypertension and Transplant, PLLC|4825 MacCorkle Avenue SW|Suite A|South Charleston
2|Charleston Nephrology, Hypertension & Transplant, PLLC|4825 MacCorkle Avenue SW|Suite A|South Charleston
2|West Virginia University Dental Corporation|64 Medical Center Drive||Morgantown
2|West Virginia University|64 Medical Center Drive||Morgantown
2|Davis Memorial Hospital|812 Gorman Avenue||Elkins
2|Davis Memorial Hospital d/b/a Davis Medical Center|812 Gorman Avenue||Elkins
2|Roane County Board of Education|813 Capitol Street||Spencer
2|Roane County Schools|813 Capitol Street||Spencer
2|Constellium Rolled Products Ravenswood LLC|859 Century Road||Ravenswood
2|Constellium Rolled Products LLC|859 Century Road||Ravenswood
2|West Virginia University Research Corporation|886 Chestnut Ridge Road|PO Box 6845|Morgantown
2|West Virginia University Research Corporation|886 Chestnut Ridge Road||Morgantown
2|West Virginia University|International Students and Scholars Services|103 Purinton House, PO BOX 6313|Morgantown
2|West Virginia University|International Students and Scholars Services|103 Purinton House, PO Box 6313|Morgantown
1|Louis A. Johnson VAMC, Department of Veterans Affairs|1 Med Center Dr||Clarksburg
1|Wheeling Hospital Inc|1 Medical Park||Wheeling
1|Wheeling Hospital|1 Medical Park Road||Wheeling
1|M&S Consulting LLC|1 Riddle Court||Morgantown
1|M&S CONCSULTING LLC|1 SUBURBAN CT.||MORGANTOWN
1|M&S Consulting LLC|1 Suburban Court||Morgantown
1|Vandalia Produce LLC|1 Vandalia Way||Buffalo
1|Greenbrier Minerals LLC|100 Bill Baker Way||Beckley
1|Davis & Elkins College|100 Campus Drive||Elkins
1|WINSOFT GLOBAL SYSTEMS INC|1000 Gattis School Road|Unit 250|Round Rock
1|Steptoe & Johnson PLLC|1000 SWISS PINE WAY|STE 200|MORGANTOWN
1|Steptoe & Johnson PLLC|1000 Swiss Pine Way|Suite 200|Morgantown
1|Concord University|1000 Vermillion St||Athens
1|Alderson Broaddus University|101 College Hill Drive||Philippi
1|The Greenbrier|101 Main Street West||White Sulphur Springs
1|The Greenbrier|101 Main Street, West||White Sulphur Springs
1|McMillion Research LLC|1012 Kanawha Blvd. East|Suite 301|Charleston
1|Parkersburg Cardiology Associates Inc|1013 Garfield Ave||Parkersburg
1|Ryan W. Johnson, Standing Chapter 13 Trustee for WV|1049 Market Street||Wheeling
1|ESC Brands LLC|1060 Blue Prince Road||Bluefield
1|Extreme Endeavors and Consulting LLC|1063 Hickory Corner Road||Philippi
1|West Virginia United Health System Inc|1085 Van Voorhis Road|Suite 500|Morgantown
1|American Public Education Inc|111 W. Congress Street||Charles Town
1|Planck Holdings LLC|119 Appalachian Drive||Beckley
1|Mountain State Software Solutions|119 E Washington St||Charles Town
1|Mountain State Software Solutions LLC (MS3)|119 E. Washington Street||Charles Town
1|Monongalia County General Hospital Company|1200 J D Anderson Drive||Morgantown
1|Monongalia County General Hospital Company|1200 J.D. Anderson Drive||Morgantown
1|Monongalia County General Hospital Company|1200 JD Anderson Drive||Morgantown
1|Mountain State Justice Inc|1217 Quarrier Street||Charleston
1|Princeton Community Hospital Association Inc|122 Twelfth Street||Princeton
1|West Virginia Radio Corporation|1251 Earl L Core Road||Morgantown
1|Diocese of Wheeling-Charleston|1311 Byron Street||Wheeling
1|ZDS LLC Dba ZDS Design/Consulting Services|135 Corporate Center Drive||Scott Depot
1|SoGeFi USA Inc|1389 Round Bottom Road||Prichard
1|Mountain View Conference of Seventh-day Adventists|1400 Liberty Street||Pakersburg
