count|employer_name|employer_address1|employer_address2|employer_city
34|Digicomm Semiconductor USA LLC|1309 Coffeen Avenue|STE 1200|SHeridan
34|VNEED TECH SOLUTIONS LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|Ambit Semiconductors USA LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|OCNX LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|Valsoc Semiconductor USA LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|Vibhuaya Technologies USA LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|N3RVE Entertainment LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|Adame Services LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|IQZ Designs USA LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|Leadsoc Technologies USA LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|Aptamitra USA Consulting LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|Juntran Technologies TSMI Consortium LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|Excel VLSI Technologies USA LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|Gapbridge Software Services USA LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|Truechip Solutions USA LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|Chipontime Technologies USA LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|Texas Land Ventures LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|Digicomm Semiconductor USA LLC|1309 Coffeen Avenue|STE 1200|Sheridan
34|ERPM SOLUTIONS LLC|1309 Coffeen Avenue|STE 13213|Sheridan
34|OmneVision LLC|1309 Coffeen Avenue|STE 13378|Sheridan
34|Vneed Tech LLC|1309 Coffeen Avenue|STE 6039|Sheridan
34|Ivanteq LLC|1309 Coffeen Avenue|STE 933|Sheridan
34|Gigabyte Inc|1309 Coffeen Avenue|Ste 1200|Sheridan
34|API Nation|1309 Coffeen Avenue|Ste 4247|Sheridan
34|Blockchain Game Partners Inc|1309 Coffeen Avenue|Suite 11110|Sheridan
34|Tevaera Labs LLC|1309 Coffeen Avenue|Suite 1200|Sheridan
34|TexAu LLC|1309 Coffeen Avenue|Suite 1200|Sheridan
34|Harrd Consulting LLC|1309 Coffeen Avenue|Suite 1200|Sheridan
34|Cloud Beez Strategic Solutions LLC|1309 Coffeen Avenue|Suite 1200|Sheridan
34|VMG Labs LLC|1309 Coffeen Avenue|Suite 1200|Sheridan
34|Axiom Technologies LLC|1309 Coffeen Avenue|Suite 1255|Sheridan
34|Accelerated Focus USA Inc|1309 Coffeen Avenue|Suite 2826|Sheridan
34|Irreverent Labs Inc|1309 Coffeen Avenue|Suite 3901|Sheridan
34|VNEED TECH SOLUTIONS LLC|1309 Coffeen Avenue||Sheridan
30|Cutting Edge Tech Talent LLC|30 N Gould St|10798|Sheridan
30|AVJ Solutions Inc|30 N Gould St|STE 11649|Sheridan
30|Symprio Inc|30 N Gould St|STE 7312|Sheridan
30|BFP Investment LLC|30 N Gould St|STE N|Sheridan
30|RUDHRA INFO SOLUTIONS INC|30 N Gould St|Ste 24722|Sheridan
30|EAO INTERNATIONAL TRADE LLC|30 N Gould St|Ste 25536|SHERIDAN
30|Ansa Research Inc|30 N Gould St|Ste 30281|Sheridan
30|Symprio Inc|30 N Gould St|Ste 7312|Sheridan
30|Lewis & Phillip merchandising LLC|30 N Gould St|Ste N|Sheridan
30|Gladius Advisory LLC|30 N Gould St|Ste N|Sheridan
30|VELO Design LLC|30 N Gould St|Ste N|Sheridan
30|Dharwin Business Solutions LLC|30 N Gould St|Ste R|Sheridan
30|Shyra Tech LLC|30 N Gould St|Ste R|Sheridan
30|Balance Blueprint|30 N Gould St|Ste R|Sheridan
30|Mowpod Enterprises LLC|30 N Gould St|Ste R|Sheridan
30|Cast Management LLC|30 N Gould St|Ste R|Sheridan
30|Mastery Coaching LLC|30 N Gould St|Ste R|Sheridan
30|Krystal Clear Media LLC|30 N Gould St|Ste R|Sheridan
30|Cutting Edge Tech Talent LLC|30 N Gould St|Suite 10798|Sheridan
30|Eladder4U Inc|30 N Gould St|Suite 25721|Sheridan
30|Rapid Technologies LLC|30 N Gould St|Suite 4726|Sheridan
30|Anyone Media Network Inc|30 N Gould St|Suite 498|Sheridan
30|CREAON DIGITAL LLC|30 N Gould St|Suite N|Sheridan
30|Ethos consulting group LLC|30 N Gould St|Suite N|Sheridan
30|Mantri Inc|30 N Gould St|Suite R|Sheridan
30|Beni Riqueza Super Fund Inc|30 N Gould St|Suite R|Sheridan
30|Set the Standard LLC|30 N Gould St|Suite R|Sheridan
30|menschForce LLC|30 N Gould St|ste 27858|Sheridan
30|tailf LLC|30 N Gould St||Sheridan
30|Freya Meds LLC|30 N Gould St||Sheridan
19|TIRIPS IT SOLUTIONS LLC|1309 COFFEEN AVE|STE 1200|SHERIDAN
19|Webkorps LLC|1309 COFFEEN AVE|STE B1|SHERIDAN
19|MURTHY LAW FIRM|1309 COFFEEN AVE|SUITE 1200|SHERIDAN
19|TNEXT SYSTEMS LLC|1309 COFFEEN AVE|SUITE 1200|SHERIDAN
19|TECHNOLOGY HOLDINGS INTERNATIONAL INCORPORATED|1309 COFFEEN AVE|SUITE 7174|SHERIDAN
19|PRIME TECH LLC|1309 COFFEEN AVE||SHERIDAN
19|GRADESTAFFING LLC|1309 COFFEEN AVE||SHERIDAN
19|TETRIXSOFT LLC|1309 COFFEEN AVE||SHRIDAN
19|TETRIXSOFT LLC|1309 COFFEEN AVE||SHERIDAN
19|HECTOLOGIC LLC|1309 COFFEEN AVE||SHERIDAN
19|KEYWEB TECHNOLOGIES LLC|1309 COFFEEN AVE||SHERIDAN
19|HECTOLOGIC CORP|1309 COFFEEN AVE||SHERIDAN
19|MURTHY LAW FIRM|1309 COFFEEN AVE||SHERIDAN
19|APPICONLOGICS LLC|1309 COFFEEN AVE||SHERIDAN
19|BETACODE CONSULTING LLC|1309 COFFEEN AVE||SHERIDAN
19|BOLTBENCH TECHNOLOGIES LLC|1309 COFFEEN AVE||SHERIDAN
19|PRIME TECH|1309 COFFEEN AVE||SHERIDAN
19|CODEMINDS USA LLC|1309 COFFEEN AVE||SHERIDAN
19|UNIBYTE SYSTEMS LLC|1309 COFFEEN AVE||SHERIDAN
12|TETRIXSOFT LLC|1309 COFFEEN AVE STE 13330||SHERIDAN
12|ORPHOSYS CORP|1309 COFFEEN AVE STE 13330||SHERIDAN
12|BETACODE COUNSULTING LLC|1309 COFFEEN AVE STE 13330||SHERIDAN
12|GRADESTAFFING LLC|1309 COFFEEN AVE STE 13330||SHERIDAN
12|BOLTBENCH TECHNOLOGIES LLC|1309 COFFEEN AVE STE 13330||SHERIDAN
12|KEYWEB TECHNOLOGIES LLC|1309 COFFEEN AVE STE 13330||SHERIDAN
12|APPICONLOGICS LLC|1309 COFFEEN AVE STE 13330||SHERIDAN
12|ATRIX NETWORX LLC|1309 COFFEEN AVE STE 13330||SHERIDAN
12|BETACODE CONSULTING LLC|1309 COFFEEN AVE STE 13330||SHERIDAN
12|CODEMINDS LLC|1309 COFFEEN AVE STE 13330||SHERIDAN
12|UNIBYTE SYSTEMS LLC|1309 COFFEEN AVE STE 13330||SHERIDAN
12|TNEXTSYSTEMS|1309 COFFEEN AVE STE 13330||SHERIDAN
11|University of Wyoming|1000 E University Ave|Dept 3434|Laramie
11|University of Wyoming|1000 E University Ave|Dept. 3021|Laramie
11|University of Wyoming|1000 E University Ave|Dept. 3036|Laramie
11|University of Wyoming|1000 E University Ave|Dept. 3275|Laramie
11|University of Wyoming|1000 E University Ave|Dept. 3295|Laramie
11|University of Wyoming|1000 E University Ave|Dept. 3354|Laramie
11|University of Wyoming|1000 E University Ave|Dept. 3381|Laramie
11|University of Wyoming|1000 E University Ave|Dept. 3838|Laramie
11|University of Wyoming|1000 E University Ave|Dept. 4311|Laramie
11|University of Wyoming|1000 E University Ave|Dept. 4330|Laramie
11|University of Wyoming|1000 E University Ave||Laramie
10|METATEK SOLUTIONS LLC|30 N GOULD ST|35470|SHERIDAN
10|UP2DATE TECHNOLOGY SOLUTIONS LLC|30 N GOULD ST|STE 25461|SHERIDAN
10|AARNA SOFTWARE AND SOLUTIONS LLC|30 N GOULD ST|STE 4000|SHERIDAN
10|SYMPRIO INC|30 N GOULD ST|STE 7312|SHERIDAN
10|Mahoraga Vantara LLC|30 N GOULD ST|STE N|SHERIDAN
10|ANIKYAA SOLUTIONS AND SERVICES LLC|30 N GOULD ST|STE R|SHERIDAN
10|MILLIONITSQUARE LLC|30 N GOULD ST|STE R|SHERIDAN
10|OpsTree LLC|30 N GOULD ST|STE R|SHERIDAN
10|GREEN PARK CONSULTING INC|30 N GOULD ST|SUITE 5301|SHERIDAN
10|INFIUM IT SOLUTIONS LLC|30 N GOULD ST|SUITE R|SHERIDAN
8|University of Wyoming|1000 E. University Avenue|Dept. 3166|Laramie
8|University of Wyoming|1000 E. University Avenue|Dept. 3295|Laramie
8|University of Wyoming|1000 E. University Avenue|Dept. 3354|Laramie
8|University of Wyoming|1000 E. University Avenue|Dept. 3395|Laramie
8|University of Wyoming|1000 E. University Avenue|Dept. 3422|Laramie
8|University of Wyoming|1000 E. University Avenue|Dept. 3434|Laramie
8|Digital Pore Solutions LLC|1000 E. University Avenue|Dept. 4311|Laramie
8|Piri Technologies LLC|1000 E. University Avenue|Dept. 4311|Laramie
7|Modern Energy Group USA LLC|30 N Gould Street|STE N|Sheridan
7|Flowerpot Packaging LLC|30 N Gould Street|Ste N|Sheridan
7|Pillar Group LLC|30 N Gould Street|Suite N|Sheridan
7|MESOTECH INC|30 N Gould Street|Suite R|Sheridan
7|Venus Technologies LLC|30 N Gould Street|Suite R|Sheridan
7|Resolve Mining Consultants LLC|30 N Gould Street|Suite R|Sheridan
7|MWES LLC|30 N Gould Street||Sheridan
6|AASHRIT HOLDINGS LLC|5830 E 2ND ST|STE 1850|CASPER
6|SOFT PARCH LLC|5830 E 2ND ST|STE 7000 14375|CASPER
6|AWSM Solutions Inc|5830 E 2ND ST|STE 7000 22203|CASPER
6|FIXCODE TECH LLC|5830 E 2ND ST|STE 7000-3301|CASPER
6|SOFT PARCH LLC|5830 E 2ND ST|SUITE 7000|CASPER
6|SOFT PARCH LLC|5830 E 2ND ST||CASPER
5|QRESTIK TECHNOLOGIES LLC|1309 Coffeen Ave|Ste 1200|Sheridan
5|Pyxelchain Technology Corporation & Richard Silver|1309 Coffeen Ave|Ste 4827|Sheridan
5|Health Lynks LLC|1309 Coffeen Ave|Suite 1200|Sharidan
5|Rocheu LLC|1309 Coffeen Ave|Suite 1200|Sheridan
5|DnZies LLC|1309 Coffeen Ave||Sheridan
5|LuminOne LLC|30 N Gould St Ste R||Sheridan
5|Nifty Solutions LLC|30 N Gould St Ste R||Sheridan
5|Edge Global LLC|30 N Gould St Ste R||Sheridan
5|Azutrics|30 N Gould St Ste R||Sheridan
5|STEEL ROLLING PICTURES LLC|30 N Gould St Ste R||Sheridan
5|Atlantic Energy Solutions Inc|30 N. Gould Street|Suite 5835|Sheridan
5|Odulair LLC|30 N. Gould Street|Suite 6605|Sheridan
5|Grandhi Consultants LLC|30 N. Gould Street|Suite N|Sheridan
5|STELLANS LLC|30 N. Gould Street|Suite R|SHERIDAN
5|CENSON LLC|30 N. Gould Street||Sheridan
5|Symple Lending LLC|30 North Gould Street|Suite 11965|Sheridan
5|First Contact (North America)|30 North Gould Street|Suite 3966|Sheridan
5|Rapid Technologies LLC|30 North Gould Street|Suite 4726|Sheridan
5|Falcon Services LLC|30 North Gould Street|Suite N|Sheridan
