-[ RECORD 1 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-23221-251342
job_title                      | Software Engineer
employer_name                  | Thought Circuits Services LLC
secondary_entity_business_name | CJIS - State of Connecticut
employer_poc_email             | Revathym@thoughtcircuits.com
employer_poc_phone             | 14698709418
employer_poc_first_name        | Revathy
employer_poc_last_name         | Mumaneni
worksite_address1              | 55 Farmington Ave
worksite_address2              | 11th Floor
worksite_city                  | Hartford
worksite_county                | WEST HARTFORD
lawfirm_name_business_name     | 
employer_address1              | 1300 W Walnut Hill LN
employer_address2              | STE 148
employer_city                  | Irving
employer_state                 | TX
employer_postal_code           | 75038
begin_date                     | 8/14/2023
end_date                       | 9/30/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-23220-247079
job_title                      | Software Engineer
employer_name                  | Thought Circuits Services LLC
secondary_entity_business_name | CJIS - State of Connecticut
employer_poc_email             | Revathym@thoughtcircuits.com
employer_poc_phone             | 14698709418
employer_poc_first_name        | Revathy
employer_poc_last_name         | Mumaneni
worksite_address1              | 55 Farmington Ave
worksite_address2              | 11th Floor
worksite_city                  | Hartford
worksite_county                | WEST HARTFORD
lawfirm_name_business_name     | 
employer_address1              | 1300 W Walnut Hill LN
employer_address2              | STE 148
employer_city                  | Irving
employer_state                 | TX
employer_postal_code           | 75038
begin_date                     | 8/14/2023
end_date                       | 9/30/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-25136-987122
job_title                      | SOFTWARE ENGINEER
employer_name                  | RELIANT VISION GROUP INC
secondary_entity_business_name | CONNECTICUT DEPARTMENT OF EMERGENCY SERVICES AND PUBLIC PROTECTION
employer_poc_email             | HR@RELIANTVISION.COM
employer_poc_phone             | 17327345016
employer_poc_first_name        | RITU
employer_poc_last_name         | KESWANI
worksite_address1              | 1111 COUNTRY CLUB ROAD
worksite_address2              | 
worksite_city                  | MIDDLETOWN
worksite_county                | MIDDLETOWN CITY
lawfirm_name_business_name     | LAW OFFICE OF THOMAS V. ALLEN PLLC.
employer_address1              | 32 BRIDGE STREET
employer_address2              | 
employer_city                  | METUCHEN
employer_state                 | NJ
employer_postal_code           | 08840
begin_date                     | 5/26/2025
end_date                       | 5/25/2028
total_worker_positions         | 1
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-22165-280062
job_title                      | DEVELOPER USER INTERFACE
employer_name                  | TATA CONSULTANCY SERVICES LIMITED
secondary_entity_business_name | CONNECTICUT DEPARTMENT OF LABOR
employer_poc_email             | AMIT1.JINDAL@TCS.COM
employer_poc_phone             | 13012319083
employer_poc_first_name        | AMIT
employer_poc_last_name         | JINDAL
worksite_address1              | 200 FOLLY BROOK BOULEVARD
worksite_address2              | 
worksite_city                  | WETHERSFIELD
worksite_county                | WETHERSFIELD
lawfirm_name_business_name     | FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP
employer_address1              | 9201 CORPORATE BOULEVAROAD
employer_address2              | SUITE 320
employer_city                  | ROCKVILLE
employer_state                 | MD
employer_postal_code           | 20850
begin_date                     | 10/1/2022
end_date                       | 9/30/2025
total_worker_positions         | 1
soc_code                       | 15-1134.00
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-23341-551411
job_title                      | DEVELOPER
employer_name                  | INNOVA SOLUTIONS INC
secondary_entity_business_name | CONNECTICUT DEPARTMENT OF MOTOR VEHICLES
employer_poc_email             | IMMIGRATION@INNOVASOLUTIONS.COM
employer_poc_phone             | 16148159095
employer_poc_first_name        | ANA CRISTINA
employer_poc_last_name         | SANTIESTEBAN GUTIERREZ
worksite_address1              | 60 STATE ST
worksite_address2              | 
worksite_city                  | WETHERSFIELD
worksite_county                | WETHERSFIELD
lawfirm_name_business_name     | 
employer_address1              | 2400 MEADOWBROOK PARKWAY
employer_address2              | 
employer_city                  | DULUTH
employer_state                 | GA
employer_postal_code           | 30096
begin_date                     | 12/14/2023
end_date                       | 12/13/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 6 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-22129-152264
job_title                      | SYSTEMS ENGINEER
employer_name                  | SAVEN TECHNOLOGIES INC
secondary_entity_business_name | CONNECTICUT DEPARTMENT OF PUBLIC HEALTH
employer_poc_email             | IMMIGRATION@SAVENTECH.COM
employer_poc_phone             | 18479932001
employer_poc_first_name        | SANJEEV
employer_poc_last_name         | ARJULA
worksite_address1              | 410 CAPITOL AVE.
worksite_address2              | 
worksite_city                  | HARTFORD
worksite_county                | HARTFORD CITY
lawfirm_name_business_name     | LAW OFFICE OF THOMAS V. ALLEN PLLC
employer_address1              | 50 CRAGWOOD ROAD
employer_address2              | SUITE 132
employer_city                  | SOUTH PLAINFIELD
employer_state                 | NJ
employer_postal_code           | 07080
begin_date                     | 10/1/2022
end_date                       | 9/30/2025
total_worker_positions         | 1
soc_code                       | 15-1199.01
h_1b_dependent                 | Yes
-[ RECORD 7 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-22318-584810
job_title                      | Automation TestScript Developer
employer_name                  | IPIVOT LLC
secondary_entity_business_name | CT Department of Social Services
employer_poc_email             | HR@IPIVOT.IO
employer_poc_phone             | 17322742802
employer_poc_first_name        | SATHYANARAYANA
employer_poc_last_name         | KATAKAM
worksite_address1              | 55 Farmington Ave
worksite_address2              | 
worksite_city                  | Hartford
worksite_county                | EAST HARTFORD
lawfirm_name_business_name     | 
employer_address1              | 405 RIDGE ROAD
employer_address2              | 
employer_city                  | DAYTON
employer_state                 | NJ
employer_postal_code           | 08810
begin_date                     | 3/31/2023
end_date                       | 3/30/2026
total_worker_positions         | 1
soc_code                       | 15-1253.00
h_1b_dependent                 | Yes
-[ RECORD 8 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-22318-584544
job_title                      | Automation TestScript Developer
employer_name                  | IPIVOT LLC
secondary_entity_business_name | CT Department of Social Services
employer_poc_email             | HR@IPIVOT.IO
employer_poc_phone             | 17322742802
employer_poc_first_name        | SATHYANARAYANA
employer_poc_last_name         | KATAKAM
worksite_address1              | 55 Farmington Ave
worksite_address2              | 
worksite_city                  | Hartford
worksite_county                | EAST HARTFORD
lawfirm_name_business_name     | 
employer_address1              | 405 RIDGE ROAD
employer_address2              | 
employer_city                  | DAYTON
employer_state                 | NJ
employer_postal_code           | 08810
begin_date                     | 3/31/2023
end_date                       | 3/30/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 9 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-22299-552622
job_title                      | Automation TestScript Developer
employer_name                  | IPIVOT LLC
secondary_entity_business_name | CT Department of Social Services
employer_poc_email             | HR@IPIVOT.IO
employer_poc_phone             | 17322742802
employer_poc_first_name        | SATHYANARAYANA
employer_poc_last_name         | KATAKAM
worksite_address1              | 55 Farmington Ave
worksite_address2              | 
worksite_city                  | Hartford
worksite_county                | EAST HARTFORD
lawfirm_name_business_name     | 
employer_address1              | 405 RIDGE ROAD
employer_address2              | 
employer_city                  | DAYTON
employer_state                 | NJ
employer_postal_code           | 08810
begin_date                     | 3/31/2023
end_date                       | 3/30/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
