-[ RECORD 1 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-22138-185077
job_title                      | SALESFORCE DEVELOPER
employer_name                  | ENIAC SYSTEMS INC
secondary_entity_business_name | DC DEPARTMENT  OF  HEALTH CITO OFFICE (WORK FROM  HOME HYBRID)
employer_poc_email             | HR@ENIACSYS.COM
employer_poc_phone             | 18482051358
employer_poc_first_name        | SAKUNTALA DEVI
employer_poc_last_name         | SONTI
worksite_address1              | 905 Pennsylvania Ave
worksite_address2              | 
worksite_city                  | New Castle
worksite_county                | NEW CASTLE
lawfirm_name_business_name     | 
employer_address1              | 1 ETHEL ROAD
employer_address2              | SUITE 102 D-2
employer_city                  | EDISON
employer_state                 | NJ
employer_postal_code           | 08817
begin_date                     | 5/31/2022
end_date                       | 5/30/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-22143-200007
job_title                      | SALESFORCE DEVELOPER
employer_name                  | ENIAC SYSTEMS INC
secondary_entity_business_name | DC DEPARTMENT OF HEALTH (CITO)  (HYBRID)
employer_poc_email             | HR@ENIACSYS.COM
employer_poc_phone             | 18482051358
employer_poc_first_name        | SAKUNTALA DEVI
employer_poc_last_name         | SONTI
worksite_address1              | 905 Pennsylvania Ave
worksite_address2              | 
worksite_city                  | New Castle
worksite_county                | NEW CASTLE
lawfirm_name_business_name     | 
employer_address1              | 1 ETHEL ROAD
employer_address2              | SUITE 102 D-2
employer_city                  | EDISON
employer_state                 | NJ
employer_postal_code           | 08817
begin_date                     | 6/2/2022
end_date                       | 6/1/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-24022-656259
job_title                      | SALESFORCE DEVELOPER
employer_name                  | ENIAC SYSTEMS INC
secondary_entity_business_name | DC DEPARTMENT OF HEALTH (CITO) (WORK FROM HOME)
employer_poc_email             | HR@ENIACSYS.COM
employer_poc_phone             | 18482051358
employer_poc_first_name        | LALITHA
employer_poc_last_name         | SUBRAMANIAN
worksite_address1              | 23 GOLF VIEW DR
worksite_address2              | APT D4
worksite_city                  | NEWARK
worksite_county                | NEW CASTLE
lawfirm_name_business_name     | 
employer_address1              | 1 ETHEL ROAD
employer_address2              | SUITE 102 D-2
employer_city                  | EDISON
employer_state                 | NJ
employer_postal_code           | 08817
begin_date                     | 1/30/2024
end_date                       | 6/1/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-24211-228862
job_title                      | IT ANALYST
employer_name                  | TEKSTROM INC
secondary_entity_business_name | DELAWARE DEPARTMENT OF EDUCATION
employer_poc_email             | CHARAN@TEKSTROM.COM
employer_poc_phone             | 13027095900
employer_poc_first_name        | CHARANJEET
employer_poc_last_name         | MINHAS
worksite_address1              | 401 FEDERAL STREET
worksite_address2              | SUITE 2
worksite_city                  | DOVER
worksite_county                | KENT
lawfirm_name_business_name     | LAW OFFICE OF THOMAS V. ALLEN PLLC.
employer_address1              | 1301 MILLTOWN ROAD
employer_address2              | 
employer_city                  | WILMINGTON
employer_state                 | DE
employer_postal_code           | 19808
begin_date                     | 8/6/2024
end_date                       | 8/5/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-21356-781842
job_title                      | COMPUTER SYSTEMS ANALYTS
employer_name                  | COMPUNNEL SOFTWARE GROUP INC
secondary_entity_business_name | DELAWARE DEPARTMENT OF TRANSPORTATION
employer_poc_email             | IMMIGRATION@COMPUNNEL.COM
employer_poc_phone             | 16096069010
employer_poc_first_name        | RAKESH
employer_poc_last_name         | SHAH
worksite_address1              | 800 S BAY RD DOVER
worksite_address2              | 
worksite_city                  | Dover
worksite_county                | KENT
lawfirm_name_business_name     | 
employer_address1              | 103 MORGAN LANE
employer_address2              | SUITE 102
employer_city                  | PLAINSBORO
employer_state                 | NJ
employer_postal_code           | 08536
begin_date                     | 5/20/2022
end_date                       | 5/19/2025
total_worker_positions         | 1
soc_code                       | 15-1121.00
h_1b_dependent                 | Yes
-[ RECORD 6 ]------------------+---------------------------------------------------------------------------
case_number                    | I-200-25119-916305
job_title                      | Product Specialist
employer_name                  | DELASOFT INC
secondary_entity_business_name | DELDOT (State of Delaware)
employer_poc_email             | SWAYAM.PRABHA@DELASOFT.COM
employer_poc_phone             | 13023736723
employer_poc_first_name        | SWAYAM
employer_poc_last_name         | PRABHA
worksite_address1              | 800 S Bay Rd
worksite_address2              | 
worksite_city                  | Dover
worksite_county                | KENT
lawfirm_name_business_name     | LAW OFFICES OF KESHAB RAJ SEADIE, P.C.
employer_address1              | 92 READS WAY
employer_address2              | SUITE 204
employer_city                  | NEW CASTLE
employer_state                 | DE
employer_postal_code           | 19720
begin_date                     | 4/30/2025
end_date                       | 4/29/2028
total_worker_positions         | 1
soc_code                       | 15-1252
