-[ RECORD 1 ]------------------+----------------------------------------------------------------------
case_number                    | I-200-25122-929503
job_title                      | Speech Language Pathologist
employer_name                  | The Stepping Stones Group LLC
secondary_entity_business_name | Hawaii Department of Education - Related Services
employer_poc_email             | hr.immigrations@ssg-healthcare.com
employer_poc_phone             | 16179340935
employer_poc_first_name        | Paige
employer_poc_last_name         | Pardee
worksite_address1              | Leeward District Special Services, 94-521 Farrington Hwy
worksite_address2              | 
worksite_city                  | Waipahu
worksite_county                | HONOLULU
lawfirm_name_business_name     | 
employer_address1              | 184 High Street
employer_address2              | Suite 701
employer_city                  | Boston
employer_state                 | MA
employer_postal_code           | 02110
begin_date                     | 10/1/2025
end_date                       | 9/30/2028
total_worker_positions         | 1
soc_code                       | 29-1127
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+----------------------------------------------------------------------
case_number                    | I-200-23011-696408
job_title                      | SAP Consultant - IM/MM/PM
employer_name                  | NITEOSOFT INC
secondary_entity_business_name | Hawaii Department of Transportation
employer_poc_email             | SHANKER@COMPWORLDWIDE.COM
employer_poc_phone             | 16092970517
employer_poc_first_name        | SHANKER
employer_poc_last_name         | BABU
worksite_address1              | 869 Punchbowl St
worksite_address2              | Room 202
worksite_city                  | Honolulu
worksite_county                | HONOLULU
lawfirm_name_business_name     | LAW OFFICE OF KESHAB RAJ SEADIE, P.C.
employer_address1              | 103 CARNEGIE CENTER DR
employer_address2              | SUITE 300
employer_city                  | PRINCETON
employer_state                 | NJ
employer_postal_code           | 08540
begin_date                     | 7/13/2023
end_date                       | 7/12/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+----------------------------------------------------------------------
case_number                    | I-200-21312-692650
job_title                      | SOFTWARE DEVELOPER
employer_name                  | COMPUNNEL SOFTWARE GROUP INC
secondary_entity_business_name | STATE OF HAWAII
employer_poc_email             | IMMIGRATION@COMPUNNEL.COM
employer_poc_phone             | 16096069010
employer_poc_first_name        | RAKESH
employer_poc_last_name         | SHAH
worksite_address1              | 700 BISHOP STREET
worksite_address2              | SUITE 1800, BISHOP STREET TOWER
worksite_city                  | HONOLULU
worksite_county                | HONOLULU
lawfirm_name_business_name     | 
employer_address1              | 103 MORGAN LANE
employer_address2              | SUITE 102
employer_city                  | PLAINSBORO
employer_state                 | NJ
employer_postal_code           | 08536
begin_date                     | 11/9/2021
end_date                       | 11/8/2024
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+----------------------------------------------------------------------
case_number                    | I-200-22181-324473
job_title                      | System Analyst
employer_name                  | TEK GIGZ LLC
secondary_entity_business_name | State of Hawaii
employer_poc_email             | HR@TEKGIGZ.NET
employer_poc_phone             | 19722149880
employer_poc_first_name        | PRATHIMA
employer_poc_last_name         | NUKALA
worksite_address1              | 1151 Punchbowl St
worksite_address2              | 
worksite_city                  | Honolulu
worksite_county                | HONOLULU
lawfirm_name_business_name     | THE LAW FIRM OF SIM, PARVATHANENI AND BROWN PLLC
employer_address1              | 7150 Holland Dr
employer_address2              | Suite 102A
employer_city                  | Frisco
employer_state                 | TX
employer_postal_code           | 75035
begin_date                     | 7/4/2022
end_date                       | 7/3/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+----------------------------------------------------------------------
case_number                    | I-200-25070-765654
job_title                      | Systems Analyst
employer_name                  | TEK GIGZ LLC
secondary_entity_business_name | State of Hawaii
employer_poc_email             | immigrations@tekgigz.net
employer_poc_phone             | 19722149880
employer_poc_first_name        | PRATHIMA
employer_poc_last_name         | NUKALA
worksite_address1              | 1151 Punchbowl St.
worksite_address2              | 
worksite_city                  | Honolulu
worksite_county                | HONOLULU
lawfirm_name_business_name     | 
employer_address1              | 4461 Alma Road, Unit  600
employer_address2              | 
employer_city                  | McKinney
employer_state                 | TX
