-[ RECORD 1 ]------------------+-------------------------------------------------------------
case_number                    | I-200-25162-079407
job_title                      | INFORMATION TECHNOLOGY ANALYST ( IT ANALYST)
employer_name                  | SILVERXIS INC
secondary_entity_business_name | DEPARTMENT OF HEALTH & WELFARE, STATE OF IDAHO
employer_poc_email             | LEGAL@SILVERXIS.COM
employer_poc_phone             | 18179735000
employer_poc_first_name        | KRUNAL
employer_poc_last_name         | THAKKAR
worksite_address1              | 450 WEST STATE STREET
worksite_address2              | 
worksite_city                  | BOISE
worksite_county                | ADA
lawfirm_name_business_name     | 
employer_address1              | 100 EAST ROYAL LANE
employer_address2              | SUITE 224
employer_city                  | IRVING
employer_state                 | TX
employer_postal_code           | 75039
begin_date                     | 6/11/2025
end_date                       | 6/10/2028
total_worker_positions         | 1
soc_code                       | 15-1253
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+-------------------------------------------------------------
case_number                    | I-200-25161-075954
job_title                      | INFORMATION TECHNOLOGY ANALYST ( IT ANALYST)
employer_name                  | SILVERXIS INC
secondary_entity_business_name | DEPARTMENT OF HEALTH & WELFARE, STATE OF IDAHO
employer_poc_email             | LEGAL@SILVERXIS.COM
employer_poc_phone             | 18179735000
employer_poc_first_name        | KRUNAL
employer_poc_last_name         | THAKKAR
worksite_address1              | 450 WEST STATE STREET
worksite_address2              | 
worksite_city                  | BOISE
worksite_county                | ADA
lawfirm_name_business_name     | 
employer_address1              | 100 EAST ROYAL LANE
employer_address2              | SUITE 224
employer_city                  | IRVING
employer_state                 | TX
employer_postal_code           | 75039
begin_date                     | 6/10/2025
end_date                       | 6/9/2028
total_worker_positions         | 1
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+-------------------------------------------------------------
case_number                    | I-200-22034-876401
job_title                      | Senior Computer Systems Analyst
employer_name                  | Eforce Solutions Inc
secondary_entity_business_name | Department of Health & Welfare
employer_poc_email             | hr@eforcesol.com
employer_poc_phone             | 12489870090
employer_poc_first_name        | Madhav
employer_poc_last_name         | Ponugoti
worksite_address1              | 450 W State St.
worksite_address2              | 
worksite_city                  | Boise
worksite_county                | ADA
lawfirm_name_business_name     | LAW OFFICES OF SHEEBA KHAN PLC
employer_address1              | 18525 Steep Hollow Court
employer_address2              | 
employer_city                  | Northville
employer_state                 | MI
employer_postal_code           | 48168
begin_date                     | 6/29/2022
end_date                       | 6/25/2025
total_worker_positions         | 1
