-[ RECORD 1 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-24025-666401
job_title                      | Software Developer
employer_name                  | POSITIVE GROUP LLC
secondary_entity_business_name | Gainwell Technologies/ State of Kansas
employer_poc_email             | hr@positivegroupbiz.com
employer_poc_phone             | 14708197388
employer_poc_first_name        | Sreelalitha
employer_poc_last_name         | Vaikom Mahadeva Iyer
worksite_address1              | 6511 SE Forbes Ave
worksite_address2              | 
worksite_city                  | Topeka
worksite_county                | SHAWNEE
lawfirm_name_business_name     | 
employer_address1              | 4080 McGinnis Ferry Road
employer_address2              | Suite 1201
employer_city                  | Alpharetta
employer_state                 | GA
employer_postal_code           | 30005
begin_date                     | 2/1/2024
end_date                       | 1/31/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-24062-765620
job_title                      | ARCHITECT
employer_name                  | TATA CONSULTANCY SERVICES LIMITED
secondary_entity_business_name | KANSAS DEPARTMENT OF LABOR
employer_poc_email             | AMIT1.JINDAL@TCS.COM
employer_poc_phone             | 13012319083
employer_poc_first_name        | AMIT
employer_poc_last_name         | JINDAL
worksite_address1              | 1309 SOUTHWEST TOPEKA BOULEVARD
worksite_address2              | 
worksite_city                  | TOPEKA
worksite_county                | SHAWNEE
lawfirm_name_business_name     | FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP
employer_address1              | 9201 CORPORATE BOULEVAROAD
employer_address2              | SUITE 320
employer_city                  | ROCKVILLE
employer_state                 | MD
employer_postal_code           | 20850
begin_date                     | 8/30/2024
end_date                       | 8/29/2027
total_worker_positions         | 1
soc_code                       | 15-1299.08
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-24157-076206
job_title                      | DEVELOPER
employer_name                  | TATA CONSULTANCY SERVICES LIMITED
secondary_entity_business_name | KANSAS DEPARTMENT OF LABOR
employer_poc_email             | AMIT1.JINDAL@TCS.COM
employer_poc_phone             | 13012319083
employer_poc_first_name        | AMIT
employer_poc_last_name         | JINDAL
worksite_address1              | 1309 SOUTHWEST TOPEKA BOULEVARD
worksite_address2              | 
worksite_city                  | TOPEKA
worksite_county                | SHAWNEE
lawfirm_name_business_name     | FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP
employer_address1              | 9201 CORPORATE BOULEVAROAD
employer_address2              | SUITE 320
employer_city                  | ROCKVILLE
employer_state                 | MD
employer_postal_code           | 20850
begin_date                     | 10/1/2024
end_date                       | 9/30/2027
total_worker_positions         | 1
soc_code                       | 15-1251.00
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-24114-916854
job_title                      | Application Developer
employer_name                  | V-Soft Consulting Group INC
secondary_entity_business_name | Kansas Department for Children & Families (DCF)
employer_poc_email             | tanya@vsoftconsulting.com
employer_poc_phone             | 15024258425
employer_poc_first_name        | TANYA
employer_poc_last_name         | BLOCKER
worksite_address1              | 503 S Kansas Ave
worksite_address2              | 
worksite_city                  | Topeka
worksite_county                | SHAWNEE
lawfirm_name_business_name     | 
employer_address1              | 2550 EASTPOINT PARKWAY
employer_address2              | STE 300
employer_city                  | LOUISVILLE
employer_state                 | KY
employer_postal_code           | 40223
begin_date                     | 8/1/2024
end_date                       | 7/31/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-23129-004616
job_title                      | Software Consultant
employer_name                  | SAAS Technologies Inc
secondary_entity_business_name | Kansas Department of Health and Environment
employer_poc_email             | hr@saastechinc.com
employer_poc_phone             | 16094273779
employer_poc_first_name        | Venkatavara Prasad
employer_poc_last_name         | EKAMBRAM
worksite_address1              | 534 South Kansas Avenue
worksite_address2              | Suite 200
worksite_city                  | Topeka
worksite_county                | SHAWNEE
lawfirm_name_business_name     | SHARMA YASKHI & ASSOCIATES, LLP
employer_address1              | 1 Rossmoor Dr
employer_address2              | Suite 8
employer_city                  | Monroe TWP
employer_state                 | NJ
employer_postal_code           | 08831
begin_date                     | 10/1/2023
end_date                       | 9/30/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 6 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-23320-505437
job_title                      | Software Developer
employer_name                  | EGB Systems & Solutions Inc
secondary_entity_business_name | Kansas Department of Labor
employer_poc_email             | hr-manager@egbsystems.com
employer_poc_phone             | 12036532741
employer_poc_first_name        | Ganesh
employer_poc_last_name         | Ekambaram
worksite_address1              | 1309 SW Topeka Blvd
worksite_address2              | 
worksite_city                  | Topeka
worksite_county                | SHAWNEE
lawfirm_name_business_name     | Law Office of Kusuma Pandula
employer_address1              | 1010 Summer St
employer_address2              | 1st Floor STE 102
employer_city                  | Stamford
employer_state                 | CT
employer_postal_code           | 06905
begin_date                     | 3/1/2024
end_date                       | 2/28/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 7 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-22052-918595
job_title                      | Software Developer, Applications
employer_name                  | EGB Systems & Solutions Inc
secondary_entity_business_name | Kansas Department of Labor
employer_poc_email             | hr-manager@egbsystems.com
employer_poc_phone             | 12036532741
employer_poc_first_name        | Ganesh
employer_poc_last_name         | Ekambaram
worksite_address1              | 1309 SW Topeka Blvd
worksite_address2              | 
worksite_city                  | Topeka
worksite_county                | SHAWNEE
lawfirm_name_business_name     | 
employer_address1              | 1010 Summer Street
employer_address2              | Suite 102
employer_city                  | Stamford
employer_state                 | CT
employer_postal_code           | 06905
begin_date                     | 3/1/2022
end_date                       | 2/29/2024
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | No
-[ RECORD 8 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-23129-005989
job_title                      | Full Stack Java Developer
employer_name                  | Horizon Softech Inc
secondary_entity_business_name | Kansas Department of Labor
employer_poc_email             | mohan@horizonsoftech.net
employer_poc_phone             | 12485280227
employer_poc_first_name        | Mohan
employer_poc_last_name         | Edara
worksite_address1              | 1309 SW Topeka Blvd
worksite_address2              | 
worksite_city                  | Topeka
worksite_county                | SHAWNEE
lawfirm_name_business_name     | Velie Law Firm PLLC
employer_address1              | 637 E Big Beaver Road
employer_address2              | Suite 101
employer_city                  | Troy
employer_state                 | MI
employer_postal_code           | 48083
begin_date                     | 10/1/2023
end_date                       | 9/30/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 9 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-22293-542688
job_title                      | Developer
employer_name                  | TATA CONSULTANCY SERVICES LIMITED
secondary_entity_business_name | Kansas Department of Labor
employer_poc_email             | AMIT1.JINDAL@TCS.COM
employer_poc_phone             | 13012319083
employer_poc_first_name        | AMIT
employer_poc_last_name         | JINDAL
worksite_address1              | 1309 SW Topeka Blvd
worksite_address2              | 
worksite_city                  | Topeka
worksite_county                | SHAWNEE
lawfirm_name_business_name     | USILAW INC
employer_address1              | 9201 CORPORATE BOULEVAROAD
employer_address2              | SUITE 320
employer_city                  | ROCKVILLE
employer_state                 | MD
employer_postal_code           | 20850
begin_date                     | 10/20/2022
end_date                       | 10/19/2025
total_worker_positions         | 1
soc_code                       | 15-1251.00
h_1b_dependent                 | Yes
-[ RECORD 10 ]-----------------+---------------------------------------------------------------------
case_number                    | I-200-23121-980563
job_title                      | Developer
employer_name                  | Tata Consultancy Services Limited
secondary_entity_business_name | Kansas Department of Labor
employer_poc_email             | amit1.jindal@tcs.com
employer_poc_phone             | 13012319083
employer_poc_first_name        | Amit / Venkata Srinath
employer_poc_last_name         | Jindal / Yarasinghu
worksite_address1              | 1309 SW Topeka Blvd
worksite_address2              | 
worksite_city                  | Topeka
worksite_county                | SHAWNEE
lawfirm_name_business_name     | Goel & Anderson LLC
employer_address1              | 9201 Corporate Boulevard
employer_address2              | Suite 320
employer_city                  | Rockville
employer_state                 | MD
employer_postal_code           | 20850
begin_date                     | 5/12/2023
end_date                       | 5/11/2026
total_worker_positions         | 1
soc_code                       | 15-1251.00
h_1b_dependent                 | Yes
-[ RECORD 11 ]-----------------+---------------------------------------------------------------------
case_number                    | I-200-25148-023361
job_title                      | Developer
employer_name                  | Tata Consultancy Services Limited
secondary_entity_business_name | Kansas Department of Labor
employer_poc_email             | amit1.jindal@tcs.com
employer_poc_phone             | 13012319083
employer_poc_first_name        | Amit / Venkata Srinath
employer_poc_last_name         | Jindal / Yarasinghu
worksite_address1              | 1309 SW Topeka Blvd
worksite_address2              | 
worksite_city                  | Topeka
worksite_county                | SHAWNEE
lawfirm_name_business_name     | Goel & Anderson LLC
