-[ RECORD 1 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-19323-155635
job_title                      | Senior Postdoctoral Researcher
employer_name                  | Louisiana State University and A & M College
secondary_entity_business_name | Argonne National Laboratory
employer_poc_email             | lschaf2@lsu.edu
employer_poc_phone             | 12255783191
employer_poc_first_name        | Loveness
employer_poc_last_name         | Schafer
worksite_address1              | LSU, Department of Physics & Astronomy
worksite_address2              | 202 Nicholson Hall
worksite_city                  | Baton Rouge
worksite_county                | EAST BATON ROUGE
lawfirm_name_business_name     | 
employer_address1              | 112 THOMAS BOYD HALL
employer_address2              | 
employer_city                  | BATON ROUGE
employer_state                 | LA
employer_postal_code           | 70803
begin_date                     | 4/28/2020
end_date                       | 4/27/2023
total_worker_positions         | 1
soc_code                       | 19-2012.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-23225-260484
job_title                      | Software Developer/Implementation Consultant
employer_name                  | Quinn David & Associates LLC
secondary_entity_business_name | City of New Orleans Department of Revenue
employer_poc_email             | kthompson@quinndavid.com
employer_poc_phone             | 14146883583
employer_poc_first_name        | Ken
employer_poc_last_name         | Thompson
worksite_address1              | 1300 Perdidio Street
worksite_address2              | 
worksite_city                  | New Orleans
worksite_county                | ORLEANS
lawfirm_name_business_name     | Lucio Steven Siy Attorney at Law
employer_address1              | 436 North 49th Street
employer_address2              | 
employer_city                  | Milwaukee
employer_state                 | WI
employer_postal_code           | 53208
begin_date                     | 8/28/2023
end_date                       | 8/27/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 3 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-24339-517871
job_title                      | SQL DEVELOPER
employer_name                  | IT RESOURCES INC
secondary_entity_business_name | DCFS (LOUISIANA DEPARTMENT OF CHILDREN & FAMILY SERVICES)
employer_poc_email             | HR@IT-RESINC.COM
employer_poc_phone             | 13024440205
employer_poc_first_name        | CHRISTINA
employer_poc_last_name         | MITCHELL
worksite_address1              | 627 N 4TH ST.
worksite_address2              | 
worksite_city                  | BATON ROUGE
worksite_county                | EAST BATON ROUGE
lawfirm_name_business_name     | LAW OFFICE OF THOMAS V. ALLEN PLLC.
employer_address1              | 220 CONTINENTAL DRIVE
employer_address2              | SUITE 104
employer_city                  | NEWARK
employer_state                 | DE
employer_postal_code           | 19713
begin_date                     | 5/28/2025
end_date                       | 5/27/2028
total_worker_positions         | 1
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-22026-856232
job_title                      | SQL Developer
employer_name                  | IT Resources Inc
secondary_entity_business_name | DCFS (Louisiana Department of Children & Family Services)
employer_poc_email             | HR@IT-RESINC.COM
employer_poc_phone             | 13024440205
employer_poc_first_name        | Christina
employer_poc_last_name         | Mitchell
worksite_address1              | 672 North 4th Street
worksite_address2              | 
worksite_city                  | Baton Rouge
worksite_county                | EAST BATON ROUGE
lawfirm_name_business_name     | Law Office of Thomas V. Allen, PLLC
employer_address1              | 220 Continental Drive
employer_address2              | Suite 104
employer_city                  | Newark
employer_state                 | DE
employer_postal_code           | 19713
begin_date                     | 5/28/2022
end_date                       | 5/27/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-22033-873401
job_title                      | SQL Developer
employer_name                  | IT Resources Inc
secondary_entity_business_name | DCFS (Louisiana Department of Children & Family Services)
employer_poc_email             | HR@IT-RESINC.COM
employer_poc_phone             | 13024440205
employer_poc_first_name        | Christina
employer_poc_last_name         | Mitchell
worksite_address1              | 627 North 4th Street
worksite_address2              | 
worksite_city                  | Baton Rouge
worksite_county                | EAST BATON ROUGE
lawfirm_name_business_name     | Law Office of Thomas V. Allen, PLLC
employer_address1              | 220 Continental Drive
employer_address2              | Suite 104
employer_city                  | Newark
employer_state                 | DE
employer_postal_code           | 19713
begin_date                     | 5/28/2022
end_date                       | 5/27/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 6 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-24135-992125
job_title                      | Software Developer
employer_name                  | Kanap Systems LLC
secondary_entity_business_name | Deloitte/ State of Louisiana
employer_poc_email             | kanaph1s@kanapsystems.com
employer_poc_phone             | 15159745604
employer_poc_first_name        | Farman
employer_poc_last_name         | Ellahi
worksite_address1              | 100 North Street
worksite_address2              | Suite 803
worksite_city                  | Baton Rouge
worksite_county                | EAST BATON ROUGE
lawfirm_name_business_name     | 
employer_address1              | 4949 Pleasant Street
employer_address2              | Suite 200
employer_city                  | West Des Moines
employer_state                 | IA
employer_postal_code           | 50266
begin_date                     | 5/15/2024
end_date                       | 5/14/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 7 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-23304-469037
job_title                      | Senior Application Programmer
employer_name                  | Sepals Corporation
secondary_entity_business_name | Department of Corrections -  State of Louisiana
employer_poc_email             | sridhar@sepalscorp.com
employer_poc_phone             | 12037911684
employer_poc_first_name        | Sridhar
employer_poc_last_name         | Addepalli
worksite_address1              | 504 Mayflower Street
worksite_address2              | 
worksite_city                  | Baton Rouge
worksite_county                | EAST BATON ROUGE
lawfirm_name_business_name     | BBI Law Group P.C
employer_address1              | 100 Mill Plain Road
employer_address2              | 
employer_city                  | Danbury
employer_state                 | CT
employer_postal_code           | 06811
begin_date                     | 10/31/2023
end_date                       | 10/30/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 8 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-23311-484813
job_title                      | Senior Application Programmer
employer_name                  | Sepals Corporation
secondary_entity_business_name | Department of Corrections - State of Louisiana
employer_poc_email             | sridhar@sepalscorp.com
employer_poc_phone             | 12037911684
employer_poc_first_name        | Sridhar
employer_poc_last_name         | Addepalli
worksite_address1              | 504 Mayflower Street
worksite_address2              | 
worksite_city                  | Baton Rouge
worksite_county                | EAST BATON ROUGE
lawfirm_name_business_name     | BBI Law Group P.C
employer_address1              | 100 Mill Plain Road
employer_address2              | 
employer_city                  | Danbury
employer_state                 | CT
employer_postal_code           | 06811
begin_date                     | 3/4/2024
end_date                       | 3/3/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 9 ]------------------+---------------------------------------------------------------------
case_number                    | I-200-23335-537072
job_title                      | Senior Application Programmer
employer_name                  | Sepals Corporation
secondary_entity_business_name | Department of Corrections - State of Louisiana
employer_poc_email             | sridhar@sepalscorp.com
employer_poc_phone             | 12037911684
employer_poc_first_name        | Sridhar
employer_poc_last_name         | Addepalli
worksite_address1              | 504 Mayflower Street
worksite_address2              | 
worksite_city                  | Baton Rouge
worksite_county                | EAST BATON ROUGE
lawfirm_name_business_name     | BBI Law Group P.C
employer_address1              | 100 Mill Plain Road
employer_address2              | 
employer_city                  | Danbury
employer_state                 | CT
employer_postal_code           | 06811
begin_date                     | 12/1/2023
end_date                       | 11/30/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 10 ]-----------------+---------------------------------------------------------------------
case_number                    | I-200-24141-012735
job_title                      | Programmer Analyst
employer_name                  | HTC GLOBAL SERVICES INC
secondary_entity_business_name | Department of Public Safety, State of Louisiana
employer_poc_email             | IMMIGRATION@HTCINC.COM
employer_poc_phone             | 12487862500
employer_poc_first_name        | SURESH
employer_poc_last_name         | SUBRAMANIAN
worksite_address1              | 7919 Independence Blvd
worksite_address2              | 
worksite_city                  | Baton Rouge
worksite_county                | EAST BATON ROUGE
lawfirm_name_business_name     | 
employer_address1              | 3270 WEST BIG BEAVER ROAD
employer_address2              | 
employer_city                  | TROY
employer_state                 | MI
employer_postal_code           | 48084
begin_date                     | 10/1/2024
end_date                       | 9/30/2027
total_worker_positions         | 1
soc_code                       | 15-1251.00
h_1b_dependent                 | Yes
-[ RECORD 11 ]-----------------+---------------------------------------------------------------------
case_number                    | I-200-23098-915821
job_title                      | Senior Application Administrator
employer_name                  | InfoDrive Systems Inc
secondary_entity_business_name | Department of Transportation and Development, State of Louisiana
employer_poc_email             | sheetal@infodrivesystems.com
employer_poc_phone             | 12057376878
employer_poc_first_name        | Sheetal
employer_poc_last_name         | Nemmaniwar
