-[ RECORD 1 ]------------------+------------------------------------------------------------------------------
case_number                    | I-200-22272-500884
job_title                      | Azure Engineer
employer_name                  | SVK Systems Inc
secondary_entity_business_name | Department Of Education (State Of Nebraska)
employer_poc_email             | hanuman@svksystems.com
employer_poc_phone             | 16788247746
employer_poc_first_name        | Hanuman
employer_poc_last_name         | Nandanampati
worksite_address1              | 500 S. 84th St
worksite_address2              | 2nd Floor
worksite_city                  | Lincoln
worksite_county                | LANCASTER
lawfirm_name_business_name     | 
employer_address1              | 3057 Peachtree Industrial Boulevard
employer_address2              | Suite 100
employer_city                  | Duluth
employer_state                 | GA
employer_postal_code           | 30097
begin_date                     | 9/29/2022
end_date                       | 9/28/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+------------------------------------------------------------------------------
case_number                    | I-200-25122-932131
job_title                      | Business Analyst
employer_name                  | DIGIPULSE TECHNOLOGIES INC
secondary_entity_business_name | Department of Health and Human Services - State of Nebraska
employer_poc_email             | VIKRAM@DIGIPULSETECH.COM
employer_poc_phone             | 16092651666
employer_poc_first_name        | VIKRAM
employer_poc_last_name         | NADIG
worksite_address1              | 301 Centennial Mall S
worksite_address2              | 
worksite_city                  | Lincoln
worksite_county                | LANCASTER
lawfirm_name_business_name     | INDERJIT K. SIDHU, ESQ. LLC.
employer_address1              | 811 CHURCH ROAD, STE.169
employer_address2              | 
employer_city                  | CHERRY HILL
employer_state                 | NJ
employer_postal_code           | 08002
begin_date                     | 7/1/2025
end_date                       | 6/30/2028
total_worker_positions         | 1
soc_code                       | 15-1211
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+------------------------------------------------------------------------------
case_number                    | I-200-25122-933191
job_title                      | Business Analyst
employer_name                  | DIGIPULSE TECHNOLOGIES INC
secondary_entity_business_name | Department of Health and Human Services - State of Nebraska
employer_poc_email             | VIKRAM@DIGIPULSETECH.COM
employer_poc_phone             | 16092651666
employer_poc_first_name        | VIKRAM
employer_poc_last_name         | NADIG
worksite_address1              | 301 Centennial Mall S
worksite_address2              | 
worksite_city                  | Lincoln
worksite_county                | LANCASTER
lawfirm_name_business_name     | INDERJIT K. SIDHU, ESQ. LLC.
employer_address1              | 811 CHURCH ROAD, STE.169
employer_address2              | 
employer_city                  | CHERRY HILL
employer_state                 | NJ
employer_postal_code           | 08002
begin_date                     | 7/1/2025
end_date                       | 6/30/2028
total_worker_positions         | 1
soc_code                       | 15-1211
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+------------------------------------------------------------------------------
case_number                    | I-200-22095-037990
job_title                      | Senior Business Analyst
employer_name                  | DIGIPULSE TECHNOLOGIES INC
secondary_entity_business_name | Department of Health and Human Services – State of Nebraska
employer_poc_email             | VIKRAM@DIGIPULSETECH.COM
employer_poc_phone             | 16092651666
employer_poc_first_name        | VIKRAM
employer_poc_last_name         | NADIG
worksite_address1              | 301 Centennial Mall S
worksite_address2              | Nebraska State Office Building
worksite_city                  | Lincoln
