-[ RECORD 1 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24135-991266
job_title                      | Java Full Stack Developer
employer_name                  | KESH TEC INC
secondary_entity_business_name | (Remote) State of New York
employer_poc_email             | immigration@keshtec.com
employer_poc_phone             | 19723695464
employer_poc_first_name        | Sakshi
employer_poc_last_name         | Gupta
worksite_address1              | 6211 Johnston Rd, Wedgewood house
worksite_address2              | APT 7
worksite_city                  | Albany
worksite_county                | ALBANY
lawfirm_name_business_name     | Kodem Law Firm PLLC
employer_address1              | 1575 Redbud Blvd
employer_address2              | STE 100
employer_city                  | McKinney
employer_state                 | TX
employer_postal_code           | 75069
begin_date                     | 10/1/2024
end_date                       | 9/30/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-22294-544765
job_title                      | SOFTWARE (JAVA) DEVELOPER
employer_name                  | EFICENS SYSTEMS INC
secondary_entity_business_name | AGENCY DEPARTMENT OF ENVIRONMENTAL CONSERVATION.
employer_poc_email             | LEGAL@EFICENSIT.COM
employer_poc_phone             | 16788929800
employer_poc_first_name        | RAMU
employer_poc_last_name         | VENIGANDLA
worksite_address1              | 40 N PEARL STREET
worksite_address2              | 1ST FLOOR
worksite_city                  | ALBANY
worksite_county                | ALBANY
lawfirm_name_business_name     | MADAN & SAIGAL LLC
employer_address1              | 5400 LAUREL SPRINGS PARKWAY
employer_address2              | SUITE 603
employer_city                  | SUWANEE
employer_state                 | GA
employer_postal_code           | 30024
begin_date                     | 10/21/2022
end_date                       | 10/20/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-23216-238340
job_title                      | Software Developer
employer_name                  | TeckFortune Inc
secondary_entity_business_name | AIDS Institute New York State Department of Health
employer_poc_email             | info@teckfortune.com
employer_poc_phone             | 18484590955
employer_poc_first_name        | Ravindra Reddy
employer_poc_last_name         | Kolli
worksite_address1              | Corning Tower, ESP,
worksite_address2              | Room 270
worksite_city                  | Albany
worksite_county                | ALBANY
lawfirm_name_business_name     | 
employer_address1              | 8875 Hidden River Parkway
employer_address2              | Suite 300
employer_city                  | Tampa
employer_state                 | FL
employer_postal_code           | 33637
begin_date                     | 8/14/2023
end_date                       | 9/30/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 4 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24192-187732
job_title                      | IT ANALYST
employer_name                  | BABATEK INC
secondary_entity_business_name | CITY OF NEW YORK – DEPARTMENT OF SOCIAL SERVICES (DSS) – INFORMATION TECHNOLOGY SERVICES (ITS)
employer_poc_email             | HR@IMPETUSUSA.COM
employer_poc_phone             | 17322685823
employer_poc_first_name        | BINDU MADHAVI
employer_poc_last_name         | MADIRAJU
worksite_address1              | 15 METROTECH CENTER
worksite_address2              | CUBICLE 17-422
worksite_city                  | BROOKLYN
worksite_county                | KINGS
lawfirm_name_business_name     | LAW OFFICE OF THOMAS V. ALLEN PLLC.
employer_address1              | 850 CAROLIER LN.
employer_address2              | 1ST FLOOR, SUITE 103
employer_city                  | NORTH BRUNSWICK
employer_state                 | NJ
employer_postal_code           | 08902
begin_date                     | 10/1/2024
end_date                       | 9/30/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 5 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-23299-459524
job_title                      | IT ANALYST
employer_name                  | DICE IT SOLUTIONS LLC
secondary_entity_business_name | CITY OF NEW YORK – HUMAN RESOURCES ADMINISTRATION / DEPARTMENT OF SOCIAL SERVICES
employer_poc_email             | HR@TECHPROJECTS.COM
employer_poc_phone             | 17328289900
employer_poc_first_name        | RAMAKOTESWARA
employer_poc_last_name         | MADIRAJU
worksite_address1              | 15 METROTECH CENTER
worksite_address2              | 12TH FLOOR
worksite_city                  | BROOKLYN
worksite_county                | KINGS
lawfirm_name_business_name     | LAW OFFICE OF THOMAS V. ALLEN PLLC.
employer_address1              | 850 CAROLIER LANE
employer_address2              | SUITE 102, 1ST FLOOR
employer_city                  | NORTH BRUNSWICK
employer_state                 | NJ
employer_postal_code           | 08902
begin_date                     | 3/5/2024
end_date                       | 3/4/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 6 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-22257-473265
job_title                      | UI DEVELOPER
employer_name                  | DICE IT SOLUTIONS LLC
secondary_entity_business_name | CITY OF NEW YORK – HUMAN RESOURCES ADMINISTRATION / DEPARTMENT OF SOCIAL SERVICES (CITY OF NY – HRA/DSS)
employer_poc_email             | HR@TECHPROJECTS.COM
employer_poc_phone             | 17328289900
employer_poc_first_name        | RAMAKOTESWARA
employer_poc_last_name         | MADIRAJU
worksite_address1              | 15 METROTECH CENTER
worksite_address2              | 
worksite_city                  | BROOKLYN
worksite_county                | KINGS
lawfirm_name_business_name     | LAW OFFICE OF THOMAS V. ALLEN PLLC.
employer_address1              | 850 CAROLIER LANE
employer_address2              | 1ST FLOOR
employer_city                  | NORTH BRUNSWICK
employer_state                 | NJ
employer_postal_code           | 08902
begin_date                     | 10/3/2022
end_date                       | 10/2/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 7 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24095-857435
job_title                      | SOFTWARE DEVELOPER
employer_name                  | DICE IT SOLUTIONS LLC
secondary_entity_business_name | CITY OF NEW YORK – HUMAN RESOURCES ADMINISTRATION / DEPARTMENT OF SOCIAL SERVICES (CITY OF NY – HRA/DSS)
employer_poc_email             | HR@TECHPROJECTS.COM
employer_poc_phone             | 17328289900
employer_poc_first_name        | RAMAKOTESWARA
employer_poc_last_name         | MADIRAJU
worksite_address1              | 15 METROTECH CENTER
worksite_address2              | 
worksite_city                  | BROOKLYN
worksite_county                | KINGS
lawfirm_name_business_name     | LAW OFFICE OF THOMAS V. ALLEN PLLC.
employer_address1              | 850 CAROLIER LANE
employer_address2              | SUITE 102, 1ST FLOOR
employer_city                  | NORTH BRUNSWICK
employer_state                 | NJ
employer_postal_code           | 08902
begin_date                     | 10/4/2024
end_date                       | 10/3/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 8 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-23041-765690
job_title                      | VPN SUPPORT CONSULTANT (NETWORK ENGINEER)
employer_name                  | Cloud Soft Inc
secondary_entity_business_name | CITY OF NEW YORK, DEPARTMENT OF SOCIAL SERVICES/ HRA
employer_poc_email             | hr@cloudsoft-inc.com
employer_poc_phone             | 16785252560
employer_poc_first_name        | Sabitha
employer_poc_last_name         | Pamulapati
worksite_address1              | 15 METROTECH CENTER
worksite_address2              | 
worksite_city                  | BROOKLYN
worksite_county                | KINGS
lawfirm_name_business_name     | 
employer_address1              | 40 Technology Park S
employer_address2              | Suite 210
employer_city                  | Norcross
employer_state                 | GA
employer_postal_code           | 30092
begin_date                     | 2/17/2023
end_date                       | 2/16/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 9 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24232-278126
job_title                      | QUALITY ASSURANCE LEAD
employer_name                  | GLOBALTEK SYSTEMS LLC
secondary_entity_business_name | CITY OF NEWYORK - DEPARTMENT OF SOCIAL SERVICES (DSS/HRA)
employer_poc_email             | HRASSIST@GLOBALTEKSYSTEMS.COM
employer_poc_phone             | 17324041033
employer_poc_first_name        | SURESH
employer_poc_last_name         | CHATAKONDU
worksite_address1              | 15 METRO TECH CENTER
worksite_address2              | 
worksite_city                  | BROOKLYN
worksite_county                | KINGS
lawfirm_name_business_name     | LAW OFFICE OF THOMAS V. ALLEN PLLC.
employer_address1              | 200 MIDDLESEX ESSEX TURNPIKE
employer_address2              | SUITE 201A
employer_city                  | ISELIN
employer_state                 | NJ
employer_postal_code           | 08830
begin_date                     | 8/27/2024
end_date                       | 8/26/2027
total_worker_positions         | 1
soc_code                       | 15-1253.00
h_1b_dependent                 | Yes
-[ RECORD 10 ]-----------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24030-678739
job_title                      | Data Analyst
employer_name                  | COMPUNNEL SOFTWARE GROUP INC
secondary_entity_business_name | CMA at the New York State Department of Health
employer_poc_email             | IMMIGRATION@COMPUNNEL.COM
employer_poc_phone             | 16096069010
employer_poc_first_name        | STEVE
employer_poc_last_name         | MONTELEONE
worksite_address1              | Commissioner Corning Tower Empire State Plaza
worksite_address2              | 
worksite_city                  | Albany
worksite_county                | ALBANY
lawfirm_name_business_name     | 
employer_address1              | 103 MORGAN LANE
employer_address2              | SUITE 102
employer_city                  | PLAINSBORO
employer_state                 | NJ
employer_postal_code           | 08536
begin_date                     | 2/1/2024
end_date                       | 1/31/2027
total_worker_positions         | 1
soc_code                       | 15-2051.01
h_1b_dependent                 | Yes
-[ RECORD 11 ]-----------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24193-191287
job_title                      | Business Intelligence Analyst
employer_name                  | COMPUNNEL SOFTWARE GROUP INC
secondary_entity_business_name | CMA at the New York State Department of Health
employer_poc_email             | IMMIGRATION@COMPUNNEL.COM
employer_poc_phone             | 16096069010
employer_poc_first_name        | STEVE
employer_poc_last_name         | MONTELEONE
worksite_address1              | Commissioner Corning Tower Empire State Plaza
worksite_address2              | 
worksite_city                  | Albany
worksite_county                | ALBANY
lawfirm_name_business_name     | 
employer_address1              | 103 MORGAN LANE
employer_address2              | SUITE 102
employer_city                  | PLAINSBORO
employer_state                 | NJ
employer_postal_code           | 08536
begin_date                     | 7/18/2024
end_date                       | 7/17/2027
total_worker_positions         | 1
soc_code                       | 15-2051.01
h_1b_dependent                 | Yes
-[ RECORD 12 ]-----------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-22241-442074
job_title                      | QA Engineer
employer_name                  | Avco Consulting Inc
secondary_entity_business_name | City of New York Department of Social Services
employer_poc_email             | sudhir@avcoconsulting.com
employer_poc_phone             | 15082924795
employer_poc_first_name        | Sudhir Reddy
employer_poc_last_name         | Prodduturi
worksite_address1              | 15 Metrotech
worksite_address2              | 
worksite_city                  | Brooklyn
worksite_county                | KINGS
lawfirm_name_business_name     | International Legal and Business Services Group LLP
employer_address1              | 38 Front St
employer_address2              | Fl 4
employer_city                  | Worcester
employer_state                 | MA
employer_postal_code           | 01608
begin_date                     | 8/29/2022
end_date                       | 8/28/2025
total_worker_positions         | 1
soc_code                       | 15-1253.00
h_1b_dependent                 | Yes
-[ RECORD 13 ]-----------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-23137-029517
job_title                      | Program Manager
employer_name                  | IKON Software Services
secondary_entity_business_name | City of New York Department of Social Services(DSS)
employer_poc_email             | daya@ikonss.com
employer_poc_phone             | 12482145372
employer_poc_first_name        | Dayashankar
employer_poc_last_name         | Adappa
worksite_address1              | 15 Metro Tech
worksite_address2              | 
worksite_city                  | Brooklyn
worksite_county                | KINGS
lawfirm_name_business_name     | Arora Law PLC
employer_address1              | 38345 W 10 Mile Road
employer_address2              | Suite 255
employer_city                  | Farmington Hills
employer_state                 | MI
employer_postal_code           | 48335
begin_date                     | 5/29/2023
end_date                       | 12/31/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 14 ]-----------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-23265-372761
job_title                      | SOFTWARE DEVELOPER
employer_name                  | Technology Professionals Group Inc
secondary_entity_business_name | City of New York Fire Department
employer_poc_email             | kishor@cloudandthings.com
employer_poc_phone             | 15185309776
