-[ RECORD 1 ]------------------+-------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25056-721116
job_title                      | Quality Assurance Lead
employer_name                  | CipherQore Solutions Inc
secondary_entity_business_name | Arkansas Department of Human Services
employer_poc_email             | srinivas@cipherqore.com
employer_poc_phone             | 12252057272
employer_poc_first_name        | Sreenivas
employer_poc_last_name         | Vemulapalli
worksite_address1              | 250 TRAILING BLUFF WAY
worksite_address2              | 
worksite_city                  | Garner
worksite_county                | WAKE
lawfirm_name_business_name     | Fragomen, Del Rey, Bernsen & Loewy, LLP
employer_address1              | 16179 State Bank Drive
employer_address2              | Suite D
employer_city                  | Prairieville
employer_state                 | LA
employer_postal_code           | 70769
begin_date                     | 8/1/2025
end_date                       | 7/31/2028
total_worker_positions         | 1
soc_code                       | 15-1253
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+-------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-22332-607961
job_title                      | Senior QA Tester
employer_name                  | CipherQore Solutions Inc
secondary_entity_business_name | Arkansas Department of Human Services (Working Remotely)
employer_poc_email             | srinivas@cipherqore.com
employer_poc_phone             | 12254024020
employer_poc_first_name        | Sreenivas
employer_poc_last_name         | Vemulapalli
worksite_address1              | 250 Trailing Bluff Way
worksite_address2              | 
worksite_city                  | Garner
worksite_county                | WAKE
lawfirm_name_business_name     | Ramineni & Shepard LLC
employer_address1              | 16179 STATE BANK DRIVE
employer_address2              | SUITE D
employer_city                  | PRAIRIEVILLE
employer_state                 | LA
employer_postal_code           | 70769
begin_date                     | 12/19/2022
end_date                       | 7/31/2025
total_worker_positions         | 1
soc_code                       | 15-1253.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+-------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-23067-833885
job_title                      | Software Developer
employer_name                  | Eminent Software Services
secondary_entity_business_name | Belk Department Stores Inc
employer_poc_email             | immigration@eminent8.com
employer_poc_phone             | 18604920736
employer_poc_first_name        | Michelle
employer_poc_last_name         | Bowman
worksite_address1              | 2801 West Tyvola Rd
worksite_address2              | 
worksite_city                  | Charlotte
worksite_county                | MECKLENBURG
lawfirm_name_business_name     | Global Immigration Partners Inc
employer_address1              | 14A Pasco Drive
employer_address2              | 
employer_city                  | East Windsor
employer_state                 | CT
employer_postal_code           | 06088
begin_date                     | 3/18/2023
end_date                       | 3/17/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+-------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-22063-951532
job_title                      | Software Engineer
employer_name                  | Sapot Systems Inc
secondary_entity_business_name | Charlotte Mecklenburg Police Department Headquarters
employer_poc_email             | PRAVEEN1@SAPOTSYSTEMS.COM
employer_poc_phone             | 18552872768
employer_poc_first_name        | PRAVEEN
employer_poc_last_name         | POTINENI
