-[ RECORD 1 ]------------------+-------------------------------------------------------------
case_number                    | I-200-22286-528718
job_title                      | Software Applications Developer
employer_name                  | Webject Systems Inc
secondary_entity_business_name | NewJerseyDepartmentofHuman Services (Remote work from home)
employer_poc_email             | madhu@webject.com
employer_poc_phone             | 15082796562
employer_poc_first_name        | Madhu
employer_poc_last_name         | Rao
worksite_address1              | 120 Crossing Drive
worksite_address2              | Apt 201
worksite_city                  | Cumberland
worksite_county                | CUMBERLAND
lawfirm_name_business_name     | 
employer_address1              | 25 Central Square
employer_address2              | Suite 2
employer_city                  | Bridgewater
employer_state                 | MA
employer_postal_code           | 02324
begin_date                     | 1/1/2023
end_date                       | 12/31/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+-------------------------------------------------------------
case_number                    | I-200-22171-297658
job_title                      | IT Consultant (JAVA Developer)
employer_name                  | Infosmart Technologies Inc
secondary_entity_business_name | Remote Work From Home for State of Rhode Island (DOA)
employer_poc_email             | hr@infosmarttech.com
employer_poc_phone             | 16789332226
employer_poc_first_name        | Karun
employer_poc_last_name         | Asireddy
worksite_address1              | 825 Pontiac Ave
worksite_address2              | Apt  19204
worksite_city                  | Cranston
worksite_county                | CRANSTON CITY
lawfirm_name_business_name     | Mannam & Associates LLC
employer_address1              | 5400 Laurel Springs Parkway
employer_address2              | Suite 706
employer_city                  | Suwanee
employer_state                 | GA
employer_postal_code           | 30024
begin_date                     | 6/20/2022
end_date                       | 6/19/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+-------------------------------------------------------------
case_number                    | I-200-24047-725259
job_title                      | SOFTWARE DEVELOPER
employer_name                  | MAHAUGHA LLC
secondary_entity_business_name | Rhode Island Department of Administration
employer_poc_email             | IMMIGRATION@MAHAUGHA.COM
employer_poc_phone             | 16092354355
employer_poc_first_name        | ARCHANA
employer_poc_last_name         | CHOPADA
worksite_address1              | 1 CAPITOL HILL
worksite_address2              | 
worksite_city                  | PROVIDENCE
worksite_county                | PROVIDENCE CITY
lawfirm_name_business_name     | 
employer_address1              | 2650 ROUTE 130
employer_address2              | SUITE K
employer_city                  | CRANBURY
employer_state                 | NJ
employer_postal_code           | 08512
begin_date                     | 2/26/2024
end_date                       | 2/25/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+-------------------------------------------------------------
case_number                    | I-200-24047-726360
job_title                      | SOFTWARE DEVELOPER
employer_name                  | MAHAUGHA LLC
secondary_entity_business_name | Rhode Island Department of Administration
employer_poc_email             | IMMIGRATION@MAHAUGHA.COM
employer_poc_phone             | 16092354355
employer_poc_first_name        | ARCHANA
employer_poc_last_name         | CHOPADA
worksite_address1              | 1 CAPITOL HILL
worksite_address2              | 
worksite_city                  | PROVIDENCE
worksite_county                | PROVIDENCE CITY
lawfirm_name_business_name     | 
employer_address1              | 2650 ROUTE 130
employer_address2              | SUITE K
employer_city                  | CRANBURY
employer_state                 | NJ
employer_postal_code           | 08512
begin_date                     | 2/26/2024
end_date                       | 2/25/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+-------------------------------------------------------------
