-[ RECORD 1 ]------------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-22020-842209
job_title                      | SOFTWARE (SALESFORCE) DEVELOPER/ADMINISTRATOR
employer_name                  | EFICENS SYSTEMS LLC
secondary_entity_business_name | DELOITTE/STATE OF WISCONSIN
employer_poc_email             | LEGAL@EFICENSIT.COM
employer_poc_phone             | 16788929800
employer_poc_first_name        | RAMU
employer_poc_last_name         | VENIGANDLA
worksite_address1              | 555 E WELLS STREET, SUITE 1400
worksite_address2              | 
worksite_city                  | MILWAUKEE
worksite_county                | MILWAUKEE
lawfirm_name_business_name     | MADAN & SAIGAL LLC
employer_address1              | 5400 LAUREL SPRINGS PARKWAY
employer_address2              | SUITE 603
employer_city                  | SUWANEE
employer_state                 | GA
employer_postal_code           | 30024
begin_date                     | 1/20/2022
end_date                       | 1/19/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-21277-622050
job_title                      | CERTIFIED MICROSOFT .NET DEVELOPER
employer_name                  | Biztegy Analytics Inc
secondary_entity_business_name | DEPARTMENT OF ADMINISTRATION (DOA), STATE OF WISCONSIN
employer_poc_email             | cal@biztegy.com
employer_poc_phone             | 16104426933
employer_poc_first_name        | Kalyan
employer_poc_last_name         | Boggavarapu
worksite_address1              | 101 EAST WILSON STREET
worksite_address2              | 
worksite_city                  | MADISON
worksite_county                | DANE
lawfirm_name_business_name     | International Legal and Business Services Group LLP
employer_address1              | 1821 Walden Office Square
employer_address2              | Unit 400
employer_city                  | Schaumburg
employer_state                 | IL
employer_postal_code           | 60173
begin_date                     | 10/4/2021
end_date                       | 10/3/2024
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | No
-[ RECORD 3 ]------------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-25171-117962
job_title                      | .NET WEB DEVELOPER
employer_name                  | VENNSYS LLC
secondary_entity_business_name | DEPARTMENT OF CHILDREN & FAMILIES (DCF), STATE OF WISCONSIN
employer_poc_email             | RAGHUPAL@VENNSYS.COM
employer_poc_phone             | 16082419060
employer_poc_first_name        | RAGHUNATH
employer_poc_last_name         | VULPAL
worksite_address1              | 201 E. WASHINGTON AVENUE
worksite_address2              | 
worksite_city                  | MADISON
worksite_county                | DANE
lawfirm_name_business_name     | MVP LAW GROUP, P.A.
employer_address1              | 2307 PARMENTER STREET
employer_address2              | SUITE B2
employer_city                  | MIDDLETON
employer_state                 | WI
employer_postal_code           | 53562
begin_date                     | 7/1/2025
end_date                       | 6/30/2028
total_worker_positions         | 1
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-25171-115241
job_title                      | .NET WEB DEVELOPER
employer_name                  | VENNSYS LLC
secondary_entity_business_name | DEPARTMENT OF CHILDREN & FAMILIES (DCF), STATE OF WISCONSIN
employer_poc_email             | RAGHUPAL@VENNSYS.COM
employer_poc_phone             | 16082419060
employer_poc_first_name        | RAGHUNATH
employer_poc_last_name         | VULPAL
worksite_address1              | 201 E. WASHINGTON AVENUE
worksite_address2              | 
worksite_city                  | MADISON
worksite_county                | DANE
lawfirm_name_business_name     | MVP LAW GROUP, P.A.
employer_address1              | 2307 PARMENTER STREET
employer_address2              | SUITE B2
employer_city                  | MIDDLETON
employer_state                 | WI
employer_postal_code           | 53562
begin_date                     | 7/1/2025
end_date                       | 6/30/2028
total_worker_positions         | 1
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-22167-286428
job_title                      | PROGRAMMER ANALYST
employer_name                  | RELIABLE SOFTWARE RESOURCES
secondary_entity_business_name | DEPARTMENT OF CORRECTIONS
employer_poc_email             | HR@RSRIT.COM
employer_poc_phone             | 12389126819
employer_poc_first_name        | VENKAT
employer_poc_last_name         | VINUTHA
worksite_address1              | 3099 E WASHINGTON AVE
worksite_address2              | 
worksite_city                  | MADISON
worksite_county                | DANE
lawfirm_name_business_name     | 
employer_address1              | 22260 HAGGERTY ROAD
employer_address2              | SUITE 285
employer_city                  | NORTHVILLE
employer_state                 | MI
employer_postal_code           | 48167
begin_date                     | 12/14/2022
end_date                       | 12/13/2025
total_worker_positions         | 1
soc_code                       | 15-1121.00
h_1b_dependent                 | Yes
-[ RECORD 6 ]------------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-22349-642895
job_title                      | SOFTWARE DEVELOPER
employer_name                  | GLOBAL INFORMATION TECHNOLOGY INC
secondary_entity_business_name | DEPARTMENT OF HEALTH SERVICES, STATE OF WISCONSIN
employer_poc_email             | IMMIGRATION1@GIT-ORG.COM
employer_poc_phone             | 18139731061
employer_poc_first_name        | ROSEMARIE
employer_poc_last_name         | LEDERER
worksite_address1              | 141 NW BARSTOW ST
worksite_address2              | 
worksite_city                  | WAUKESHA
worksite_county                | WAUKESHA
lawfirm_name_business_name     | PRADEEK SUSHEELAN PC
employer_address1              | 169 RAMAPO VALLEY ROAD
employer_address2              | STE ML104
employer_city                  | OAKLAND
employer_state                 | NJ
employer_postal_code           | 07436
begin_date                     | 12/19/2022
end_date                       | 12/18/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 7 ]------------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-25127-947361
job_title                      | APPLICATION ARCHITECT
employer_name                  | VENNSYS LLC
secondary_entity_business_name | DEPARTMENT OF NATURAL RESOURCES, STATE OF WISCONSIN
employer_poc_email             | RAGHUPAL@VENNSYS.COM
employer_poc_phone             | 16082419060
employer_poc_first_name        | RAGHUNATH
employer_poc_last_name         | VULPAL
worksite_address1              | 101 S. WEBSTER STREET
worksite_address2              | 
worksite_city                  | MADISON
worksite_county                | DANE
lawfirm_name_business_name     | MVP LAW GROUP, P.A.
employer_address1              | 2307 PARMENTER STREET
employer_address2              | SUITE B2
employer_city                  | MIDDLETON
employer_state                 | WI
employer_postal_code           | 53562
begin_date                     | 10/1/2025
end_date                       | 9/30/2028
total_worker_positions         | 1
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 8 ]------------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-23118-974064
job_title                      | .NET DEVELOPER
employer_name                  | HEXACORP LLC
secondary_entity_business_name | DEPARTMENT OF PUBLIC INSTRUCTION
employer_poc_email             | JAI@HEXACORP.COM
employer_poc_phone             | 16784908178
employer_poc_first_name        | JAYARAM
employer_poc_last_name         | SADASIVAM
worksite_address1              | 125 S WESTER STREET
worksite_address2              | 
worksite_city                  | MADISON
worksite_county                | DANE
lawfirm_name_business_name     | 
employer_address1              | 2450 ATLANTA HWY
employer_address2              | UNIT 1902
employer_city                  | CUMMING
employer_state                 | GA
employer_postal_code           | 30040
begin_date                     | 9/11/2023
end_date                       | 9/10/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 9 ]------------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-22109-085310
job_title                      | .NET DEVELOPER
employer_name                  | SRI INFOTECH INC
secondary_entity_business_name | DEPARTMENT OF PUBLIC INSTRUCTION, STATE OF WISCONSIN
employer_poc_email             | SRINI@SRIINFOTECH.US
employer_poc_phone             | 12016736048
employer_poc_first_name        | SRINIVASA
employer_poc_last_name         | CHINTALAPUDI
worksite_address1              | 125 S WEBSTER ST.
worksite_address2              | 
worksite_city                  | MADISON
worksite_county                | DANE
lawfirm_name_business_name     | LAW OFFICES OF THOMAS V.ALLEN PLLC
employer_address1              | 50 CRAGWOOD ROAD
employer_address2              | SUITE 305
employer_city                  | SOUTH PLAINFIELD
employer_state                 | NJ
employer_postal_code           | 07080
begin_date                     | 10/1/2022
end_date                       | 9/30/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 10 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-23115-962662
job_title                      | JAVA DEVELOPER
employer_name                  | VENNSYS LLC
secondary_entity_business_name | DEPARTMENT OF REVENUE (DOR), STATE OF WISCONSIN
employer_poc_email             | RAGHUPAL@VENNSYS.COM
employer_poc_phone             | 16082419060
employer_poc_first_name        | RAGHUNATH
employer_poc_last_name         | VULPAL
worksite_address1              | 2135 RIMROCK ROAD
worksite_address2              | 
worksite_city                  | MADISON
worksite_county                | DANE
lawfirm_name_business_name     | MVP LAW GROUP, P.A.
employer_address1              | 2307 PARMENTER STREET
employer_address2              | SUITE B2
employer_city                  | MIDDLETON
employer_state                 | WI
employer_postal_code           | 53562
begin_date                     | 7/1/2023
end_date                       | 6/30/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 11 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-21362-789640
job_title                      | DATA WAREHOUSE ANALYST - III
employer_name                  | Net2Source Inc
secondary_entity_business_name | DEPARTMENT OF TRANSPORTATION
employer_poc_email             | COMPLIANCE@NET2SOURCE.COM
employer_poc_phone             | 12013408700
employer_poc_first_name        | Laurita
employer_poc_last_name         | Rodriguez
worksite_address1              | 4822 MADISON YARDS WAY
worksite_address2              | 
worksite_city                  | MADISON
worksite_county                | DANE
lawfirm_name_business_name     | CHUGH, LLP
employer_address1              | 270 Davidson Ave
employer_address2              | Suite 704
employer_city                  | Somerset
employer_state                 | NJ
employer_postal_code           | 08873
begin_date                     | 12/28/2021
end_date                       | 12/27/2024
total_worker_positions         | 1
soc_code                       | 15-1199.08
h_1b_dependent                 | No
-[ RECORD 12 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-23104-933709
job_title                      | SYSTEMS ANALYST
employer_name                  | VENNSYS LLC
secondary_entity_business_name | DEPARTMENT OF TRANSPORTATION, STATE OF WISCONSIN
employer_poc_email             | RAGHUPAL@VENNSYS.COM
employer_poc_phone             | 16082419060
employer_poc_first_name        | RAGHUNATH
employer_poc_last_name         | VULPAL
worksite_address1              | 4822 MADISON YARDS WAY
worksite_address2              | 
worksite_city                  | MADISON
worksite_county                | DANE
lawfirm_name_business_name     | MVP LAW GROUP, P.A.
employer_address1              | 2307 PARMENTER STREET
employer_address2              | SUITE B2
employer_city                  | MIDDLETON
employer_state                 | WI
employer_postal_code           | 53562
begin_date                     | 10/1/2023
end_date                       | 9/30/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 13 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-23145-054443
job_title                      | WebSphere Admin
employer_name                  | tekAssembly Corporation
secondary_entity_business_name | DOA, State of Wisconsin
employer_poc_email             | info@tekassembly.com
employer_poc_phone             | 18473066699
employer_poc_first_name        | MURALI
employer_poc_last_name         | MERAGA
worksite_address1              | 5830 Femrite Dr
worksite_address2              | 
worksite_city                  | Madison
worksite_county                | DANE
lawfirm_name_business_name     | 
employer_address1              | 3 W Hawthorn Pkwy
employer_address2              | 220
employer_city                  | Vernon Hills
employer_state                 | IL
employer_postal_code           | 60061
begin_date                     | 10/1/2023
end_date                       | 9/30/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 14 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-22187-333772
job_title                      | WebSphere Administrator
employer_name                  | tekAssembly Corporation
secondary_entity_business_name | DOA, State of Wisconsin
employer_poc_email             | info@tekassembly.com
employer_poc_phone             | 18473066699
employer_poc_first_name        | MURALI
employer_poc_last_name         | MERAGA
worksite_address1              | 5830 Femrite Dr
worksite_address2              | 
worksite_city                  | Madison
worksite_county                | DANE
lawfirm_name_business_name     | 
employer_address1              | 3 W Hawthorn Pkwy
employer_address2              | 220
employer_city                  | Vernon Hills
employer_state                 | IL
employer_postal_code           | 60061
begin_date                     | 7/7/2022
end_date                       | 7/6/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 15 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-22022-846901
job_title                      | SOFTWARE ENGINEER
employer_name                  | DeeBeCon Inc
secondary_entity_business_name | DWD STATE OF WISCONSIN
employer_poc_email             | JOBS@DEEBECON.COM
employer_poc_phone             | 16038911200
employer_poc_first_name        | Balaji
employer_poc_last_name         | Radakrishnan
worksite_address1              | 201 E Washington Ave
worksite_address2              | 
worksite_city                  | Madison
worksite_county                | DANE
lawfirm_name_business_name     | 
employer_address1              | 1 Tara Blvd
employer_address2              | Suite LL7
employer_city                  | Nashua
employer_state                 | NH
employer_postal_code           | 03062
begin_date                     | 6/30/2022
end_date                       | 6/26/2025
total_worker_positions         | 2
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 16 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-22020-841766
job_title                      | SOFTWARE ENGINEER
employer_name                  | DeeBeCon Inc
secondary_entity_business_name | DWD STATE OF WISCONSIN
employer_poc_email             | JOBS@DEEBECON.COM
employer_poc_phone             | 16038911200
employer_poc_first_name        | Balaji
employer_poc_last_name         | Radakrishnan
worksite_address1              | 201 E Washington Ave
worksite_address2              | 
worksite_city                  | Madison
worksite_county                | DANE
lawfirm_name_business_name     | 
employer_address1              | 1 Tara Blvd
employer_address2              | Suite LL7
employer_city                  | Nashua
employer_state                 | NH
employer_postal_code           | 03062
begin_date                     | 6/30/2022
end_date                       | 6/26/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 17 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-22042-895970
job_title                      | SOFTWARE ENGINEER
employer_name                  | DeeBeCon Inc
secondary_entity_business_name | DWD STATE OF WISCONSIN
employer_poc_email             | JOBS@DEEBECON.COM
employer_poc_phone             | 16038911200
employer_poc_first_name        | Balaji
employer_poc_last_name         | Radakrishnan
worksite_address1              | 201 E Washington Ave
worksite_address2              | 
worksite_city                  | Madison
worksite_county                | DANE
lawfirm_name_business_name     | 
employer_address1              | 1 Tara Blvd
employer_address2              | Suite LL7
employer_city                  | Nashua
employer_state                 | NH
employer_postal_code           | 03062
begin_date                     | 2/12/2022
end_date                       | 2/11/2025
total_worker_positions         | 2
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 18 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-21309-688526
job_title                      | Software Developer
employer_name                  | Excelon Solutions LLC
secondary_entity_business_name | Deloitte/State of Wisconsin(DHS)
employer_poc_email             | immigration@excelonsolutions.com
employer_poc_phone             | 19895280914
employer_poc_first_name        | Danish
employer_poc_last_name         | Banatwalla
worksite_address1              | 834 E Washington Ave
worksite_address2              | STE 337
worksite_city                  | Madison
worksite_county                | DANE
lawfirm_name_business_name     | Kodem Law Firm PLLC
employer_address1              | 2625 N Josey Ln
employer_address2              | STE 322
employer_city                  | Carrollton
employer_state                 | TX
employer_postal_code           | 75007
begin_date                     | 11/15/2021
end_date                       | 11/14/2024
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 19 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-22264-486728
job_title                      | Software Developer
employer_name                  | Encore Consulting Services Inc
secondary_entity_business_name | Department  of  Children  and  Families - State  of  Wisconsin
employer_poc_email             | hradmin@encore-c.com
employer_poc_phone             | 18472220244
employer_poc_first_name        | Mary
employer_poc_last_name         | Menet
worksite_address1              | 201 W Washington Ave
worksite_address2              | 
worksite_city                  | Madison
worksite_county                | DANE
lawfirm_name_business_name     | 
employer_address1              | 1701, E Wood field Road
employer_address2              | Suite 910
employer_city                  | Schaumburg
employer_state                 | IL
employer_postal_code           | 60173
begin_date                     | 9/21/2022
end_date                       | 9/30/2024
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 20 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-21316-702130
job_title                      | Dot.Net Developer
employer_name                  | TECHNOVIZ LLC
secondary_entity_business_name | Department Of Administration - State of WI
employer_poc_email             | Info@technoviz.com
employer_poc_phone             | 16082993333
employer_poc_first_name        | PHANINDRA
employer_poc_last_name         | PALETY
worksite_address1              | 101 E. Wilson Street, 8th Floor
worksite_address2              | 
worksite_city                  | Madison
worksite_county                | DANE
lawfirm_name_business_name     | JOHN J. BOUDIA & ASSOCIATES PLC
employer_address1              | 8517 Excelsior Drive
employer_address2              | SUITE 105
employer_city                  | MADISON
employer_state                 | WI
employer_postal_code           | 53717
begin_date                     | 11/12/2021
end_date                       | 8/14/2022
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 21 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-22069-968617
job_title                      | Dot.Net Developer
employer_name                  | TECHNOVIZ LLC
secondary_entity_business_name | Department Of Administration - State of Wisconsin
employer_poc_email             | Info@technoviz.com
employer_poc_phone             | 16082993333
employer_poc_first_name        | PHANINDRA
employer_poc_last_name         | PALETY
worksite_address1              | 101 E. Wilson Street
worksite_address2              | 8th Floor
worksite_city                  | Madison
worksite_county                | DANE
lawfirm_name_business_name     | JOHN J. BOUDIA & ASSOCIATES PLC
employer_address1              | 8517 Excelsior Drive
employer_address2              | SUITE 105
employer_city                  | MADISON
employer_state                 | WI
employer_postal_code           | 53717
begin_date                     | 8/14/2022
end_date                       | 8/13/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 22 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-22160-264149
job_title                      | Software Developer
employer_name                  | APPLAB SYSTEMS INC
secondary_entity_business_name | Department Of Administration Wisconsin
employer_poc_email             | IMMIGRATION@APPLABSYSTEMS.COM
employer_poc_phone             | 17239103278
employer_poc_first_name        | VENU BABU
employer_poc_last_name         | DHANEKULA
worksite_address1              | 4822 Madison Yards Way
worksite_address2              | 
worksite_city                  | Madison
worksite_county                | DANE
lawfirm_name_business_name     | 
employer_address1              | 4365 ROUTE 1 SOUTH
employer_address2              | SUITE 105
employer_city                  | PRINCETON
employer_state                 | NJ
employer_postal_code           | 08540
begin_date                     | 6/15/2022
end_date                       | 6/14/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 23 ]-----------------+--------------------------------------------------------------------------------------------------
case_number                    | I-200-24198-199386
job_title                      | Software Developer
employer_name                  | APPLAB SYSTEMS INC
secondary_entity_business_name | Department Of Administration Wisconsin (Remote)
employer_poc_email             | IMMIGRATION@APPLABSYSTEMS.COM
employer_poc_phone             | 17322504672
employer_poc_first_name        | SRINIVAS
employer_poc_last_name         | MUPPALLA
