token,platform,company_name,job_count,http_status,match_status,sponsor_id,sponsor_name,match_confidence,filings_last_3_years,last_filing_year,source_url,crawl_id,error
0g,ashby,,6,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/0g/d35c9785-1912-4c23-8d09-dbbe353d4733?utm_source=Longhash+job+board&utm_medium=getro.com&gh_src=Longhash+job+board,CC-MAIN-2026-34,
0x,ashby,,1,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/0x/01df9077-73f9-4c9b-8e87-a9de1423dcd9/application?source=chainhire.careers,CC-MAIN-2026-34,
10xteam,ashby,,133,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/10xteam/11b22ba0-8bc7-49bf-8cbf-773a7e84ae79/application,CC-MAIN-2026-30,
11x,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/11x/84dd760d-469a-46c6-82b7-54d30e7f43c1?embed=js,CC-MAIN-2026-34,HTTP Error 404: Not Found
1bios,ashby,,1,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/1bios,CC-MAIN-2026-30,
1mind,ashby,,9,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/1mind/2b085917-8022-4e12-8a54-06de0722f091,CC-MAIN-2026-34,
1password,ashby,,63,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/1password/005f5f65-b213-462e-9bce-4f45955b5cb8,CC-MAIN-2026-34,
1x,ashby,,83,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/1x/06f50940-79db-4505-8bcd-ddc2b739fb81,CC-MAIN-2026-34,
3e,ashby,,9,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/3e/3a4bb839-a2b6-4a8c-98e2-af49b03ad534,CC-MAIN-2026-34,
3imembers,ashby,,10,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/3imembers,CC-MAIN-2026-34,
42dot,ashby,,106,200,sponsor_matched,42dot-inc,42dot Inc.,0.99,2,2025,https://jobs.ashbyhq.com/42dot/27c29c55-5416-49e4-beea-37c65ba53d2c/application,CC-MAIN-2026-34,
51f67855-3ba7-445a-99bb-97e9f5093e4b,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/51f67855-3ba7-445a-99bb-97e9f5093e4b/2e2f43f4-f4a5-4163-acbc-6448cf1557f3,CC-MAIN-2026-34,HTTP Error 404: Not Found
5bluesoftware,ashby,,6,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/5bluesoftware/dc2f70a2-7c11-49ae-9e42-59d6bb3e903f?ref=reactjobs.io,CC-MAIN-2026-30,
80000hours,ashby,,0,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/80000hours/51f13f82-2328-432e-bbb5-e38f04b2bb07?utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,CC-MAIN-2026-34,
805title,ashby,,0,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/805title,CC-MAIN-2026-25,
829studios,ashby,,18,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/829studios/18b4351f-c1d3-4814-a6cc-c1f70acf70f9?source=DataAnalyst.com,CC-MAIN-2026-34,
8fleet-inc,ashby,,18,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/8fleet-inc/dc31f50c-13a7-4a57-9521-bae6e197f88b/application,CC-MAIN-2026-34,
8returns,ashby,,8,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/8returns/4043da58-e632-42d7-b543-fc4acb576adb/application,CC-MAIN-2026-21,
8vc,ashby,,6,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/8vc/572bb885-eeb4-4c8c-b88e-86d56f9e5b26?utm_source=8VC+job+board&utm_medium=getro.com&gh_src=8VC+job+board,CC-MAIN-2026-34,
9-mothers,ashby,,11,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/9-mothers/1696c09f-b9ad-4d65-aaf9-fbbff7f2c2b4,CC-MAIN-2026-34,
9fin,ashby,,33,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/9fin/286ba3d2-bd3d-4511-afb0-4c6bc70b6d27?utm_source=Seedcamp+job+board&utm_medium=getro.com&gh_src=Seedcamp+job+board,CC-MAIN-2026-34,
