platform,token,company_name,sponsor_name,job_count,filings_last_3_years,last_filing_year,match_confidence,match_status,source_url,crawl_id
ashby,anyone-ai,,,201,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/anyone-ai/17dfaaf7-e866-4121-b8bd-70996f764a02/application?utm_data=hiring.lat,CC-MAIN-2026-34
ashby,10xteam,,,133,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/10xteam/11b22ba0-8bc7-49bf-8cbf-773a7e84ae79/application,CC-MAIN-2026-30
ashby,42dot,,,106,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/42dot/27c29c55-5416-49e4-beea-37c65ba53d2c/application,CC-MAIN-2026-34
ashby,apex-technology-inc,,,99,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/apex-technology-inc/0d7a8e7b-724d-4627-83e0-46a8b02ff003?utm_source=Upfront+Ventures+job+board&utm_medium=getro.com&gh_src=Upfront+Ventures+job+board,CC-MAIN-2026-34
ashby,alan,,,98,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/alan,CC-MAIN-2026-34
ashby,barnes,,,88,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/barnes/a4adf83b-4989-4214-9bfd-22e4476634fa?departmentId=40fb97c6-734c-4f3a-af28-b9b87743b272,CC-MAIN-2026-21
ashby,1x,,,83,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/1x/06f50940-79db-4505-8bcd-ddc2b739fb81,CC-MAIN-2026-34
ashby,baseten,,,83,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/baseten,CC-MAIN-2026-21
ashby,allen-control-systems,,,74,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/allen-control-systems/1c0e859b-e24e-4aae-b68d-ae2ac26e8015/application?utm_id=13788505&utm_source=EEJobboard,CC-MAIN-2026-34
ashby,1password,,,63,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/1password/005f5f65-b213-462e-9bce-4f45955b5cb8,CC-MAIN-2026-34
ashby,Antares,,,61,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/Antares,CC-MAIN-2026-34
ashby,a-place-for-mom,,,57,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/a-place-for-mom/6e61c528-fe1c-4335-88cf-185e3ae46062,CC-MAIN-2026-34
ashby,bravehealth,,,57,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/bravehealth/08a8c67d-2383-45a6-857b-377a4500aead,CC-MAIN-2026-17
ashby,blockstream,,,54,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/blockstream/2f728cbd-1164-48af-b9fe-4d4665d209df?utm_source=Blockchain+Capital+job+board&utm_medium=getro.com&gh_src=Blockchain+Capital+job+board,CC-MAIN-2026-21
ashby,avelios-medical,,,53,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/avelios-medical,CC-MAIN-2026-21
ashby,benchling,,,51,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/benchling/0229ae3c-438c-419b-a283-48450e041810?utm_source=Menlo+Ventures+job+board&utm_medium=getro.com&gh_src=Menlo+Ventures+job+board,CC-MAIN-2026-21
ashby,astera,,,49,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/astera/131b58e9-ca63-4d90-911b-3e4a88c5d65c,CC-MAIN-2026-25
ashby,A1%20Garage%20Door%20Service,,,48,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/A1%20Garage%20Door%20Service/33ebb068-1730-483b-be3c-a401108b437f?utm_id=5433340&utm_source=Content+Job+Board,CC-MAIN-2026-34
ashby,almedia,,,48,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/almedia/1a6a3655-3968-4e37-876f-2ab4ef932d89/application,CC-MAIN-2026-34
ashby,attio,,,47,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/attio/61fd6f21-a5a1-4183-b8d1-d5356a21389d,CC-MAIN-2026-21
ashby,Astro-Mechanica,,,45,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/Astro-Mechanica/0a89c9a7-0b06-4bce-9847-684abe578c90,CC-MAIN-2026-25
ashby,adjoe,,,42,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/adjoe/25fd58c5-def8-4ba2-8216-8d651df6129d,CC-MAIN-2026-34
ashby,Abridge,,,41,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/Abridge/03957c9d-d3c0-4699-8ca9-7613bb7b2956?utm_source=Redpoint+Ventures+job+board&utm_medium=getro.com&gh_src=Redpoint+Ventures+job+board,CC-MAIN-2026-34
ashby,amplify,,,41,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/amplify/4c912bb6-5e1f-49fb-b29b-e07b55bb8dc6?ref=remotework.FYI&src=remotework.FYI&utm_source=remotework.FYI&utm_campaign=remotework.FYI&source=remotework.FYI,CC-MAIN-2026-34
ashby,allica-bank,,,40,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/allica-bank/04f6a90c-99c9-4c5c-8430-f0569d7f8469?utm_source=Technology+Crossover+Ventures+job+board&utm_medium=getro.com&gh_src=Technology+Crossover+Ventures+job+board,CC-MAIN-2026-34
ashby,aerovect,,,39,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/aerovect,CC-MAIN-2026-34
ashby,amplitude,,,38,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/amplitude/98e13caf-f01a-4713-91f0-953b71f964ae,CC-MAIN-2026-34
ashby,angi,,,38,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/angi/d5f7cf23-0367-491f-a98d-4e8b3d34ac3a/application,CC-MAIN-2026-34
ashby,assured,,,37,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/assured/e32471d6-ed9f-4567-b8bb-e600b67176b8,CC-MAIN-2026-34
ashby,adaptyv,,,36,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/adaptyv/08d139bb-7a3f-440a-8a12-ec2ed3141ade,CC-MAIN-2026-34
ashby,basis-ai,,,36,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/basis-ai,CC-MAIN-2026-21
ashby,bedrock-robotics,,,35,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/bedrock-robotics/037d1d43-2033-41d2-abe0-92586f1bf565?utm_source=Emergence+Capital+job+board&utm_medium=getro.com&gh_src=Emergence+Capital+job+board,CC-MAIN-2026-21
ashby,andercore,,,34,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/andercore/8539fb7e-b56b-497c-a590-0cc21bc63e6a?utm_source=Everywhere+Ventures+job+board&utm_medium=getro.com&gh_src=Everywhere+Ventures+job+board,CC-MAIN-2026-34
ashby,9fin,,,33,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/9fin/286ba3d2-bd3d-4511-afb0-4c6bc70b6d27?utm_source=Seedcamp+job+board&utm_medium=getro.com&gh_src=Seedcamp+job+board,CC-MAIN-2026-34
ashby,AfterQuery,,,33,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/AfterQuery/174889e7-829e-4666-94a6-14687cf01d5e,CC-MAIN-2026-34
ashby,absorblms,,,33,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/absorblms/1ab91f0f-e0a0-4b42-aadd-bf705bd34be0,CC-MAIN-2026-34
ashby,brainco,,,33,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/brainco/,CC-MAIN-2026-21
ashby,ARQ,,,32,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/ARQ/0e1b37cb-7344-42c2-b655-5dacc55e1560?utm_source=Castle+Island+Ventures+job+board&utm_medium=getro.com&gh_src=Castle+Island+Ventures+job+board,CC-MAIN-2026-34
ashby,Agent,,,32,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/Agent/05060be6-2722-49f8-b1d8-756f43f13a99/application?utm_data=hiring.lat,CC-MAIN-2026-34
ashby,amo,,,32,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/amo/37da8e2d-3dc2-4122-aa35-4189877811a4,CC-MAIN-2026-30
ashby,assorthealth,,,31,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/assorthealth/058818ff-d3e3-4e54-b873-77d25055777e,CC-MAIN-2026-34
ashby,bobyard,,,30,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/bobyard/35a2c975-5e0f-486e-a122-b5d85068bb82/application,CC-MAIN-2026-21
ashby,Addi,,,29,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/Addi/11c3a601-4704-4390-a6be-1183ea223bad/application,CC-MAIN-2026-34
ashby,agentis-capital-advisors,,,29,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/agentis-capital-advisors/853e0825-02b7-4bd7-a672-da4bcfa16440,CC-MAIN-2026-34
ashby,brinc,,,29,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/brinc/288f348d-1c63-443a-b7d7-d0582c009d42?utm_source=The+Garage+job+board&utm_medium=getro.com&gh_src=The+Garage+job+board,CC-MAIN-2026-17
ashby,airspace-intelligence.com,,,28,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/airspace-intelligence.com/6009a6a4-5bfe-48f8-971e-c669cc5a66d2,CC-MAIN-2026-34
ashby,alta-ares,,,28,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/alta-ares/00810c0c-02d1-4679-b3f5-9395107a75c4,CC-MAIN-2026-34
ashby,antithesis,,,26,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/antithesis/02420778-a1e4-441c-9563-a3fee88f3f1f,CC-MAIN-2026-34
ashby,avoca,,,26,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/avoca,CC-MAIN-2026-21
ashby,array-behavioral-care,,,25,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/array-behavioral-care/49cf3a4e-0026-48c1-a1ec-183c7a9063de?utm_source=OCA+Ventures+job+board&utm_medium=getro.com&gh_src=OCA+Ventures+job+board,CC-MAIN-2026-34
ashby,Braintrust,,,24,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/Braintrust,CC-MAIN-2026-17
ashby,amber,,,23,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/amber/,CC-MAIN-2026-21
ashby,amboss,,,23,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/amboss/2539e502-4667-4423-b84a-f9ba56153561/application,CC-MAIN-2026-34
ashby,bestow,,,23,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/bestow/0bf56d94-c6e7-4cbd-9dac-688b1230c0af?utm_source=Morpheus+job+board&utm_medium=getro.com&gh_src=Morpheus+job+board,CC-MAIN-2026-21
ashby,abby-care,,,22,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/abby-care/02bb65f5-89dc-4562-bd25-5e193cc9008b/application,CC-MAIN-2026-34
ashby,alchemy,,,22,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/alchemy/07f23db8-28b1-4916-8209-0cb0e1de3fad?utm_source=Arbitrum+job+board&utm_medium=getro.com&gh_src=Arbitrum+job+board,CC-MAIN-2026-34
ashby,anrok,,,22,,,,validated_company_name_unavailable,https://jobs.ashbyhq.com/anrok/0663a54c-00f9-402f-a28d-a6d513f27d17,CC-MAIN-2026-34
