platform,token,company_name,sponsor_name,job_count,filings_last_3_years,last_filing_year,match_confidence,match_status,source_url,crawl_id
greenhouse,aloyoga,ALO,,1103,,,,unmatched_sponsor,https://job-boards.greenhouse.io/aloyoga/jobs/5789952004?gh_jid=5789952004&gh_src=ty7jxmhl4us,CC-MAIN-2026-34
greenhouse,agency,Meridial,,821,,,,unmatched_sponsor,https://job-boards.greenhouse.io/agency/jobs/4784878101?utm_source=www.thedailylead.co&utm_medium=newsletter&utm_campaign=the-daily-lead-february-20-2026,CC-MAIN-2026-30
greenhouse,accenturefederalservices,Accenture Federal Services,,638,,,,unmatched_sponsor,https://job-boards.greenhouse.io/accenturefederalservices/jobs/4592027006?gh_jid=4592027006,CC-MAIN-2026-34
greenhouse,1pyra)mid_health&care,Pyramid Healthcare,,364,,,,unmatched_sponsor,https://job-boards.greenhouse.io/1pyra)mid_health&care/jobs/5215709008,CC-MAIN-2026-34
greenhouse,agoda,Agoda,,290,,,,unmatched_sponsor,https://job-boards.greenhouse.io/agoda/jobs/6354870?gh_src=55p8yjcf1us,CC-MAIN-2026-34
greenhouse,accelschools,ACCEL Schools,,237,,,,unmatched_sponsor,https://job-boards.greenhouse.io/accelschools/jobs/7780148003?utm_id=13737056&utm_source=Online+Education+Jobs,CC-MAIN-2026-34
greenhouse,adyen,Adyen,,221,,,,unmatched_sponsor,https://job-boards.greenhouse.io/adyen,CC-MAIN-2026-34
ashby,anyone-ai,,,201,,,,unmatched_sponsor,https://jobs.ashbyhq.com/anyone-ai/17dfaaf7-e866-4121-b8bd-70996f764a02/application?utm_data=hiring.lat,CC-MAIN-2026-34
greenhouse,aegworldwide,AEG Worldwide,,186,,,,unmatched_sponsor,https://job-boards.greenhouse.io/aegworldwide/jobs/8568061002,CC-MAIN-2026-34
greenhouse,agibank,Agibank,,166,,,,unmatched_sponsor,https://job-boards.greenhouse.io/agibank/jobs/4964781008,CC-MAIN-2026-34
ashby,10xteam,,,133,,,,unmatched_sponsor,https://jobs.ashbyhq.com/10xteam/11b22ba0-8bc7-49bf-8cbf-773a7e84ae79/application,CC-MAIN-2026-30
greenhouse,allenintegratedsolutions,Allen Integrated Solutions,,124,,,,unmatched_sponsor,https://job-boards.greenhouse.io/allenintegratedsolutions/jobs/7815580003?gh_src=my.greenhouse.search,CC-MAIN-2026-34
greenhouse,acornhealth,Acorn Health,,123,,,,unmatched_sponsor,https://job-boards.greenhouse.io/acornhealth/jobs/4634102005,CC-MAIN-2026-34
greenhouse,addepar1,Addepar,,123,,,,unmatched_sponsor,https://job-boards.greenhouse.io/addepar1/jobs/8342445002?gh_src=Craft+Ventures+job+board,CC-MAIN-2026-34
greenhouse,2k,2K,,114,,,,unmatched_sponsor,https://job-boards.greenhouse.io/2k/jobs/6562867003,CC-MAIN-2026-34
greenhouse,allcareers,Cortica - Neurodevelopmental,,111,,,,unmatched_sponsor,https://job-boards.greenhouse.io/allcareers/jobs/8593206002,CC-MAIN-2026-34
greenhouse,advancedtechnologyservices,Advanced Technology Services,,100,,,,unmatched_sponsor,https://job-boards.greenhouse.io/advancedtechnologyservices/jobs/4598434006,CC-MAIN-2026-34
ashby,apex-technology-inc,,,99,,,,unmatched_sponsor,https://jobs.ashbyhq.com/apex-technology-inc/0d7a8e7b-724d-4627-83e0-46a8b02ff003?utm_source=Upfront+Ventures+job+board&utm_medium=getro.com&gh_src=Upfront+Ventures+job+board,CC-MAIN-2026-34
ashby,alan,,,98,,,,unmatched_sponsor,https://jobs.ashbyhq.com/alan,CC-MAIN-2026-34
ashby,barnes,,,88,,,,unmatched_sponsor,https://jobs.ashbyhq.com/barnes/a4adf83b-4989-4214-9bfd-22e4476634fa?departmentId=40fb97c6-734c-4f3a-af28-b9b87743b272,CC-MAIN-2026-21
ashby,1x,,,83,,,,unmatched_sponsor,https://jobs.ashbyhq.com/1x/06f50940-79db-4505-8bcd-ddc2b739fb81,CC-MAIN-2026-34
ashby,baseten,,,83,,,,unmatched_sponsor,https://jobs.ashbyhq.com/baseten,CC-MAIN-2026-21
greenhouse,analyticservicesinc,Analytic Services Inc,,82,,,,unmatched_sponsor,https://job-boards.greenhouse.io/analyticservicesinc/jobs/5222802008?gh_jid=5222802008&gh_src=2b4b235b8us,CC-MAIN-2026-30
greenhouse,airtrunk,AirTrunk,,79,,,,unmatched_sponsor,https://job-boards.greenhouse.io/airtrunk/jobs/7559021003,CC-MAIN-2026-34
ashby,allen-control-systems,,,74,,,,unmatched_sponsor,https://jobs.ashbyhq.com/allen-control-systems/1c0e859b-e24e-4aae-b68d-ae2ac26e8015/application?utm_id=13788505&utm_source=EEJobboard,CC-MAIN-2026-34
greenhouse,aksengineeringforestryllc,"AKS Engineering & Forestry, LLC",,74,,,,unmatched_sponsor,https://job-boards.greenhouse.io/aksengineeringforestryllc/jobs/4174694009?utm_source=getoutdoorjobs&utm_medium=job_board&utm_campaign=job_apply&utm_content=2252515172,CC-MAIN-2026-34
greenhouse,alphafmcroles,Alpha Financial Markets Consulting,,73,,,,unmatched_sponsor,https://job-boards.greenhouse.io/alphafmcroles/jobs/8626344002,CC-MAIN-2026-34
greenhouse,alpaca,Alpaca,,69,,,,unmatched_sponsor,https://job-boards.greenhouse.io/alpaca/jobs/4431262004,CC-MAIN-2026-34
greenhouse,allencontrolsystems,Allen Control Systems,,68,,,,unmatched_sponsor,https://job-boards.greenhouse.io/allencontrolsystems/jobs/4515626008?utm_source=Rally+Ventures+job+board&utm_medium=getro.com&gh_src=Rally+Ventures+job+board,CC-MAIN-2026-34
greenhouse,acommerce,aCommerce,,67,,,,unmatched_sponsor,https://job-boards.greenhouse.io/acommerce/jobs/3567348,CC-MAIN-2026-34
greenhouse,abinbev,AB InBev  | Growth Group,,64,,,,unmatched_sponsor,https://job-boards.greenhouse.io/abinbev/jobs/7598518002,CC-MAIN-2026-34
ashby,1password,,,63,,,,unmatched_sponsor,https://jobs.ashbyhq.com/1password/005f5f65-b213-462e-9bce-4f45955b5cb8,CC-MAIN-2026-34
greenhouse,1800gotjunk,1-800-GOT-JUNK?,,62,,,,unmatched_sponsor,https://job-boards.greenhouse.io/1800gotjunk?error=true,CC-MAIN-2026-34
ashby,Antares,,,61,,,,unmatched_sponsor,https://jobs.ashbyhq.com/Antares,CC-MAIN-2026-34
greenhouse,actpowerservices,ACT Power Services,,61,,,,unmatched_sponsor,https://job-boards.greenhouse.io/actpowerservices/jobs/7797719003,CC-MAIN-2026-34
greenhouse,agecareers,AGE Solutions,,59,,,,unmatched_sponsor,https://job-boards.greenhouse.io/agecareers?error=true,CC-MAIN-2026-30
greenhouse,aevexaerospace,AEVEX,,58,,,,unmatched_sponsor,https://job-boards.greenhouse.io/aevexaerospace/jobs/4097852008,CC-MAIN-2026-34
ashby,a-place-for-mom,,,57,,,,unmatched_sponsor,https://jobs.ashbyhq.com/a-place-for-mom/6e61c528-fe1c-4335-88cf-185e3ae46062,CC-MAIN-2026-34
ashby,bravehealth,,,57,,,,unmatched_sponsor,https://jobs.ashbyhq.com/bravehealth/08a8c67d-2383-45a6-857b-377a4500aead,CC-MAIN-2026-17
ashby,blockstream,,,54,,,,unmatched_sponsor,https://jobs.ashbyhq.com/blockstream/2f728cbd-1164-48af-b9fe-4d4665d209df?utm_source=Blockchain+Capital+job+board&utm_medium=getro.com&gh_src=Blockchain+Capital+job+board,CC-MAIN-2026-21
ashby,avelios-medical,,,53,,,,unmatched_sponsor,https://jobs.ashbyhq.com/avelios-medical,CC-MAIN-2026-21
ashby,astera,,,49,,,,unmatched_sponsor,https://jobs.ashbyhq.com/astera/131b58e9-ca63-4d90-911b-3e4a88c5d65c,CC-MAIN-2026-25
ashby,A1%20Garage%20Door%20Service,,,48,,,,unmatched_sponsor,https://jobs.ashbyhq.com/A1%20Garage%20Door%20Service/33ebb068-1730-483b-be3c-a401108b437f?utm_id=5433340&utm_source=Content+Job+Board,CC-MAIN-2026-34
ashby,almedia,,,48,,,,unmatched_sponsor,https://jobs.ashbyhq.com/almedia/1a6a3655-3968-4e37-876f-2ab4ef932d89/application,CC-MAIN-2026-34
greenhouse,alphasenseindia,AlphaSense India,,48,,,,unmatched_sponsor,https://job-boards.greenhouse.io/alphasenseindia/jobs/8589300002,CC-MAIN-2026-34
ashby,attio,,,47,,,,unmatched_sponsor,https://jobs.ashbyhq.com/attio/61fd6f21-a5a1-4183-b8d1-d5356a21389d,CC-MAIN-2026-21
greenhouse,accordion,Accordion,,46,,,,unmatched_sponsor,https://job-boards.greenhouse.io/accordion/jobs/7428717,CC-MAIN-2026-34
ashby,Astro-Mechanica,,,45,,,,unmatched_sponsor,https://jobs.ashbyhq.com/Astro-Mechanica/0a89c9a7-0b06-4bce-9847-684abe578c90,CC-MAIN-2026-25
ashby,adjoe,,,42,,,,unmatched_sponsor,https://jobs.ashbyhq.com/adjoe/25fd58c5-def8-4ba2-8216-8d651df6129d,CC-MAIN-2026-34
greenhouse,aacpnw,AAC Pacific Northwest,,42,,,,unmatched_sponsor,https://job-boards.greenhouse.io/aacpnw/jobs/4185737005,CC-MAIN-2026-34
ashby,Abridge,,,41,,,,unmatched_sponsor,https://jobs.ashbyhq.com/Abridge/03957c9d-d3c0-4699-8ca9-7613bb7b2956?utm_source=Redpoint+Ventures+job+board&utm_medium=getro.com&gh_src=Redpoint+Ventures+job+board,CC-MAIN-2026-34
ashby,amplify,,,41,,,,unmatched_sponsor,https://jobs.ashbyhq.com/amplify/4c912bb6-5e1f-49fb-b29b-e07b55bb8dc6?ref=remotework.FYI&src=remotework.FYI&utm_source=remotework.FYI&utm_campaign=remotework.FYI&source=remotework.FYI,CC-MAIN-2026-34
ashby,allica-bank,,,40,,,,unmatched_sponsor,https://jobs.ashbyhq.com/allica-bank/04f6a90c-99c9-4c5c-8430-f0569d7f8469?utm_source=Technology+Crossover+Ventures+job+board&utm_medium=getro.com&gh_src=Technology+Crossover+Ventures+job+board,CC-MAIN-2026-34
greenhouse,3cloud,3Cloud,,40,,,,unmatched_sponsor,https://job-boards.greenhouse.io/3cloud/jobs/8585070002?gh_jid=8585070002,CC-MAIN-2026-34
ashby,aerovect,,,39,,,,unmatched_sponsor,https://jobs.ashbyhq.com/aerovect,CC-MAIN-2026-34
greenhouse,adamsclinical,Adams Clinical,,38,,,,unmatched_sponsor,https://job-boards.greenhouse.io/adamsclinical/jobs/4109598009?gh_src=my.greenhouse.search,CC-MAIN-2026-34
greenhouse,alliancedefendingfreedom,Alliance Defending Freedom,,38,,,,unmatched_sponsor,https://job-boards.greenhouse.io/alliancedefendingfreedom/jobs/5098288008?gh_jid=5098288008&gh_src=zyx4qucg8us,CC-MAIN-2026-34
greenhouse,allinc,Aspire Living & Learning,,38,,,,unmatched_sponsor,https://job-boards.greenhouse.io/allinc/jobs/8610650002,CC-MAIN-2026-34
ashby,assured,,,37,,,,unmatched_sponsor,https://jobs.ashbyhq.com/assured/e32471d6-ed9f-4567-b8bb-e600b67176b8,CC-MAIN-2026-34
greenhouse,agibankvagasfuturas,Agibank Vagas,,37,,,,unmatched_sponsor,https://job-boards.greenhouse.io/agibankvagasfuturas/jobs/5216535008,CC-MAIN-2026-34
greenhouse,amtechsoftware,Amtech Software,,37,,,,unmatched_sponsor,https://job-boards.greenhouse.io/amtechsoftware,CC-MAIN-2026-30
ashby,adaptyv,,,36,,,,unmatched_sponsor,https://jobs.ashbyhq.com/adaptyv/08d139bb-7a3f-440a-8a12-ec2ed3141ade,CC-MAIN-2026-34
ashby,basis-ai,,,36,,,,unmatched_sponsor,https://jobs.ashbyhq.com/basis-ai,CC-MAIN-2026-21
greenhouse,amca,Amca,,36,,,,unmatched_sponsor,https://job-boards.greenhouse.io/amca,CC-MAIN-2026-21
ashby,bedrock-robotics,,,35,,,,unmatched_sponsor,https://jobs.ashbyhq.com/bedrock-robotics/037d1d43-2033-41d2-abe0-92586f1bf565?utm_source=Emergence+Capital+job+board&utm_medium=getro.com&gh_src=Emergence+Capital+job+board,CC-MAIN-2026-21
greenhouse,accreditedlabs,Accredited Labs,,35,,,,unmatched_sponsor,https://job-boards.greenhouse.io/accreditedlabs?error=true,CC-MAIN-2026-34
ashby,andercore,,,34,,,,unmatched_sponsor,https://jobs.ashbyhq.com/andercore/8539fb7e-b56b-497c-a590-0cc21bc63e6a?utm_source=Everywhere+Ventures+job+board&utm_medium=getro.com&gh_src=Everywhere+Ventures+job+board,CC-MAIN-2026-34
greenhouse,air,Air,,34,,,,unmatched_sponsor,https://job-boards.greenhouse.io/air/jobs/4056465009?utm_source=Accel+job+board&utm_medium=getro.com&gh_src=Accel+job+board,CC-MAIN-2026-34
ashby,9fin,,,33,,,,unmatched_sponsor,https://jobs.ashbyhq.com/9fin/286ba3d2-bd3d-4511-afb0-4c6bc70b6d27?utm_source=Seedcamp+job+board&utm_medium=getro.com&gh_src=Seedcamp+job+board,CC-MAIN-2026-34
ashby,AfterQuery,,,33,,,,unmatched_sponsor,https://jobs.ashbyhq.com/AfterQuery/174889e7-829e-4666-94a6-14687cf01d5e,CC-MAIN-2026-34
ashby,absorblms,,,33,,,,unmatched_sponsor,https://jobs.ashbyhq.com/absorblms/1ab91f0f-e0a0-4b42-aadd-bf705bd34be0,CC-MAIN-2026-34
greenhouse,accuweather,AccuWeather Careers,,33,,,,unmatched_sponsor,https://job-boards.greenhouse.io/accuweather/jobs/8036776,CC-MAIN-2026-34
ashby,ARQ,,,32,,,,unmatched_sponsor,https://jobs.ashbyhq.com/ARQ/0e1b37cb-7344-42c2-b655-5dacc55e1560?utm_source=Castle+Island+Ventures+job+board&utm_medium=getro.com&gh_src=Castle+Island+Ventures+job+board,CC-MAIN-2026-34
ashby,Agent,,,32,,,,unmatched_sponsor,https://jobs.ashbyhq.com/Agent/05060be6-2722-49f8-b1d8-756f43f13a99/application?utm_data=hiring.lat,CC-MAIN-2026-34
ashby,amo,,,32,,,,unmatched_sponsor,https://jobs.ashbyhq.com/amo/37da8e2d-3dc2-4122-aa35-4189877811a4,CC-MAIN-2026-30
ashby,assorthealth,,,31,,,,unmatched_sponsor,https://jobs.ashbyhq.com/assorthealth/058818ff-d3e3-4e54-b873-77d25055777e,CC-MAIN-2026-34
greenhouse,3mgroofing,3MG Roofing & Solar,,31,,,,unmatched_sponsor,https://job-boards.greenhouse.io/3mgroofing,CC-MAIN-2026-34
ashby,bobyard,,,30,,,,unmatched_sponsor,https://jobs.ashbyhq.com/bobyard/35a2c975-5e0f-486e-a122-b5d85068bb82/application,CC-MAIN-2026-21
greenhouse,aift,AIFT,,30,,,,unmatched_sponsor,https://job-boards.greenhouse.io/aift/jobs/4572354004?gh_src=bfdfcf844us,CC-MAIN-2026-34
